ダウンロードした時刻：2019/10/10 15:46:54

,高田,高田,高田
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1990/12/1,16.4,20.9,12.3
1990/12/2,11.9,16.8,6.3
1990/12/3,8.4,12.1,6.1
1990/12/4,7.7,12.7,5.3
1990/12/5,8.5,15.0,3.8
1990/12/6,9.9,16.2,4.4
1990/12/7,11.7,19.8,6.3
1990/12/8,11.9,19.1,6.9
1990/12/9,12.3,18.3,7.0
1990/12/10,11.8,16.8,6.6
1990/12/11,10.1,15.2,6.8
1990/12/12,6.5,11.3,3.0
1990/12/13,4.7,11.3,0.5
1990/12/14,7.7,14.5,-0.6
1990/12/15,4.0,9.6,2.2
1990/12/16,3.6,6.2,0.6
1990/12/17,3.6,8.0,0.8
1990/12/18,5.9,10.7,2.9
1990/12/19,3.6,4.7,2.0
1990/12/20,6.0,10.9,3.8
1990/12/21,7.9,15.1,3.5
1990/12/22,9.9,17.1,3.2
1990/12/23,6.2,10.5,4.2
1990/12/24,3.3,6.2,1.4
1990/12/25,5.0,10.9,1.5
1990/12/26,6.4,13.4,0.4
1990/12/27,3.7,6.6,-0.2
1990/12/28,2.9,4.2,1.6
1990/12/29,2.8,4.1,1.4
1990/12/30,4.6,8.6,1.7
1990/12/31,5.6,10.4,0.9
1991/1/1,8.6,12.1,4.9
1991/1/2,6.8,8.8,4.8
1991/1/3,2.6,7.2,0.5
1991/1/4,1.8,4.4,-0.3
1991/1/5,2.4,5.9,0.4
1991/1/6,1.7,3.1,0.1
1991/1/7,1.5,3.5,-2.3
1991/1/8,1.1,3.6,0.2
1991/1/9,2.0,4.8,0.4
1991/1/10,3.1,4.9,1.9
1991/1/11,3.1,5.4,1.4
1991/1/12,2.6,8.2,-0.7
1991/1/13,3.5,8.4,-1.0
1991/1/14,1.7,5.2,-0.8
1991/1/15,0.3,1.4,-0.9
1991/1/16,0.8,2.6,-0.8
1991/1/17,3.6,9.4,0.5
1991/1/18,1.5,3.2,-0.9
1991/1/19,3.5,8.2,-0.8
1991/1/20,3.7,10.6,-1.3
1991/1/21,3.8,6.0,1.6
1991/1/22,2.4,3.9,0.7
1991/1/23,0.8,2.5,-0.9
1991/1/24,1.6,5.4,-2.0
1991/1/25,5.9,9.8,2.0
1991/1/26,3.6,5.1,1.4
1991/1/27,1.4,4.3,0.4
1991/1/28,0.9,3.1,-1.4
1991/1/29,1.0,5.7,-2.1
1991/1/30,1.5,4.6,0.2
1991/1/31,2.1,5.9,-1.2
1991/2/1,0.6,1.4,-0.4
1991/2/2,0.8,1.6,-0.1
1991/2/3,0.4,3.0,-2.1
1991/2/4,0.5,2.2,-1.6
1991/2/5,1.5,3.9,0.4
1991/2/6,2.4,7.4,-1.7
1991/2/7,1.7,4.0,-0.5
1991/2/8,1.0,2.8,-1.0
1991/2/9,1.7,6.4,-1.7
1991/2/10,3.7,7.7,1.0
1991/2/11,3.3,5.5,1.4
1991/2/12,1.8,4.3,0.3
1991/2/13,2.5,6.5,-2.7
1991/2/14,1.6,8.8,-4.0
1991/2/15,9.5,12.3,1.1
1991/2/16,5.2,9.1,2.6
1991/2/17,2.5,4.3,0.3
1991/2/18,1.2,4.1,-0.8
1991/2/19,1.3,4.4,-0.1
1991/2/20,1.0,5.8,-1.9
1991/2/21,1.2,4.5,-1.3
1991/2/22,0.8,4.3,-2.2
1991/2/23,-2.2,0.2,-3.2
1991/2/24,-1.6,0.7,-3.6
1991/2/25,0.8,3.3,-3.1
1991/2/26,2.9,8.7,-2.5
1991/2/27,4.8,10.3,0.2
1991/2/28,3.7,9.0,1.6
1991/3/1,1.4,3.2,0.3
1991/3/2,2.7,8.6,-2.9
1991/3/3,3.4,7.6,0.5
1991/3/4,4.6,10.8,-0.5
1991/3/5,6.6,13.9,1.2
1991/3/6,8.3,15.0,0.8
1991/3/7,4.5,7.5,2.1
1991/3/8,3.1,6.0,0.3
1991/3/9,5.4,8.3,2.7
1991/3/10,3.8,5.3,2.2
1991/3/11,2.1,2.9,0.6
1991/3/12,3.8,5.2,2.4
1991/3/13,3.8,8.4,1.7
1991/3/14,0.9,4.2,-1.5
1991/3/15,1.4,4.5,-1.4
1991/3/16,1.6,5.0,-0.1
1991/3/17,4.1,7.9,1.3
1991/3/18,3.9,9.7,-0.5
1991/3/19,7.1,16.1,-1.6
1991/3/20,10.4,18.2,2.1
1991/3/21,3.3,5.6,0.6
1991/3/22,5.9,13.0,-1.6
1991/3/23,10.2,13.3,7.8
1991/3/24,8.9,14.9,3.8
1991/3/25,8.2,13.6,2.2
1991/3/26,8.7,15.4,5.6
1991/3/27,8.0,10.8,4.6
1991/3/28,7.1,9.3,5.1
1991/3/29,6.1,11.4,2.9
1991/3/30,9.0,17.7,0.9
1991/3/31,5.8,7.5,4.1
