É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2019/10/10 15:51:01

,åFíJ,åFíJ,åFíJ
îNåéì˙,ïΩãœãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈í·ãCâ∑(Åé)
,,,
1991/12/1,10.8,15.4,7.2
1991/12/2,10.2,17.1,4.5
1991/12/3,9.2,13.1,6.1
1991/12/4,10.1,15.7,3.6
1991/12/5,10.2,14.7,7.4
1991/12/6,9.5,15.4,4.6
1991/12/7,11.1,18.8,4.9
1991/12/8,8.9,10.0,7.4
1991/12/9,7.9,12.4,4.8
1991/12/10,6.8,11.7,2.2
1991/12/11,7.8,14.4,1.3
1991/12/12,5.6,9.6,0.7
1991/12/13,4.6,11.6,-0.5
1991/12/14,5.9,13.4,1.1
1991/12/15,5.5,11.8,0.0
1991/12/16,6.4,13.8,0.3
1991/12/17,7.0,13.3,0.3
1991/12/18,10.8,19.9,5.6
1991/12/19,7.6,12.2,5.1
1991/12/20,5.4,10.0,1.1
1991/12/21,4.2,9.7,0.8
1991/12/22,7.0,13.9,-0.3
1991/12/23,8.0,11.7,2.3
1991/12/24,10.2,18.1,4.4
1991/12/25,7.1,10.8,2.9
1991/12/26,2.4,5.4,0.7
1991/12/27,0.4,2.0,-1.4
1991/12/28,4.0,7.3,1.0
1991/12/29,3.3,7.1,0.0
1991/12/30,2.4,7.3,-1.7
1991/12/31,3.4,10.1,-1.9
1992/1/1,3.9,11.1,-1.5
1992/1/2,4.6,12.5,-1.5
1992/1/3,6.4,14.2,0.2
1992/1/4,6.0,11.4,1.6
1992/1/5,6.4,12.9,-1.0
1992/1/6,4.1,7.1,1.5
1992/1/7,4.6,6.4,2.1
1992/1/8,8.1,14.0,2.1
1992/1/9,4.6,5.9,2.3
1992/1/10,3.7,9.9,-0.9
1992/1/11,4.0,9.5,-0.1
1992/1/12,3.5,9.3,0.1
1992/1/13,5.6,13.4,-0.7
1992/1/14,5.0,9.9,0.4
1992/1/15,2.3,8.0,-1.9
1992/1/16,2.6,7.6,-4.0
1992/1/17,4.1,10.2,-0.6
1992/1/18,4.8,9.8,0.5
1992/1/19,3.2,8.6,-2.1
1992/1/20,3.5,9.7,-1.2
1992/1/21,2.0,7.9,-2.7
1992/1/22,4.5,12.6,-2.4
1992/1/23,5.0,9.7,0.9
1992/1/24,3.5,9.8,-0.6
1992/1/25,3.4,10.7,-2.6
1992/1/26,4.5,11.0,-1.0
1992/1/27,7.1,13.3,2.5
1992/1/28,7.5,12.9,4.1
1992/1/29,7.8,15.0,0.9
1992/1/30,6.4,8.4,5.5
1992/1/31,3.0,5.7,0.3
1992/2/1,1.9,5.1,-0.7
1992/2/2,2.8,7.7,-0.7
1992/2/3,2.4,6.6,-1.3
1992/2/4,5.3,11.6,0.8
1992/2/5,5.0,10.0,1.8
1992/2/6,4.5,9.0,-0.4
1992/2/7,5.9,12.6,0.7
1992/2/8,3.5,8.9,1.1
1992/2/9,3.6,9.3,-0.8
1992/2/10,3.6,10.1,-2.0
1992/2/11,4.4,8.6,1.1
1992/2/12,4.7,10.8,-1.1
1992/2/13,7.1,13.8,0.8
1992/2/14,6.0,13.2,0.8
1992/2/15,5.5,11.6,-1.3
1992/2/16,7.0,15.8,1.7
1992/2/17,5.3,10.9,0.9
1992/2/18,5.2,10.6,1.8
1992/2/19,4.5,9.4,0.2
1992/2/20,3.5,7.5,-0.6
1992/2/21,3.7,8.9,-1.0
1992/2/22,2.1,8.0,-3.4
1992/2/23,4.6,12.2,-2.6
1992/2/24,3.4,7.3,-1.6
1992/2/25,3.8,8.6,0.4
1992/2/26,4.4,11.0,-0.6
1992/2/27,6.4,14.4,-2.2
1992/2/28,10.4,16.2,3.5
1992/2/29,12.3,18.9,6.3
1992/3/1,13.7,19.9,9.3
1992/3/2,9.5,15.6,6.6
1992/3/3,5.2,9.4,2.6
1992/3/4,6.6,12.4,1.7
1992/3/5,4.7,6.0,3.3
1992/3/6,8.1,14.8,4.5
1992/3/7,6.1,10.9,2.7
1992/3/8,5.7,12.4,-0.1
1992/3/9,8.9,15.4,1.9
1992/3/10,10.3,15.0,6.6
1992/3/11,11.6,17.0,7.5
1992/3/12,8.2,9.4,6.7
1992/3/13,10.5,18.1,3.2
1992/3/14,12.7,19.4,5.5
1992/3/15,14.2,18.6,9.4
1992/3/16,11.6,15.5,7.3
1992/3/17,3.2,7.3,0.7
1992/3/18,2.0,4.2,0.5
1992/3/19,6.6,11.5,1.0
1992/3/20,10.0,16.2,3.8
1992/3/21,3.8,8.7,0.5
1992/3/22,5.2,10.3,0.7
1992/3/23,2.0,5.2,0.5
1992/3/24,8.0,15.2,1.4
1992/3/25,10.1,13.4,6.3
1992/3/26,11.2,13.9,9.7
1992/3/27,9.5,11.6,6.3
1992/3/28,9.6,14.3,2.9
1992/3/29,9.3,10.5,8.1
1992/3/30,14.0,21.9,9.6
1992/3/31,13.6,19.5,9.4
