ダウンロードした時刻：2019/10/10 15:44:53

,金沢,金沢,金沢
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2013/12/1,8.5,10.1,5.9
2013/12/2,9.2,12.3,5.9
2013/12/3,8.8,10.6,7.7
2013/12/4,10.1,14.2,7.3
2013/12/5,11.1,14.3,7.8
2013/12/6,9.4,12.7,6.2
2013/12/7,6.2,8.7,5.1
2013/12/8,5.9,9.8,2.5
2013/12/9,8.9,15.4,1.3
2013/12/10,9.9,15.3,5.5
2013/12/11,7.6,11.6,4.1
2013/12/12,5.0,8.0,3.1
2013/12/13,5.1,8.7,1.8
2013/12/14,4.7,7.0,1.4
2013/12/15,5.6,7.6,3.1
2013/12/16,5.5,7.9,3.2
2013/12/17,6.0,8.8,4.0
2013/12/18,6.3,8.0,4.9
2013/12/19,7.9,11.5,5.6
2013/12/20,4.2,8.2,0.8
2013/12/21,5.8,8.8,3.3
2013/12/22,4.5,7.4,2.5
2013/12/23,4.5,7.4,2.0
2013/12/24,3.7,5.5,2.0
2013/12/25,4.7,8.5,2.5
2013/12/26,7.0,13.0,1.3
2013/12/27,3.6,6.3,1.3
2013/12/28,1.7,3.5,0.1
2013/12/29,2.2,5.0,0.4
2013/12/30,4.4,5.9,2.8
2013/12/31,6.4,8.8,3.8
2014/1/1,6.7,9.0,4.5
2014/1/2,5.6,9.1,3.1
2014/1/3,6.0,11.1,0.4
2014/1/4,3.8,8.0,1.2
2014/1/5,2.4,5.0,-0.3
2014/1/6,2.1,5.9,-0.4
2014/1/7,3.4,8.0,-1.5
2014/1/8,8.0,10.7,4.9
2014/1/9,2.2,5.1,-0.1
2014/1/10,0.4,3.2,-2.3
2014/1/11,1.9,3.5,0.6
2014/1/12,4.0,6.0,2.3
2014/1/13,0.5,3.5,-1.4
2014/1/14,0.6,3.2,-1.4
2014/1/15,2.7,6.4,0.1
2014/1/16,3.6,6.9,1.0
2014/1/17,1.7,3.0,0.6
2014/1/18,2.4,6.5,-0.2
2014/1/19,0.4,2.5,-1.3
2014/1/20,3.7,6.8,0.3
2014/1/21,2.9,5.7,1.0
2014/1/22,1.3,4.2,0.4
2014/1/23,2.6,6.6,-0.3
2014/1/24,6.2,12.1,-1.6
2014/1/25,13.0,15.1,10.9
2014/1/26,4.3,12.4,-0.9
2014/1/27,1.5,4.9,-1.3
2014/1/28,5.5,10.2,-1.2
2014/1/29,4.0,7.8,0.0
2014/1/30,9.3,14.0,1.2
2014/1/31,6.7,10.8,1.9
2014/2/1,6.1,12.6,0.4
2014/2/2,12.6,17.7,7.1
2014/2/3,8.9,15.1,2.3
2014/2/4,-0.5,2.4,-3.0
2014/2/5,-1.8,0.8,-3.1
2014/2/6,-1.3,0.8,-3.1
2014/2/7,0.6,3.2,-1.6
2014/2/8,0.5,1.9,-0.8
2014/2/9,2.7,5.6,1.0
2014/2/10,1.5,4.2,0.3
2014/2/11,0.7,2.9,-1.3
2014/2/12,3.0,7.1,0.5
2014/2/13,2.5,4.4,1.1
2014/2/14,1.5,2.9,0.5
2014/2/15,3.6,5.2,2.1
2014/2/16,4.8,7.4,2.5
2014/2/17,3.8,6.0,1.9
2014/2/18,0.9,3.3,-0.6
2014/2/19,1.5,4.2,-0.6
2014/2/20,2.6,6.2,-0.2
2014/2/21,1.7,4.5,0.0
2014/2/22,2.7,6.0,0.4
2014/2/23,3.1,7.4,0.0
2014/2/24,3.4,7.6,-0.7
2014/2/25,7.2,11.5,2.5
2014/2/26,6.9,11.4,1.0
2014/2/27,9.9,14.4,6.8
2014/2/28,9.2,11.6,6.9
2014/3/1,6.5,10.4,5.3
2014/3/2,5.8,8.8,4.0
2014/3/3,3.8,6.8,1.3
2014/3/4,5.6,11.6,-0.1
2014/3/5,6.2,8.8,1.3
2014/3/6,2.0,5.8,-0.2
2014/3/7,1.1,4.3,-1.0
2014/3/8,1.8,4.1,0.0
2014/3/9,2.9,9.2,-0.4
2014/3/10,0.8,3.2,-0.9
2014/3/11,4.6,8.8,-0.7
2014/3/12,10.8,14.4,8.2
2014/3/13,6.3,9.2,2.0
2014/3/14,3.4,6.5,0.5
2014/3/15,4.8,8.9,0.3
2014/3/16,9.6,12.9,4.5
2014/3/17,9.0,15.4,1.8
2014/3/18,9.8,15.8,5.5
2014/3/19,6.9,11.3,2.8
2014/3/20,6.1,7.1,4.9
2014/3/21,4.8,6.9,2.9
2014/3/22,5.5,10.2,1.5
2014/3/23,8.8,13.2,3.4
2014/3/24,11.6,18.1,4.0
2014/3/25,15.7,19.0,12.2
2014/3/26,13.2,16.8,11.5
2014/3/27,11.1,13.9,8.6
2014/3/28,12.6,18.8,5.9
2014/3/29,16.7,22.7,9.3
2014/3/30,11.3,15.3,9.0
2014/3/31,9.8,12.4,7.6
