ダウンロードした時刻：2019/10/10 15:57:10

,津,津,津
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2000/12/1,11.6,15.9,8.7
2000/12/2,9.6,13.3,6.4
2000/12/3,9.5,12.4,6.0
2000/12/4,9.2,12.9,5.7
2000/12/5,9.1,16.1,2.4
2000/12/6,9.6,14.4,6.8
2000/12/7,7.7,12.8,4.7
2000/12/8,8.2,15.8,2.4
2000/12/9,9.6,15.4,5.3
2000/12/10,9.3,12.6,5.5
2000/12/11,9.6,13.3,4.7
2000/12/12,5.4,8.9,2.9
2000/12/13,6.8,11.7,2.6
2000/12/14,7.4,10.1,4.9
2000/12/15,8.4,14.5,3.9
2000/12/16,9.6,17.2,2.6
2000/12/17,7.9,10.1,5.7
2000/12/18,8.9,11.3,5.3
2000/12/19,12.1,17.6,9.0
2000/12/20,9.0,11.2,6.2
2000/12/21,9.5,12.9,6.8
2000/12/22,7.5,11.5,3.5
2000/12/23,7.7,12.0,2.1
2000/12/24,8.8,12.3,6.0
2000/12/25,5.7,11.0,2.6
2000/12/26,4.6,7.4,2.5
2000/12/27,4.1,6.4,1.3
2000/12/28,6.0,11.5,1.1
2000/12/29,5.4,8.5,2.9
2000/12/30,4.6,8.5,-1.4
2000/12/31,8.7,11.6,6.9
2001/1/1,5.4,8.0,2.8
2001/1/2,7.8,11.9,2.7
2001/1/3,5.5,8.7,2.5
2001/1/4,3.8,7.1,2.1
2001/1/5,4.4,7.5,1.7
2001/1/6,3.6,5.9,2.6
2001/1/7,1.4,3.7,-0.3
2001/1/8,7.2,11.8,1.5
2001/1/9,6.0,10.2,4.1
2001/1/10,9.2,12.0,4.9
2001/1/11,6.8,11.6,2.5
2001/1/12,5.0,8.2,3.1
2001/1/13,3.7,6.2,2.1
2001/1/14,1.7,5.1,-0.1
2001/1/15,0.8,4.4,-1.8
2001/1/16,1.7,5.5,-0.7
2001/1/17,2.2,6.7,-0.5
2001/1/18,4.3,9.6,-1.2
2001/1/19,3.3,5.6,1.5
2001/1/20,0.6,3.5,-0.9
2001/1/21,5.0,8.2,2.6
2001/1/22,5.9,9.8,2.1
2001/1/23,5.4,11.2,2.1
2001/1/24,3.9,8.9,0.8
2001/1/25,3.8,7.1,0.7
2001/1/26,6.8,8.8,5.3
2001/1/27,5.9,7.2,4.4
2001/1/28,6.6,10.6,3.5
2001/1/29,4.0,7.5,2.2
2001/1/30,4.8,9.5,0.5
2001/1/31,5.0,7.9,1.4
2001/2/1,4.9,8.4,3.3
2001/2/2,3.8,7.3,0.9
2001/2/3,3.7,7.7,0.8
2001/2/4,5.1,8.8,1.8
2001/2/5,6.8,10.4,3.7
2001/2/6,6.7,9.4,4.0
2001/2/7,6.7,10.0,4.5
2001/2/8,6.2,9.6,2.4
2001/2/9,4.6,9.8,0.0
2001/2/10,4.5,9.6,1.2
2001/2/11,5.1,10.6,1.2
2001/2/12,4.1,6.6,2.0
2001/2/13,4.8,8.9,2.2
2001/2/14,4.2,8.4,1.2
2001/2/15,3.1,8.1,0.0
2001/2/16,3.2,7.9,-0.4
2001/2/17,3.5,8.3,-0.3
2001/2/18,6.9,14.4,0.6
2001/2/19,9.4,14.2,5.7
2001/2/20,7.1,12.8,2.9
2001/2/21,6.4,10.9,0.7
2001/2/22,12.3,18.3,7.8
2001/2/23,10.2,16.1,4.1
2001/2/24,9.2,12.5,6.4
2001/2/25,4.8,8.6,1.8
2001/2/26,3.9,8.1,1.1
2001/2/27,5.1,10.0,-0.6
2001/2/28,6.4,8.3,3.2
2001/3/1,9.5,13.2,6.2
2001/3/2,6.4,10.5,4.1
2001/3/3,6.4,10.0,2.2
2001/3/4,7.8,11.1,3.5
2001/3/5,5.6,8.9,2.0
2001/3/6,9.0,14.9,6.0
2001/3/7,6.8,11.1,3.4
2001/3/8,3.8,8.9,-0.9
2001/3/9,2.4,5.4,-0.5
2001/3/10,5.6,11.9,0.6
2001/3/11,3.9,8.2,1.1
2001/3/12,5.0,11.4,0.3
2001/3/13,4.3,8.5,1.0
2001/3/14,6.2,11.8,0.2
2001/3/15,8.8,12.1,6.1
2001/3/16,8.0,13.5,4.2
2001/3/17,6.6,7.6,4.8
2001/3/18,11.5,16.2,7.2
2001/3/19,11.1,16.3,5.2
2001/3/20,11.1,16.3,6.0
2001/3/21,14.5,21.0,8.7
2001/3/22,12.3,16.5,7.4
2001/3/23,14.2,18.8,10.7
2001/3/24,12.9,16.6,9.0
2001/3/25,13.0,14.2,12.4
2001/3/26,12.0,15.5,7.3
2001/3/27,10.7,15.6,6.4
2001/3/28,10.5,14.1,7.4
2001/3/29,11.1,14.5,8.3
2001/3/30,7.9,11.9,5.7
2001/3/31,5.6,12.2,2.0
