ダウンロードした時刻：2019/10/10 15:55:06

,飯田,飯田,飯田
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2005/12/1,3.8,12.1,-2.3
2005/12/2,6.0,10.4,2.0
2005/12/3,3.1,7.1,-1.5
2005/12/4,1.4,3.8,-0.7
2005/12/5,-0.2,2.5,-2.2
2005/12/6,2.8,8.9,-1.6
2005/12/7,1.7,8.3,-2.5
2005/12/8,2.1,8.1,-1.9
2005/12/9,3.4,7.1,-0.3
2005/12/10,3.5,5.7,1.7
2005/12/11,2.5,6.2,-2.5
2005/12/12,-0.7,3.8,-3.5
2005/12/13,-0.9,2.1,-4.0
2005/12/14,-1.4,2.2,-3.9
2005/12/15,-2.0,4.0,-5.7
2005/12/16,-0.8,4.6,-6.1
2005/12/17,-0.2,4.1,-3.2
2005/12/18,-2.7,0.1,-5.3
2005/12/19,-1.0,3.3,-4.9
2005/12/20,-1.8,7.0,-8.1
2005/12/21,0.5,7.2,-3.7
2005/12/22,-2.3,1.3,-4.9
2005/12/23,-1.5,1.3,-4.3
2005/12/24,-1.1,2.3,-7.5
2005/12/25,-2.5,5.2,-10.6
2005/12/26,0.2,2.3,-4.9
2005/12/27,-2.3,3.9,-7.9
2005/12/28,-2.0,4.9,-6.8
2005/12/29,-2.7,4.9,-8.6
2005/12/30,-0.5,5.5,-7.1
2005/12/31,0.5,4.5,-3.2
2006/1/1,1.2,9.0,-3.7
2006/1/2,1.7,6.3,-1.0
2006/1/3,0.4,3.0,-1.3
2006/1/4,0.1,2.1,-1.6
2006/1/5,-0.9,3.6,-5.4
2006/1/6,-4.7,-1.9,-7.2
2006/1/7,-3.2,3.5,-8.8
2006/1/8,-3.5,4.1,-9.8
2006/1/9,-3.0,4.7,-9.7
2006/1/10,-0.6,6.1,-7.2
2006/1/11,1.2,5.7,-2.6
2006/1/12,-0.6,7.4,-6.0
2006/1/13,-0.5,4.6,-5.8
2006/1/14,4.4,7.5,2.0
2006/1/15,6.1,11.0,1.4
2006/1/16,5.8,12.5,0.1
2006/1/17,3.6,8.0,-0.8
2006/1/18,1.0,5.6,-2.0
2006/1/19,-0.2,5.7,-4.7
2006/1/20,-0.3,3.8,-4.2
2006/1/21,0.6,3.6,-1.6
2006/1/22,-0.6,4.5,-4.6
2006/1/23,-2.0,1.9,-4.9
2006/1/24,-1.0,5.0,-6.0
2006/1/25,-2.2,5.8,-8.6
2006/1/26,-0.7,7.7,-7.0
2006/1/27,-0.1,6.8,-7.2
2006/1/28,1.8,8.4,-3.0
2006/1/29,1.3,11.2,-6.5
2006/1/30,7.5,12.6,2.5
2006/1/31,3.4,5.8,0.9
2006/2/1,3.7,4.9,1.4
2006/2/2,2.7,9.4,-3.1
2006/2/3,1.4,4.5,-4.1
2006/2/4,-3.5,1.5,-7.4
2006/2/5,-2.5,3.5,-7.6
2006/2/6,-3.1,-0.7,-6.1
2006/2/7,1.9,7.8,-1.1
2006/2/8,0.7,2.3,-2.3
2006/2/9,-1.5,3.2,-5.4
2006/2/10,-0.8,5.3,-8.6
2006/2/11,3.7,7.3,0.9
2006/2/12,0.3,5.1,-4.6
2006/2/13,1.3,12.9,-8.2
2006/2/14,5.0,15.8,-3.8
2006/2/15,10.9,18.2,4.9
2006/2/16,8.6,11.4,6.5
2006/2/17,5.2,9.4,-1.0
2006/2/18,1.8,10.1,-5.0
2006/2/19,4.4,11.7,-2.1
2006/2/20,1.9,4.8,0.7
2006/2/21,4.3,8.0,1.1
2006/2/22,8.8,15.0,3.5
2006/2/23,8.5,13.7,4.4
2006/2/24,5.3,9.2,0.8
2006/2/25,6.6,14.9,-0.2
2006/2/26,4.9,6.6,3.8
2006/2/27,5.0,9.9,-0.1
2006/2/28,2.3,5.5,-1.2
2006/3/1,5.4,10.0,3.6
2006/3/2,4.1,9.2,0.4
2006/3/3,2.1,6.9,-1.4
2006/3/4,2.1,10.2,-4.4
2006/3/5,4.1,13.4,-4.0
2006/3/6,5.1,7.0,3.2
2006/3/7,7.2,14.4,2.9
2006/3/8,7.5,15.6,0.3
2006/3/9,6.6,13.8,0.0
2006/3/10,8.3,13.1,5.7
2006/3/11,10.1,16.9,5.1
2006/3/12,7.0,10.1,2.5
2006/3/13,1.0,4.7,-2.5
2006/3/14,-1.1,2.2,-4.2
2006/3/15,3.0,13.8,-5.3
2006/3/16,5.1,9.8,-1.7
2006/3/17,8.3,15.2,3.8
2006/3/18,6.2,13.6,0.1
2006/3/19,5.9,13.3,-0.5
2006/3/20,3.1,9.8,-3.3
2006/3/21,3.7,10.0,-1.7
2006/3/22,2.9,11.0,-1.6
2006/3/23,6.1,16.6,0.6
2006/3/24,6.3,13.8,0.7
2006/3/25,7.4,16.2,0.9
2006/3/26,8.0,14.8,2.8
2006/3/27,9.2,17.5,1.7
2006/3/28,7.5,11.8,3.0
2006/3/29,2.8,6.2,-0.9
2006/3/30,0.3,4.8,-1.9
2006/3/31,2.6,8.6,-2.7
