ダウンロードした時刻：2019/10/10 15:43:07

,相川,相川,相川
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1995/12/1,7.7,9.4,4.5
1995/12/2,8.4,9.6,5.9
1995/12/3,7.3,9.5,5.2
1995/12/4,7.1,10.9,4.1
1995/12/5,7.6,10.1,3.4
1995/12/6,7.8,9.5,5.1
1995/12/7,6.3,7.5,3.5
1995/12/8,4.2,7.1,0.5
1995/12/9,6.1,7.9,0.2
1995/12/10,9.1,11.1,6.4
1995/12/11,10.6,11.9,9.3
1995/12/12,8.0,10.8,6.8
1995/12/13,7.0,8.3,6.0
1995/12/14,7.0,9.5,3.4
1995/12/15,7.5,11.7,3.2
1995/12/16,4.1,5.5,1.9
1995/12/17,3.9,5.3,1.9
1995/12/18,5.1,6.3,3.1
1995/12/19,5.1,6.9,2.1
1995/12/20,6.3,8.5,2.8
1995/12/21,5.6,7.2,3.4
1995/12/22,7.2,9.6,5.5
1995/12/23,7.3,10.1,4.9
1995/12/24,5.5,9.2,1.9
1995/12/25,0.6,4.0,-1.7
1995/12/26,0.7,3.2,-3.1
1995/12/27,3.5,4.5,1.8
1995/12/28,4.1,6.5,0.0
1995/12/29,5.5,9.4,3.0
1995/12/30,3.8,5.1,1.8
1995/12/31,7.1,9.4,4.8
1996/1/1,2.8,6.2,1.7
1996/1/2,3.4,6.6,0.6
1996/1/3,6.6,12.8,0.7
1996/1/4,1.4,4.0,-1.2
1996/1/5,4.8,5.5,3.8
1996/1/6,3.8,5.4,1.0
1996/1/7,5.8,7.7,3.9
1996/1/8,5.4,13.3,-0.7
1996/1/9,-1.0,0.5,-2.6
1996/1/10,2.9,5.4,-0.8
1996/1/11,5.4,6.7,4.0
1996/1/12,5.9,7.1,4.5
1996/1/13,4.5,7.4,1.1
1996/1/14,8.4,14.1,0.7
1996/1/15,9.1,12.7,6.1
1996/1/16,5.2,7.0,2.2
1996/1/17,2.0,3.6,0.9
1996/1/18,2.4,7.0,0.5
1996/1/19,2.8,5.3,0.1
1996/1/20,5.2,7.5,1.8
1996/1/21,3.6,6.2,1.8
1996/1/22,5.8,8.7,2.1
1996/1/23,3.2,6.3,0.0
1996/1/24,0.2,2.1,-1.6
1996/1/25,0.9,3.0,-1.2
1996/1/26,0.8,2.8,-1.7
1996/1/27,3.3,5.2,0.6
1996/1/28,3.8,5.6,2.1
1996/1/29,4.4,6.2,0.1
1996/1/30,0.0,2.5,-2.3
1996/1/31,-1.3,2.2,-3.1
1996/2/1,-1.6,-0.1,-3.6
1996/2/2,-2.5,1.7,-6.2
1996/2/3,0.9,2.6,-0.3
1996/2/4,2.3,4.8,-0.4
1996/2/5,4.0,7.7,1.2
1996/2/6,2.4,4.5,0.9
1996/2/7,2.8,4.2,0.3
1996/2/8,3.4,6.5,0.6
1996/2/9,0.8,2.1,-0.3
1996/2/10,0.3,1.4,-1.0
1996/2/11,4.8,8.3,0.6
1996/2/12,9.7,11.5,8.0
1996/2/13,11.1,13.0,8.8
1996/2/14,11.6,14.4,6.8
1996/2/15,3.7,6.8,0.8
1996/2/16,-0.4,1.4,-2.6
1996/2/17,0.5,3.6,-2.5
1996/2/18,0.1,1.6,-1.4
1996/2/19,-0.4,1.1,-2.5
1996/2/20,0.0,2.0,-1.7
1996/2/21,0.1,0.9,-2.3
1996/2/22,0.7,2.5,-1.8
1996/2/23,0.9,3.1,-1.4
1996/2/24,1.3,2.9,-1.4
1996/2/25,2.8,6.6,-1.1
1996/2/26,3.7,7.6,1.6
1996/2/27,5.6,9.8,2.4
1996/2/28,5.6,7.4,1.8
1996/2/29,8.3,10.4,6.8
1996/3/1,6.7,8.5,4.9
1996/3/2,3.5,5.1,1.2
1996/3/3,2.8,4.3,0.6
1996/3/4,3.1,6.7,-0.1
1996/3/5,0.8,1.9,-1.1
1996/3/6,3.4,5.5,1.0
1996/3/7,6.4,8.2,3.8
1996/3/8,7.9,13.1,5.2
1996/3/9,4.0,5.5,2.4
1996/3/10,3.7,5.8,1.1
1996/3/11,4.4,8.9,0.8
1996/3/12,2.0,3.4,-0.2
1996/3/13,4.8,7.8,2.2
1996/3/14,9.3,12.4,4.7
1996/3/15,7.3,10.7,4.4
1996/3/16,6.1,10.5,2.3
1996/3/17,9.3,12.2,6.1
1996/3/18,4.4,8.8,1.1
1996/3/19,3.9,6.4,0.3
1996/3/20,3.3,7.3,-0.3
1996/3/21,7.5,13.7,0.2
1996/3/22,9.1,13.7,4.7
1996/3/23,3.2,5.5,2.0
1996/3/24,4.7,9.3,0.5
1996/3/25,7.0,8.4,5.8
1996/3/26,6.9,9.3,1.8
1996/3/27,6.3,10.0,1.3
1996/3/28,6.0,8.7,2.5
1996/3/29,7.2,13.1,2.1
1996/3/30,14.3,19.4,11.1
1996/3/31,9.2,11.3,7.0
