ダウンロードした時刻：2019/10/10 15:49:12

,高山,高山,高山
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1995/12/1,1.3,3.8,0.1
1995/12/2,1.9,5.1,-0.1
1995/12/3,2.8,7.0,-0.7
1995/12/4,2.0,7.5,-1.5
1995/12/5,2.1,5.6,0.5
1995/12/6,0.7,2.9,-0.9
1995/12/7,0.6,4.4,-2.1
1995/12/8,-0.9,3.8,-3.7
1995/12/9,-1.3,3.5,-5.2
1995/12/10,-2.6,4.5,-6.1
1995/12/11,-0.2,6.7,-5.4
1995/12/12,1.6,4.8,-1.4
1995/12/13,0.2,6.5,-4.0
1995/12/14,0.7,8.7,-3.9
1995/12/15,2.4,5.3,-0.5
1995/12/16,-0.9,2.3,-3.3
1995/12/17,-1.0,2.3,-3.1
1995/12/18,0.1,3.9,-2.4
1995/12/19,0.0,5.3,-2.8
1995/12/20,-0.1,7.4,-5.4
1995/12/21,0.8,4.2,-0.6
1995/12/22,0.6,6.4,-3.0
1995/12/23,0.7,6.3,-3.3
1995/12/24,0.4,3.9,-3.1
1995/12/25,-5.2,-3.1,-6.0
1995/12/26,-5.8,-4.4,-6.8
1995/12/27,-4.1,0.0,-8.1
1995/12/28,-5.9,1.1,-13.9
1995/12/29,0.6,5.5,-2.4
1995/12/30,-0.6,2.6,-1.8
1995/12/31,-0.2,4.2,-6.2
1996/1/1,-0.4,1.9,-6.3
1996/1/2,-5.1,3.5,-12.0
1996/1/3,-0.4,6.5,-7.4
1996/1/4,-2.5,0.3,-7.6
1996/1/5,-3.2,0.8,-9.0
1996/1/6,1.0,5.6,-2.3
1996/1/7,-1.4,6.1,-4.3
1996/1/8,-0.1,3.8,-4.9
1996/1/9,-5.5,-3.9,-6.8
1996/1/10,-3.1,-1.5,-5.2
1996/1/11,-0.8,2.5,-3.7
1996/1/12,-1.2,3.9,-5.0
1996/1/13,-3.0,4.4,-8.9
1996/1/14,-2.7,0.8,-7.7
1996/1/15,2.3,5.2,0.8
1996/1/16,3.4,8.3,0.4
1996/1/17,0.2,3.9,-3.0
1996/1/18,-0.3,3.0,-2.9
1996/1/19,-0.6,3.1,-2.6
1996/1/20,0.7,6.0,-2.6
1996/1/21,0.0,4.5,-4.1
1996/1/22,-2.9,1.9,-6.4
1996/1/23,-1.1,4.1,-5.4
1996/1/24,-3.6,0.0,-6.5
1996/1/25,-4.3,0.4,-9.6
1996/1/26,-4.3,-2.3,-5.8
1996/1/27,-4.6,1.4,-9.3
1996/1/28,-4.6,3.4,-13.4
1996/1/29,-1.5,1.4,-4.9
1996/1/30,-3.4,-0.1,-5.5
1996/1/31,-4.6,-1.1,-6.5
1996/2/1,-4.8,-1.8,-7.6
1996/2/2,-7.0,-5.0,-8.5
1996/2/3,-5.8,-1.8,-9.1
1996/2/4,-3.5,3.0,-9.1
1996/2/5,-2.4,3.3,-9.6
1996/2/6,-4.3,-2.5,-5.4
1996/2/7,-2.9,1.0,-6.6
1996/2/8,-3.1,1.6,-9.1
1996/2/9,-0.8,1.4,-4.4
1996/2/10,-4.9,-2.7,-6.1
1996/2/11,-4.3,3.3,-12.0
1996/2/12,-2.3,8.0,-9.1
1996/2/13,-0.5,2.5,-3.4
1996/2/14,2.6,7.8,0.8
1996/2/15,1.4,8.1,-0.9
1996/2/16,-1.8,1.0,-5.1
1996/2/17,-2.8,0.2,-6.1
1996/2/18,-1.5,1.2,-4.5
1996/2/19,-5.4,-0.4,-9.7
1996/2/20,-7.8,0.1,-14.4
1996/2/21,-6.6,0.7,-12.3
1996/2/22,-4.5,1.8,-10.5
1996/2/23,-3.3,2.8,-9.0
1996/2/24,-2.0,2.2,-6.0
1996/2/25,0.5,6.2,-4.4
1996/2/26,2.2,6.5,-0.8
1996/2/27,1.7,7.4,-1.9
1996/2/28,-0.2,4.9,-4.2
1996/2/29,0.8,9.6,-8.1
1996/3/1,1.5,5.3,-0.6
1996/3/2,-1.4,2.1,-4.6
1996/3/3,-2.3,1.9,-6.7
1996/3/4,-2.7,3.3,-8.5
1996/3/5,-3.6,-1.4,-5.4
1996/3/6,-2.1,4.0,-8.8
1996/3/7,-2.4,2.1,-7.6
1996/3/8,2.7,8.9,-0.2
1996/3/9,0.5,3.8,-1.7
1996/3/10,0.3,4.8,-3.2
1996/3/11,-0.3,7.1,-5.9
1996/3/12,-2.8,0.3,-6.2
1996/3/13,-0.4,9.0,-9.1
1996/3/14,2.9,11.7,-4.9
1996/3/15,1.7,3.1,0.8
1996/3/16,5.0,10.7,-0.8
1996/3/17,4.1,6.0,2.2
1996/3/18,1.4,5.7,-3.7
1996/3/19,-0.7,5.7,-6.4
1996/3/20,3.5,11.8,-1.6
1996/3/21,6.3,17.1,-2.6
1996/3/22,5.5,11.7,2.7
1996/3/23,1.1,3.2,-0.8
1996/3/24,5.1,12.4,-0.9
1996/3/25,4.8,10.4,0.0
1996/3/26,4.3,11.9,-1.2
1996/3/27,5.1,15.2,-2.6
1996/3/28,4.4,12.0,-1.7
1996/3/29,6.8,14.9,-0.9
1996/3/30,8.4,13.4,5.3
1996/3/31,9.3,15.4,4.4
