ダウンロードした時刻：2017/07/24 15:37:20

,盛岡,盛岡,盛岡
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2002/1/1,-3.4,-0.1,-7.1
2002/1/2,-3.5,0.6,-7.1
2002/1/3,-3.9,0.2,-8.6
2002/1/4,-1.6,2.0,-6.6
2002/1/5,-1.2,0.7,-2.8
2002/1/6,-2.1,3.9,-6.7
2002/1/7,-3.3,2.4,-10.2
2002/1/8,2.3,5.1,-0.4
2002/1/9,-0.5,1.9,-2.0
2002/1/10,0.9,3.6,-1.8
2002/1/11,1.5,4.7,-0.2
2002/1/12,1.2,5.7,-1.0
2002/1/13,0.4,3.7,-3.2
2002/1/14,-2.9,2.6,-8.5
2002/1/15,0.6,8.9,-4.3
2002/1/16,1.0,4.1,-0.6
2002/1/17,-0.6,3.9,-4.4
2002/1/18,-1.0,4.2,-4.9
2002/1/19,-2.2,2.8,-7.6
2002/1/20,-3.3,2.7,-10.8
2002/1/21,4.2,10.0,0.0
2002/1/22,4.1,7.1,0.2
2002/1/23,0.4,2.3,-1.0
2002/1/24,-0.5,2.4,-3.0
2002/1/25,-1.8,1.5,-5.3
2002/1/26,-2.0,3.5,-7.6
2002/1/27,0.0,3.7,-2.2
2002/1/28,0.2,3.2,-5.6
2002/1/29,-4.2,1.0,-8.9
2002/1/30,-4.1,0.5,-10.3
2002/1/31,-1.9,2.3,-6.4
2002/2/1,-2.8,2.0,-6.0
2002/2/2,-0.2,3.2,-4.8
2002/2/3,0.4,5.4,-4.0
2002/2/4,-2.0,5.2,-8.3
2002/2/5,-0.6,3.6,-6.1
2002/2/6,3.2,9.0,-2.0
2002/2/7,2.6,6.3,-1.0
2002/2/8,3.9,6.8,0.3
2002/2/9,-2.2,1.9,-6.7
2002/2/10,-3.5,0.0,-7.0
2002/2/11,-3.9,-0.6,-4.9
2002/2/12,-5.7,-3.2,-9.9
2002/2/13,-6.1,0.9,-13.7
2002/2/14,-4.6,1.8,-11.6
2002/2/15,-2.9,1.1,-8.2
2002/2/16,-0.6,4.8,-6.6
2002/2/17,1.7,6.3,-3.0
2002/2/18,-0.7,3.4,-4.0
2002/2/19,-0.1,4.8,-5.1
2002/2/20,2.7,5.4,0.2
2002/2/21,3.6,9.1,-2.5
2002/2/22,3.0,7.7,-0.3
2002/2/23,2.3,6.0,-1.1
2002/2/24,0.4,4.0,-2.7
2002/2/25,1.0,6.1,-4.9
2002/2/26,2.9,10.1,-2.0
2002/2/27,3.1,11.1,-4.6
2002/2/28,3.1,8.3,0.0
2002/3/1,3.5,10.7,-2.3
2002/3/2,-1.2,5.4,-4.6
2002/3/3,-2.8,1.7,-8.0
2002/3/4,-0.2,2.7,-3.2
2002/3/5,2.4,8.6,-3.8
2002/3/6,0.7,2.4,0.0
2002/3/7,0.5,2.4,-2.1
2002/3/8,-0.3,3.2,-3.2
2002/3/9,3.3,8.9,-2.9
2002/3/10,5.3,8.8,-0.7
2002/3/11,2.2,6.2,-0.9
2002/3/12,3.3,8.6,-1.8
2002/3/13,3.7,8.9,-3.6
2002/3/14,8.0,15.6,0.6
2002/3/15,6.8,8.8,5.1
2002/3/16,4.4,8.6,1.1
2002/3/17,5.9,10.5,1.3
2002/3/18,6.2,11.3,2.0
2002/3/19,4.2,10.2,1.0
2002/3/20,4.9,9.7,0.1
2002/3/21,7.4,14.7,-0.8
2002/3/22,7.3,10.2,4.2
2002/3/23,3.7,7.4,0.4
2002/3/24,2.5,7.2,-1.2
2002/3/25,3.3,9.4,-1.3
2002/3/26,7.1,14.7,-1.9
2002/3/27,6.0,9.6,1.4
2002/3/28,3.5,8.3,0.3
2002/3/29,5.6,11.2,-1.6
2002/3/30,9.4,13.4,6.6
2002/3/31,6.2,9.0,2.8
2002/4/1,8.2,15.2,1.1
2002/4/2,13.3,20.3,7.4
2002/4/3,8.6,19.0,2.8
2002/4/4,5.7,10.6,2.4
2002/4/5,6.9,13.6,2.4
2002/4/6,8.5,17.7,-0.3
2002/4/7,6.8,8.9,4.9
2002/4/8,13.9,21.6,8.1
2002/4/9,7.6,13.8,4.2
2002/4/10,6.5,12.6,1.9
2002/4/11,7.3,13.5,1.3
2002/4/12,6.2,8.9,2.1
2002/4/13,7.0,15.3,0.0
2002/4/14,10.6,15.4,6.4
2002/4/15,14.2,25.9,5.3
2002/4/16,16.5,22.1,11.2
2002/4/17,15.3,19.7,9.2
2002/4/18,10.2,14.0,6.0
2002/4/19,10.9,16.9,5.4
2002/4/20,11.4,19.9,3.2
2002/4/21,14.1,20.0,9.6
2002/4/22,14.5,21.2,9.4
2002/4/23,13.5,21.4,6.6
2002/4/24,14.7,22.5,8.6
2002/4/25,11.4,15.1,3.9
2002/4/26,9.1,17.3,1.1
2002/4/27,9.2,18.2,-0.3
2002/4/28,10.9,20.1,2.1
2002/4/29,12.5,21.7,1.4
2002/4/30,10.2,12.6,8.4
2002/5/1,13.4,19.7,4.9
