ダウンロードした時刻：2019/10/10 15:45:20

,富山,富山,富山
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1995/12/1,3.8,4.6,2.5
1995/12/2,5.4,9.4,3.5
1995/12/3,6.2,10.8,3.9
1995/12/4,6.1,9.5,3.5
1995/12/5,3.1,5.6,1.3
1995/12/6,3.5,9.5,0.4
1995/12/7,3.7,5.7,2.4
1995/12/8,1.8,3.6,-0.5
1995/12/9,2.1,6.7,-1.3
1995/12/10,5.1,10.8,0.3
1995/12/11,8.1,12.8,4.3
1995/12/12,5.9,7.8,1.8
1995/12/13,5.1,9.8,1.0
1995/12/14,7.7,12.4,2.1
1995/12/15,6.7,11.0,3.4
1995/12/16,3.3,5.6,0.8
1995/12/17,2.6,4.3,1.1
1995/12/18,3.9,7.5,1.3
1995/12/19,3.9,7.7,1.3
1995/12/20,5.7,11.3,1.3
1995/12/21,4.1,6.4,2.9
1995/12/22,5.2,9.8,2.2
1995/12/23,5.8,7.6,3.8
1995/12/24,4.4,8.8,0.6
1995/12/25,-1.1,1.5,-2.6
1995/12/26,-1.9,0.1,-3.5
1995/12/27,0.5,4.7,-3.0
1995/12/28,1.5,6.3,-2.9
1995/12/29,4.4,6.9,2.5
1995/12/30,1.5,3.5,0.3
1995/12/31,4.7,8.4,1.1
1996/1/1,1.8,4.9,-0.8
1996/1/2,0.9,6.0,-2.8
1996/1/3,5.0,12.4,-1.8
1996/1/4,0.5,1.3,-0.3
1996/1/5,2.5,5.3,0.2
1996/1/6,4.3,7.3,2.3
1996/1/7,4.2,9.2,-0.2
1996/1/8,5.3,11.6,-2.6
1996/1/9,-1.7,0.1,-3.3
1996/1/10,0.9,3.0,-1.5
1996/1/11,2.1,3.1,1.3
1996/1/12,2.4,7.9,-0.6
1996/1/13,1.7,7.2,-3.0
1996/1/14,7.8,12.1,-2.4
1996/1/15,9.7,12.3,7.8
1996/1/16,6.2,10.0,1.8
1996/1/17,2.6,4.4,0.7
1996/1/18,3.2,5.9,1.7
1996/1/19,2.6,5.8,0.3
1996/1/20,4.4,9.6,0.9
1996/1/21,3.9,8.2,1.5
1996/1/22,4.7,8.7,1.7
1996/1/23,2.8,6.1,0.3
1996/1/24,0.0,3.2,-2.4
1996/1/25,0.2,4.9,-3.1
1996/1/26,-1.0,1.2,-2.4
1996/1/27,0.8,5.1,-1.9
1996/1/28,2.5,7.3,-0.9
1996/1/29,2.4,4.8,1.1
1996/1/30,0.1,1.9,-1.7
1996/1/31,-1.3,0.2,-2.5
1996/2/1,-1.2,0.5,-2.4
1996/2/2,-3.5,-1.8,-4.6
1996/2/3,-0.6,1.7,-3.1
1996/2/4,1.3,4.6,-2.2
1996/2/5,2.9,7.1,-0.1
1996/2/6,-0.3,1.7,-1.0
1996/2/7,0.4,4.3,-2.0
1996/2/8,2.3,7.3,-2.5
1996/2/9,1.4,4.2,-0.8
1996/2/10,-1.6,-0.5,-3.0
1996/2/11,1.3,6.8,-3.1
1996/2/12,6.1,11.2,0.5
1996/2/13,8.2,11.5,5.5
1996/2/14,10.1,18.3,6.1
1996/2/15,5.1,8.2,1.8
1996/2/16,0.9,2.3,-1.0
1996/2/17,0.9,3.5,-1.6
1996/2/18,0.8,2.8,-1.1
1996/2/19,-1.2,1.9,-3.7
1996/2/20,-1.4,2.9,-5.8
1996/2/21,-1.3,1.3,-3.6
1996/2/22,0.6,5.7,-3.3
1996/2/23,0.8,4.6,-1.2
1996/2/24,1.5,5.4,-1.0
1996/2/25,2.0,6.4,-1.8
1996/2/26,3.7,8.2,0.5
1996/2/27,4.9,12.8,0.8
1996/2/28,3.9,8.7,0.9
1996/2/29,7.7,13.8,1.8
1996/3/1,5.7,10.6,3.1
1996/3/2,1.8,4.9,0.0
1996/3/3,2.2,6.5,-1.2
1996/3/4,3.5,8.8,0.4
1996/3/5,0.4,4.5,-2.1
1996/3/6,2.8,7.7,-0.8
1996/3/7,3.5,7.2,-0.7
1996/3/8,7.0,15.5,3.3
1996/3/9,3.9,7.6,2.3
1996/3/10,3.9,8.6,-0.2
1996/3/11,4.0,10.8,0.6
1996/3/12,1.0,3.7,-1.3
1996/3/13,3.9,9.7,-1.8
1996/3/14,8.7,15.7,2.2
1996/3/15,6.2,9.2,2.4
1996/3/16,6.2,11.8,1.8
1996/3/17,11.1,16.6,8.7
1996/3/18,5.0,9.3,0.8
1996/3/19,2.8,8.2,0.5
1996/3/20,4.6,8.3,1.6
1996/3/21,6.8,11.7,0.0
1996/3/22,7.9,11.5,5.4
1996/3/23,4.5,6.8,3.3
1996/3/24,5.7,8.9,0.9
1996/3/25,7.2,8.9,6.0
1996/3/26,7.7,12.7,4.1
1996/3/27,7.3,12.4,2.1
1996/3/28,6.2,10.1,2.1
1996/3/29,7.4,12.6,2.2
1996/3/30,16.4,21.4,7.9
1996/3/31,11.5,14.6,9.9
