ダウンロードした時刻：2017/07/24 15:43:30

,豊岡,豊岡,豊岡
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2006/1/1,2.1,8.1,-0.8
2006/1/2,1.4,3.7,-1.2
2006/1/3,3.5,5.5,1.0
2006/1/4,2.1,4.5,0.3
2006/1/5,0.1,1.5,-2.0
2006/1/6,-0.9,1.4,-3.6
2006/1/7,0.9,2.7,-1.0
2006/1/8,0.2,1.5,-1.1
2006/1/9,0.2,5.7,-3.0
2006/1/10,0.7,6.4,-3.0
2006/1/11,1.8,4.0,0.6
2006/1/12,1.8,4.2,0.1
2006/1/13,4.2,11.5,-0.1
2006/1/14,5.4,9.0,2.9
2006/1/15,4.2,8.1,0.1
2006/1/16,2.6,9.1,-1.0
2006/1/17,3.4,5.1,1.4
2006/1/18,1.9,4.7,0.8
2006/1/19,1.9,4.1,0.6
2006/1/20,2.5,5.7,0.3
2006/1/21,2.9,6.4,0.4
2006/1/22,1.7,7.5,-1.0
2006/1/23,1.0,3.5,-1.6
2006/1/24,-0.2,2.2,-3.3
2006/1/25,1.2,4.3,-0.2
2006/1/26,1.4,4.8,-0.2
2006/1/27,2.4,6.4,-0.3
2006/1/28,3.1,4.7,0.1
2006/1/29,2.5,11.3,-4.0
2006/1/30,4.9,9.2,1.6
2006/1/31,4.3,5.9,3.1
2006/2/1,4.3,6.5,2.6
2006/2/2,3.9,6.7,1.8
2006/2/3,1.0,4.4,-2.0
2006/2/4,-1.6,1.6,-3.9
2006/2/5,-0.3,2.2,-3.1
2006/2/6,-0.8,1.6,-3.7
2006/2/7,3.6,10.5,0.5
2006/2/8,2.2,6.0,0.3
2006/2/9,0.8,4.2,-2.5
2006/2/10,1.6,8.1,-5.6
2006/2/11,4.2,10.1,1.2
2006/2/12,0.4,2.6,-1.7
2006/2/13,1.0,11.3,-6.3
2006/2/14,3.2,13.2,-3.4
2006/2/15,6.1,10.2,3.2
2006/2/16,5.1,6.3,4.3
2006/2/17,2.1,4.7,0.2
2006/2/18,2.0,6.0,-0.4
2006/2/19,2.9,8.8,-0.8
2006/2/20,1.2,3.2,-0.4
2006/2/21,4.5,10.8,1.1
2006/2/22,8.8,18.4,1.1
2006/2/23,6.2,8.6,2.1
2006/2/24,4.2,11.1,0.4
2006/2/25,6.7,17.1,-1.6
2006/2/26,9.5,13.7,5.4
2006/2/27,3.7,6.3,2.9
2006/2/28,4.5,7.8,2.4
2006/3/1,2.8,6.4,0.6
2006/3/2,2.5,8.2,0.7
2006/3/3,1.4,4.6,0.3
2006/3/4,3.6,11.4,-0.7
2006/3/5,7.7,17.2,-1.7
2006/3/6,9.2,12.5,6.6
2006/3/7,7.2,16.2,2.3
2006/3/8,8.5,14.5,3.4
2006/3/9,6.4,11.0,2.3
2006/3/10,8.9,14.3,5.2
2006/3/11,10.4,21.0,2.9
2006/3/12,6.0,9.8,0.1
2006/3/13,-0.3,2.0,-1.1
2006/3/14,-0.6,1.7,-4.3
2006/3/15,2.0,11.5,-4.6
2006/3/16,4.4,13.0,-0.8
2006/3/17,8.2,12.5,2.6
2006/3/18,5.9,11.0,2.5
2006/3/19,5.5,7.8,3.7
2006/3/20,5.5,13.3,-2.1
2006/3/21,6.5,15.1,0.5
2006/3/22,5.3,9.0,2.1
2006/3/23,9.2,16.3,5.4
2006/3/24,6.0,11.9,1.1
2006/3/25,7.2,17.8,-1.7
2006/3/26,11.7,17.5,6.5
2006/3/27,10.8,18.8,5.5
2006/3/28,9.1,20.6,3.6
2006/3/29,3.8,5.9,1.4
2006/3/30,2.8,5.7,1.0
2006/3/31,5.5,10.4,0.9
2006/4/1,7.8,15.9,-1.1
2006/4/2,14.1,19.7,8.1
2006/4/3,10.9,15.5,5.8
2006/4/4,11.4,21.6,3.5
2006/4/5,10.5,11.9,8.2
2006/4/6,6.9,11.6,2.1
2006/4/7,9.8,18.8,2.1
2006/4/8,10.4,15.6,5.6
2006/4/9,8.8,15.5,3.6
2006/4/10,11.2,15.9,7.7
2006/4/11,15.2,18.2,12.2
2006/4/12,14.6,18.4,12.5
2006/4/13,11.2,13.1,8.9
2006/4/14,8.9,11.7,6.4
2006/4/15,8.4,12.5,6.2
2006/4/16,10.1,17.7,6.2
2006/4/17,9.2,15.7,2.1
2006/4/18,15.3,25.6,5.6
2006/4/19,18.0,23.5,11.7
2006/4/20,11.4,18.8,7.0
2006/4/21,8.9,11.5,5.5
2006/4/22,12.0,18.1,4.6
2006/4/23,15.0,21.8,10.6
2006/4/24,12.9,16.9,6.5
2006/4/25,9.8,15.6,4.8
2006/4/26,9.4,17.0,3.0
2006/4/27,12.9,19.0,8.9
2006/4/28,12.3,21.2,5.8
2006/4/29,14.9,23.0,6.4
2006/4/30,19.7,26.6,12.2
2006/5/1,21.3,29.7,13.7
