ダウンロードした時刻：2019/10/10 15:34:14

,函館,函館,函館
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1980/12/1,6.6,10.3,3.0
1980/12/2,6.3,10.8,-0.8
1980/12/3,7.2,11.7,2.8
1980/12/4,3.9,8.4,-0.5
1980/12/5,-0.1,1.3,-1.8
1980/12/6,1.1,3.7,-2.4
1980/12/7,0.2,4.6,-2.7
1980/12/8,-1.4,1.9,-3.4
1980/12/9,0.0,3.3,-5.8
1980/12/10,0.7,4.6,-3.0
1980/12/11,3.7,7.4,-3.5
1980/12/12,6.8,10.9,4.5
1980/12/13,-0.5,4.5,-2.6
1980/12/14,-2.4,-0.4,-4.6
1980/12/15,-0.5,2.5,-3.6
1980/12/16,-2.3,1.2,-6.1
1980/12/17,-0.9,2.8,-5.4
1980/12/18,-1.0,0.8,-2.8
1980/12/19,-5.9,-2.8,-9.5
1980/12/20,-3.3,1.1,-9.4
1980/12/21,-4.4,0.2,-8.6
1980/12/22,-4.5,1.2,-9.9
1980/12/23,-0.5,2.7,-7.4
1980/12/24,1.7,3.0,0.8
1980/12/25,0.4,3.4,-4.6
1980/12/26,0.1,3.5,-4.8
1980/12/27,-0.2,2.1,-2.6
1980/12/28,0.0,4.0,-3.8
1980/12/29,2.4,4.2,-0.6
1980/12/30,2.3,4.4,-0.8
1980/12/31,1.0,4.9,-2.6
1981/1/1,-1.1,2.5,-4.7
1981/1/2,1.6,3.3,-2.7
1981/1/3,0.8,2.3,-0.8
1981/1/4,-1.2,1.6,-4.8
1981/1/5,-3.8,0.5,-8.3
1981/1/6,-4.9,-1.0,-8.9
1981/1/7,-5.2,-2.7,-6.7
1981/1/8,-4.9,-3.2,-7.8
1981/1/9,-2.2,-0.3,-5.0
1981/1/10,-2.9,0.1,-6.5
1981/1/11,-3.6,0.6,-8.4
1981/1/12,-2.8,0.2,-5.8
1981/1/13,-2.8,0.8,-7.0
1981/1/14,-3.6,1.5,-9.3
1981/1/15,-3.2,1.9,-8.9
1981/1/16,-4.9,0.7,-9.5
1981/1/17,-3.6,1.0,-10.1
1981/1/18,-2.3,0.2,-4.3
1981/1/19,-2.8,0.4,-5.5
1981/1/20,-4.4,-1.2,-7.6
1981/1/21,-6.8,-3.6,-11.6
1981/1/22,-6.3,-1.5,-12.1
1981/1/23,-3.3,-0.6,-8.7
1981/1/24,-0.8,1.2,-3.7
1981/1/25,-6.2,-2.4,-11.1
1981/1/26,-6.9,-2.7,-11.5
1981/1/27,-8.0,-4.0,-11.8
1981/1/28,-5.7,-2.7,-11.5
1981/1/29,-5.7,-2.8,-10.8
1981/1/30,-5.2,-2.5,-10.4
1981/1/31,-1.6,0.6,-5.9
1981/2/1,-0.9,1.1,-3.7
1981/2/2,-1.3,0.9,-5.2
1981/2/3,0.6,2.6,-3.3
1981/2/4,0.3,1.6,-2.0
1981/2/5,-1.5,2.0,-7.2
1981/2/6,-0.2,2.4,-2.6
1981/2/7,-1.5,0.4,-3.0
1981/2/8,-3.6,-0.6,-7.3
1981/2/9,-4.1,-1.2,-7.7
1981/2/10,-1.5,1.3,-4.3
1981/2/11,-3.5,-0.5,-7.9
1981/2/12,-0.2,4.0,-4.0
1981/2/13,1.0,6.5,-4.9
1981/2/14,0.5,4.0,-4.2
1981/2/15,0.3,2.8,-3.2
1981/2/16,1.4,4.8,-1.2
1981/2/17,-1.5,1.7,-3.3
1981/2/18,-1.0,1.7,-6.3
1981/2/19,-0.2,3.3,-3.0
1981/2/20,-1.2,1.2,-4.3
1981/2/21,-3.9,-0.5,-6.6
1981/2/22,-5.7,-2.6,-10.5
1981/2/23,-4.5,-1.2,-7.5
1981/2/24,-4.3,-1.8,-8.5
1981/2/25,-4.7,-3.0,-5.7
1981/2/26,-5.9,-3.5,-9.8
1981/2/27,-6.3,-1.1,-12.7
1981/2/28,-5.0,-2.4,-10.4
1981/3/1,-3.5,-1.7,-5.2
1981/3/2,-2.2,1.2,-7.5
1981/3/3,1.3,3.2,-1.7
1981/3/4,1.2,4.0,-1.9
1981/3/5,-0.2,1.5,-3.1
1981/3/6,-5.3,-1.2,-7.2
1981/3/7,-0.7,2.2,-6.2
1981/3/8,-2.3,2.0,-7.3
1981/3/9,-4.3,-0.8,-8.9
1981/3/10,-3.7,0.6,-8.0
1981/3/11,-3.4,0.4,-9.8
1981/3/12,2.7,5.8,-2.3
1981/3/13,1.8,6.1,-3.8
1981/3/14,2.3,4.2,1.5
1981/3/15,4.4,8.3,0.0
1981/3/16,-1.6,2.3,-4.9
1981/3/17,-2.1,1.6,-6.0
1981/3/18,2.3,7.9,-5.0
1981/3/19,5.0,10.3,-1.1
1981/3/20,5.0,10.6,0.1
1981/3/21,3.9,8.5,2.0
1981/3/22,1.8,2.9,0.7
1981/3/23,2.2,7.6,-2.0
1981/3/24,-0.6,3.3,-4.8
1981/3/25,0.0,1.3,-2.1
1981/3/26,1.8,3.6,0.4
1981/3/27,1.8,3.6,-1.1
1981/3/28,0.5,5.0,-3.3
1981/3/29,-0.4,2.0,-2.7
1981/3/30,0.3,4.9,-4.0
1981/3/31,2.3,8.0,-3.6
