ダウンロードした時刻：2019/10/10 15:43:55

,新潟,新潟,新潟
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2006/12/1,5.9,9.0,4.3
2006/12/2,6.9,9.2,5.4
2006/12/3,2.9,5.8,0.9
2006/12/4,2.0,5.6,0.7
2006/12/5,5.3,9.0,2.2
2006/12/6,4.9,7.2,3.0
2006/12/7,6.4,11.2,0.7
2006/12/8,7.6,9.7,5.7
2006/12/9,4.8,6.0,3.8
2006/12/10,7.0,9.0,5.0
2006/12/11,6.4,9.8,2.7
2006/12/12,5.9,9.1,2.2
2006/12/13,8.5,11.3,6.1
2006/12/14,8.7,9.9,7.5
2006/12/15,8.6,11.0,7.1
2006/12/16,8.7,10.8,7.5
2006/12/17,6.9,8.8,3.2
2006/12/18,4.1,7.3,1.3
2006/12/19,4.5,7.7,1.8
2006/12/20,6.2,8.7,3.9
2006/12/21,5.0,8.3,1.4
2006/12/22,5.8,8.2,3.8
2006/12/23,6.3,9.6,3.9
2006/12/24,6.3,8.2,4.7
2006/12/25,6.0,10.5,2.3
2006/12/26,7.8,11.4,2.3
2006/12/27,11.2,13.3,8.7
2006/12/28,6.8,10.1,2.8
2006/12/29,3.9,6.5,0.7
2006/12/30,4.1,6.3,2.2
2006/12/31,4.9,8.0,2.7
2007/1/1,3.8,8.2,0.2
2007/1/2,4.8,9.0,1.6
2007/1/3,5.3,8.1,3.6
2007/1/4,5.3,10.8,2.5
2007/1/5,5.6,9.3,2.8
2007/1/6,5.9,7.6,3.8
2007/1/7,5.8,7.9,4.2
2007/1/8,4.9,6.5,2.8
2007/1/9,4.1,6.9,1.4
2007/1/10,2.9,5.2,0.6
2007/1/11,3.7,5.4,1.3
2007/1/12,2.2,5.1,0.1
2007/1/13,3.7,5.5,2.0
2007/1/14,4.3,6.6,2.8
2007/1/15,3.6,4.9,1.8
2007/1/16,5.4,10.4,1.7
2007/1/17,5.7,8.4,3.8
2007/1/18,4.6,6.8,2.9
2007/1/19,4.6,7.6,2.2
2007/1/20,3.9,8.1,0.7
2007/1/21,4.7,10.5,-0.2
2007/1/22,4.9,8.0,0.8
2007/1/23,6.0,7.8,5.0
2007/1/24,3.3,5.9,1.4
2007/1/25,5.7,6.7,4.4
2007/1/26,6.8,10.8,2.6
2007/1/27,5.5,9.0,2.7
2007/1/28,4.9,8.0,2.1
2007/1/29,6.1,10.4,3.5
2007/1/30,7.1,11.8,2.7
2007/1/31,6.3,8.0,3.7
2007/2/1,3.2,5.2,1.0
2007/2/2,2.4,5.7,-0.7
2007/2/3,5.0,8.4,1.5
2007/2/4,3.0,5.5,0.7
2007/2/5,4.3,11.6,-1.8
2007/2/6,7.5,13.3,2.2
2007/2/7,6.8,9.9,5.4
2007/2/8,6.6,9.6,3.8
2007/2/9,6.2,7.9,4.5
2007/2/10,6.2,7.3,5.3
2007/2/11,4.9,7.4,3.2
2007/2/12,4.0,6.2,1.9
2007/2/13,4.8,9.7,0.4
2007/2/14,8.3,11.3,3.7
2007/2/15,3.2,7.9,0.3
2007/2/16,4.1,6.1,1.4
2007/2/17,5.3,9.3,1.3
2007/2/18,6.7,9.3,4.8
2007/2/19,5.7,9.5,3.5
2007/2/20,4.6,9.7,-0.7
2007/2/21,5.5,11.7,-0.2
2007/2/22,8.4,14.6,2.2
2007/2/23,8.8,14.7,4.3
2007/2/24,2.5,5.3,-0.4
2007/2/25,2.4,6.3,-1.3
2007/2/26,3.6,8.4,-1.8
2007/2/27,4.6,9.8,-0.7
2007/2/28,5.5,8.1,3.5
2007/3/1,5.0,8.8,1.9
2007/3/2,4.8,10.0,-0.7
2007/3/3,7.0,12.1,0.8
2007/3/4,10.4,13.3,7.7
2007/3/5,13.1,18.6,8.6
2007/3/6,4.9,8.7,0.8
2007/3/7,0.9,3.2,-0.1
2007/3/8,1.3,3.3,-0.2
2007/3/9,3.5,8.3,0.5
2007/3/10,6.6,11.6,1.1
2007/3/11,4.1,9.0,0.7
2007/3/12,1.9,4.6,-0.3
2007/3/13,3.3,6.2,1.0
2007/3/14,3.5,6.3,1.0
2007/3/15,5.1,8.7,1.7
2007/3/16,3.9,9.3,-1.1
2007/3/17,3.2,7.2,0.5
2007/3/18,2.5,4.9,0.2
2007/3/19,3.4,7.1,1.0
2007/3/20,2.7,7.2,-0.9
2007/3/21,4.9,9.7,1.4
2007/3/22,6.4,13.5,1.9
2007/3/23,8.2,12.1,4.7
2007/3/24,10.3,15.9,3.9
2007/3/25,10.6,12.6,9.7
2007/3/26,9.1,12.5,6.1
2007/3/27,10.8,17.6,4.3
2007/3/28,9.2,11.9,7.8
2007/3/29,9.3,13.9,7.4
2007/3/30,7.7,8.9,5.1
2007/3/31,7.6,11.6,3.3
