ダウンロードした時刻：2019/10/10 15:49:10

,高山,高山,高山
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1993/12/1,9.1,12.6,5.9
1993/12/2,8.0,15.4,4.1
1993/12/3,9.7,12.6,6.5
1993/12/4,4.7,8.4,0.4
1993/12/5,2.6,7.8,-0.7
1993/12/6,2.3,9.2,-1.6
1993/12/7,2.5,9.6,-1.7
1993/12/8,2.0,10.3,-2.2
1993/12/9,3.3,9.0,-0.3
1993/12/10,1.8,4.0,-1.0
1993/12/11,2.1,5.1,-1.4
1993/12/12,1.0,5.7,-2.7
1993/12/13,1.1,4.3,-1.8
1993/12/14,3.1,7.6,0.2
1993/12/15,-0.9,2.1,-3.0
1993/12/16,0.6,6.0,-5.0
1993/12/17,0.3,2.3,-2.7
1993/12/18,-1.2,0.8,-3.3
1993/12/19,0.5,6.7,-2.5
1993/12/20,1.8,6.1,-1.8
1993/12/21,3.2,8.4,-0.7
1993/12/22,-1.9,0.3,-4.4
1993/12/23,-2.6,0.1,-5.5
1993/12/24,-0.4,6.0,-3.6
1993/12/25,1.2,6.6,-3.4
1993/12/26,2.8,9.6,-1.4
1993/12/27,1.7,3.1,0.5
1993/12/28,0.0,1.2,-1.4
1993/12/29,-0.7,3.3,-4.2
1993/12/30,0.5,8.2,-3.1
1993/12/31,0.9,3.1,-0.8
1994/1/1,-1.6,1.8,-5.3
1994/1/2,-2.0,5.2,-6.3
1994/1/3,-0.5,4.1,-4.6
1994/1/4,1.4,4.4,-0.2
1994/1/5,0.8,4.9,-1.7
1994/1/6,1.5,8.1,-2.4
1994/1/7,-1.9,1.4,-7.5
1994/1/8,-3.6,4.2,-8.8
1994/1/9,-1.9,7.8,-7.7
1994/1/10,0.3,9.2,-4.8
1994/1/11,0.1,6.6,-2.8
1994/1/12,1.2,6.5,-2.5
1994/1/13,0.1,3.7,-3.0
1994/1/14,0.1,4.4,-2.9
1994/1/15,-1.9,2.8,-6.6
1994/1/16,-2.3,9.3,-9.6
1994/1/17,0.6,4.7,-3.6
1994/1/18,2.3,6.1,-0.7
1994/1/19,-2.9,-0.6,-4.2
1994/1/20,-1.5,2.8,-4.8
1994/1/21,-1.3,3.2,-3.5
1994/1/22,-2.5,2.4,-6.9
1994/1/23,-4.4,-1.1,-8.3
1994/1/24,-4.6,-0.4,-8.5
1994/1/25,-3.4,3.4,-8.9
1994/1/26,-0.4,9.0,-7.2
1994/1/27,0.2,3.7,-3.8
1994/1/28,0.1,7.5,-3.9
1994/1/29,-1.8,1.0,-5.3
1994/1/30,-5.6,-3.0,-8.4
1994/1/31,-5.4,1.4,-12.3
1994/2/1,-1.4,1.5,-4.3
1994/2/2,-2.8,0.0,-5.1
1994/2/3,-4.4,-1.2,-5.6
1994/2/4,-2.9,1.6,-5.4
1994/2/5,-1.4,4.9,-6.0
1994/2/6,1.6,7.2,-2.7
1994/2/7,0.5,6.8,-4.0
1994/2/8,1.2,8.7,-5.0
1994/2/9,1.6,6.4,-0.2
1994/2/10,-3.0,-0.1,-5.3
1994/2/11,-3.5,-0.5,-5.4
1994/2/12,-4.0,-1.8,-5.7
1994/2/13,-4.8,-2.4,-6.3
1994/2/14,-3.8,0.7,-9.1
1994/2/15,-4.1,3.3,-13.3
1994/2/16,-0.9,3.7,-5.2
1994/2/17,-1.6,2.4,-6.4
1994/2/18,-2.5,7.4,-10.8
1994/2/19,-2.4,9.9,-11.7
1994/2/20,-0.4,11.2,-10.1
1994/2/21,1.8,5.3,-1.9
1994/2/22,-2.4,-0.2,-3.7
1994/2/23,-2.6,0.3,-4.6
1994/2/24,-3.1,-0.7,-4.9
1994/2/25,-1.1,3.4,-6.3
1994/2/26,-0.1,4.0,-2.6
1994/2/27,-0.9,4.0,-4.9
1994/2/28,-0.1,6.5,-4.4
1994/3/1,-0.5,5.4,-4.6
1994/3/2,-1.1,4.0,-5.1
1994/3/3,-0.6,6.9,-8.4
1994/3/4,0.6,6.0,-3.3
1994/3/5,-1.7,1.8,-5.9
1994/3/6,-1.3,3.3,-6.1
1994/3/7,-0.7,5.5,-7.6
1994/3/8,2.8,4.6,1.3
1994/3/9,4.7,9.3,2.1
1994/3/10,1.5,4.7,-1.7
1994/3/11,1.0,6.5,-3.3
1994/3/12,-0.2,1.8,-3.2
1994/3/13,0.8,5.4,-2.6
1994/3/14,-0.8,6.4,-7.2
1994/3/15,-1.4,4.1,-5.6
1994/3/16,1.2,8.8,-5.2
1994/3/17,1.3,5.3,-1.8
1994/3/18,2.3,11.8,-4.9
1994/3/19,3.6,12.9,-3.2
1994/3/20,2.5,9.3,-1.3
1994/3/21,1.0,5.0,-2.6
1994/3/22,2.8,9.8,-5.2
1994/3/23,5.5,11.4,2.6
1994/3/24,3.5,7.3,-0.6
1994/3/25,0.2,3.6,-2.0
1994/3/26,-0.4,3.9,-3.2
1994/3/27,0.2,6.0,-4.0
1994/3/28,3.4,12.1,-5.4
1994/3/29,3.0,7.3,-0.8
1994/3/30,2.5,11.9,-5.4
1994/3/31,4.9,15.3,-4.0
