ダウンロードした時刻：2017/07/24 15:37:49

,山形,山形,山形
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2014/1/1,3.1,5.2,1.1
2014/1/2,-0.6,3.3,-2.7
2014/1/3,1.5,5.8,-3.1
2014/1/4,1.2,3.2,-1.4
2014/1/5,-0.2,2.9,-3.3
2014/1/6,0.0,3.4,-2.4
2014/1/7,1.5,5.7,-1.6
2014/1/8,1.6,6.6,-2.5
2014/1/9,-0.3,2.1,-4.1
2014/1/10,-3.5,-1.6,-5.6
2014/1/11,-1.9,0.4,-4.1
2014/1/12,-1.2,3.9,-5.5
2014/1/13,-2.8,-0.3,-4.7
2014/1/14,-2.2,1.0,-5.0
2014/1/15,-1.2,3.4,-5.7
2014/1/16,0.4,4.1,-3.0
2014/1/17,-0.2,2.5,-2.3
2014/1/18,-0.1,4.3,-4.5
2014/1/19,-1.8,-0.5,-4.8
2014/1/20,-0.8,3.8,-4.9
2014/1/21,0.7,3.5,-1.1
2014/1/22,-0.8,2.5,-3.4
2014/1/23,-1.7,0.9,-5.5
2014/1/24,-0.9,6.6,-7.8
2014/1/25,8.1,10.8,2.1
2014/1/26,2.1,7.6,-4.0
2014/1/27,-2.0,1.6,-5.1
2014/1/28,-1.2,5.4,-7.8
2014/1/29,-0.7,3.0,-4.4
2014/1/30,0.6,7.7,-6.3
2014/1/31,0.4,6.2,-2.1
2014/2/1,0.1,4.8,-4.9
2014/2/2,2.6,5.4,-0.1
2014/2/3,4.4,9.7,0.9
2014/2/4,-1.2,1.5,-4.6
2014/2/5,-5.8,-4.6,-6.9
2014/2/6,-3.0,-0.3,-5.2
2014/2/7,-2.2,0.6,-3.6
2014/2/8,-3.9,-2.8,-4.9
2014/2/9,-1.7,0.7,-3.9
2014/2/10,-2.4,2.5,-8.1
2014/2/11,-0.9,2.5,-5.5
2014/2/12,-3.1,2.0,-7.1
2014/2/13,-0.9,3.2,-3.8
2014/2/14,-2.2,0.5,-4.8
2014/2/15,-0.2,1.0,-2.7
2014/2/16,1.7,4.3,-0.4
2014/2/17,-0.1,2.7,-2.7
2014/2/18,-2.1,0.7,-4.2
2014/2/19,-1.8,2.0,-4.8
2014/2/20,-0.9,2.7,-5.3
2014/2/21,-1.1,1.5,-3.2
2014/2/22,-1.7,2.4,-5.8
2014/2/23,-0.8,4.0,-4.3
2014/2/24,0.2,4.7,-3.5
2014/2/25,2.2,5.5,-2.0
2014/2/26,3.0,8.1,-1.2
2014/2/27,3.0,7.6,-1.8
2014/2/28,4.5,9.7,0.5
2014/3/1,2.4,6.2,-1.3
2014/3/2,1.6,3.3,0.1
2014/3/3,0.4,5.0,-1.7
2014/3/4,1.9,7.7,-2.8
2014/3/5,1.7,3.8,-0.4
2014/3/6,-1.8,2.5,-4.5
2014/3/7,-2.7,0.8,-4.9
2014/3/8,-1.7,1.1,-3.8
2014/3/9,1.1,6.3,-3.7
2014/3/10,-1.3,2.6,-3.0
2014/3/11,0.3,3.2,-3.1
2014/3/12,1.4,2.9,0.1
2014/3/13,2.5,3.9,0.1
2014/3/14,3.5,6.5,-0.4
2014/3/15,2.2,6.0,-0.9
2014/3/16,3.0,7.6,-0.6
2014/3/17,4.1,10.9,-2.0
2014/3/18,4.9,9.8,-0.9
2014/3/19,4.9,8.6,2.8
2014/3/20,1.8,4.1,0.2
2014/3/21,1.7,4.6,0.2
2014/3/22,3.0,6.9,-0.5
2014/3/23,4.4,8.2,1.3
2014/3/24,8.5,15.1,1.0
2014/3/25,13.0,17.1,4.9
2014/3/26,11.1,16.7,6.2
2014/3/27,8.6,14.7,4.7
2014/3/28,8.0,15.7,2.4
2014/3/29,11.5,21.6,2.8
2014/3/30,7.6,9.4,6.6
2014/3/31,8.0,12.6,4.6
2014/4/1,8.2,14.3,3.2
2014/4/2,9.3,19.0,-0.1
2014/4/3,12.3,21.4,5.1
2014/4/4,9.3,12.1,5.3
2014/4/5,4.0,7.6,0.9
2014/4/6,3.5,8.4,0.3
2014/4/7,7.9,12.3,1.5
2014/4/8,10.2,16.1,4.0
2014/4/9,8.9,17.9,-0.1
2014/4/10,8.7,18.0,3.0
2014/4/11,5.8,11.8,2.0
2014/4/12,8.4,14.5,0.1
2014/4/13,9.0,16.5,1.3
2014/4/14,9.1,17.6,1.2
2014/4/15,10.9,20.1,1.3
2014/4/16,12.0,16.6,5.6
2014/4/17,10.4,19.0,1.7
2014/4/18,10.0,17.0,4.3
2014/4/19,8.8,14.9,4.6
2014/4/20,8.9,15.9,2.0
2014/4/21,9.9,13.6,6.9
2014/4/22,10.9,17.3,6.4
2014/4/23,10.3,18.1,3.6
2014/4/24,11.8,19.8,3.4
2014/4/25,13.6,22.3,4.2
2014/4/26,15.6,24.8,6.7
2014/4/27,16.5,25.4,8.3
2014/4/28,14.7,20.7,9.7
2014/4/29,14.2,20.7,8.5
2014/4/30,15.1,19.9,10.5
2014/5/1,15.9,22.1,12.7
