ダウンロードした時刻：2019/10/10 15:38:27

,酒田,酒田,酒田
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1993/12/1,10.3,16.1,6.6
1993/12/2,9.2,13.9,5.0
1993/12/3,7.8,14.1,3.4
1993/12/4,4.5,6.1,2.7
1993/12/5,5.5,6.4,4.4
1993/12/6,3.4,6.6,0.1
1993/12/7,3.4,7.5,1.5
1993/12/8,5.0,9.2,1.6
1993/12/9,6.4,8.7,3.8
1993/12/10,5.8,7.1,4.1
1993/12/11,7.4,11.3,6.0
1993/12/12,6.9,9.6,4.1
1993/12/13,6.7,10.2,3.1
1993/12/14,2.0,6.4,0.1
1993/12/15,0.1,1.3,-1.1
1993/12/16,1.0,3.3,-0.8
1993/12/17,1.9,7.4,-1.6
1993/12/18,1.0,3.5,-1.1
1993/12/19,2.4,5.3,-1.3
1993/12/20,3.1,7.1,-1.4
1993/12/21,4.6,8.4,1.0
1993/12/22,-0.2,2.3,-2.5
1993/12/23,1.4,4.6,-2.3
1993/12/24,5.8,8.3,3.2
1993/12/25,4.1,6.4,2.6
1993/12/26,5.8,11.0,2.7
1993/12/27,6.6,10.0,4.8
1993/12/28,2.7,5.5,0.8
1993/12/29,4.6,5.7,3.5
1993/12/30,5.8,8.3,3.8
1993/12/31,5.3,11.1,1.9
1994/1/1,1.9,3.9,-0.3
1994/1/2,5.3,9.4,1.2
1994/1/3,6.2,8.4,4.7
1994/1/4,3.7,5.6,1.0
1994/1/5,-0.3,3.3,-2.8
1994/1/6,1.3,7.5,-2.9
1994/1/7,0.3,6.1,-2.6
1994/1/8,0.6,3.1,-1.6
1994/1/9,4.6,7.6,0.8
1994/1/10,3.7,7.5,-0.5
1994/1/11,2.1,7.1,-2.4
1994/1/12,1.5,3.5,-0.7
1994/1/13,1.6,4.3,-0.8
1994/1/14,2.4,5.5,0.4
1994/1/15,1.3,3.2,-1.3
1994/1/16,4.1,8.9,0.2
1994/1/17,4.7,9.1,2.3
1994/1/18,1.1,4.2,-2.8
1994/1/19,-1.7,0.0,-3.1
1994/1/20,0.0,2.4,-1.9
1994/1/21,-0.2,2.4,-2.5
1994/1/22,1.4,4.2,-2.2
1994/1/23,-0.3,4.2,-2.9
1994/1/24,-0.5,1.4,-3.6
1994/1/25,0.7,4.0,-1.7
1994/1/26,2.1,3.5,0.6
1994/1/27,0.4,2.3,-2.2
1994/1/28,-1.1,1.1,-2.9
1994/1/29,-0.6,2.8,-2.5
1994/1/30,-2.5,0.4,-5.9
1994/1/31,0.0,3.4,-5.2
1994/2/1,1.3,3.6,-1.2
1994/2/2,-0.4,3.2,-2.7
1994/2/3,-1.1,0.1,-2.9
1994/2/4,0.1,2.6,-3.0
1994/2/5,3.4,6.3,0.8
1994/2/6,3.9,7.3,-0.2
1994/2/7,3.2,7.6,0.5
1994/2/8,3.7,5.9,0.8
1994/2/9,4.5,7.8,2.3
1994/2/10,3.2,5.6,0.5
1994/2/11,0.1,1.2,-1.3
1994/2/12,-0.4,1.1,-2.9
1994/2/13,-1.9,-0.3,-3.3
1994/2/14,0.0,1.6,-2.1
1994/2/15,3.3,5.1,0.7
1994/2/16,3.6,4.3,2.3
1994/2/17,2.2,3.9,0.3
1994/2/18,5.5,7.5,2.4
1994/2/19,5.9,9.1,0.7
1994/2/20,5.7,12.6,0.2
1994/2/21,7.7,10.5,4.5
1994/2/22,1.8,5.1,0.1
1994/2/23,0.0,2.0,-2.1
1994/2/24,1.9,5.1,-0.9
1994/2/25,4.4,7.0,1.3
1994/2/26,2.9,5.8,1.0
1994/2/27,2.7,6.2,-0.7
1994/2/28,3.7,6.5,1.3
1994/3/1,3.4,7.3,0.4
1994/3/2,2.1,4.5,-0.7
1994/3/3,2.0,7.0,-3.3
1994/3/4,1.2,4.7,-1.2
1994/3/5,0.8,3.2,-1.2
1994/3/6,1.1,3.4,-1.3
1994/3/7,3.3,8.7,-2.1
1994/3/8,6.0,8.0,3.3
1994/3/9,6.8,9.7,2.4
1994/3/10,1.6,3.5,0.0
1994/3/11,1.9,4.6,-0.2
1994/3/12,2.5,5.5,0.6
1994/3/13,1.2,2.9,-0.3
1994/3/14,1.7,5.5,-1.4
1994/3/15,2.7,5.6,-0.6
1994/3/16,4.1,8.1,0.4
1994/3/17,3.7,7.1,1.2
1994/3/18,3.5,7.0,-0.4
1994/3/19,4.6,11.7,-2.3
1994/3/20,4.5,7.8,2.2
1994/3/21,3.0,5.0,1.3
1994/3/22,3.8,7.1,0.2
1994/3/23,5.9,7.9,3.6
1994/3/24,5.7,8.0,4.6
1994/3/25,3.6,7.2,1.1
1994/3/26,2.8,6.2,0.5
1994/3/27,4.3,6.7,0.4
1994/3/28,8.5,12.1,3.5
1994/3/29,5.5,7.7,3.2
1994/3/30,4.2,7.9,-0.3
1994/3/31,4.7,9.3,0.0
