ダウンロードした時刻：2019/10/10 15:46:50

,高田,高田,高田
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1987/12/1,5.1,9.0,-1.9
1987/12/2,2.4,4.8,0.5
1987/12/3,3.4,7.5,-0.3
1987/12/4,1.4,6.3,0.3
1987/12/5,1.9,4.5,0.1
1987/12/6,1.4,3.3,0.4
1987/12/7,1.0,2.0,0.2
1987/12/8,2.5,8.5,-0.7
1987/12/9,5.4,10.7,-1.1
1987/12/10,7.0,13.2,3.2
1987/12/11,6.9,12.3,1.4
1987/12/12,4.4,6.8,2.9
1987/12/13,4.2,7.0,2.2
1987/12/14,4.4,9.5,-0.5
1987/12/15,7.6,12.5,3.6
1987/12/16,6.0,11.9,2.5
1987/12/17,3.8,9.7,2.2
1987/12/18,2.0,6.7,-1.7
1987/12/19,5.0,12.6,-2.5
1987/12/20,5.8,10.6,3.0
1987/12/21,2.2,3.0,0.6
1987/12/22,6.1,11.7,2.6
1987/12/23,6.0,11.7,3.0
1987/12/24,7.4,14.4,2.6
1987/12/25,9.9,16.0,2.7
1987/12/26,10.5,16.1,5.2
1987/12/27,9.9,18.3,2.7
1987/12/28,9.9,19.3,2.1
1987/12/29,10.4,18.0,4.0
1987/12/30,6.6,17.0,1.7
1987/12/31,1.1,2.8,-1.2
1988/1/1,3.1,9.6,-2.6
1988/1/2,5.6,7.9,3.4
1988/1/3,3.1,4.8,-0.6
1988/1/4,5.2,7.9,2.4
1988/1/5,1.3,3.7,0.3
1988/1/6,1.2,4.2,-1.0
1988/1/7,3.1,10.8,-3.6
1988/1/8,6.4,12.2,3.3
1988/1/9,2.4,5.4,0.6
1988/1/10,1.2,2.4,-0.1
1988/1/11,2.2,5.2,-0.5
1988/1/12,3.6,8.2,0.7
1988/1/13,5.1,10.6,-0.9
1988/1/14,5.9,12.3,1.3
1988/1/15,5.6,10.9,2.2
1988/1/16,3.6,7.9,0.6
1988/1/17,2.8,6.1,0.9
1988/1/18,1.6,3.0,-0.4
1988/1/19,1.6,6.1,-1.9
1988/1/20,3.7,11.4,-3.1
1988/1/21,8.6,12.9,3.9
1988/1/22,10.7,17.5,4.5
1988/1/23,3.1,9.4,-0.5
1988/1/24,0.0,1.5,-1.8
1988/1/25,3.9,6.4,-3.1
1988/1/26,2.5,4.5,0.6
1988/1/27,1.8,3.9,0.3
1988/1/28,2.7,5.2,-0.9
1988/1/29,6.2,14.0,-0.8
1988/1/30,0.2,2.8,-0.5
1988/1/31,1.0,4.2,0.2
1988/2/1,0.8,4.2,-1.3
1988/2/2,2.9,9.4,-1.6
1988/2/3,-2.4,-1.1,-3.4
1988/2/4,2.2,5.4,-1.9
1988/2/5,6.1,12.4,1.9
1988/2/6,2.1,5.2,0.7
1988/2/7,-0.9,2.1,-2.7
1988/2/8,-0.8,2.9,-4.4
1988/2/9,-1.2,1.7,-4.3
1988/2/10,-0.2,1.3,-3.3
1988/2/11,0.3,1.4,-0.7
1988/2/12,2.2,6.4,-2.2
1988/2/13,2.3,5.5,0.4
1988/2/14,-0.2,1.9,-2.7
1988/2/15,-0.9,2.8,-3.6
1988/2/16,-1.2,0.9,-2.3
1988/2/17,-1.6,-0.4,-2.3
1988/2/18,-1.7,2.9,-7.6
1988/2/19,0.7,4.5,-2.0
1988/2/20,1.0,6.0,-0.1
1988/2/21,-0.1,2.5,-2.3
1988/2/22,-1.9,3.2,-7.1
1988/2/23,3.5,7.1,-3.8
1988/2/24,1.5,3.5,-0.3
1988/2/25,1.9,4.8,-1.0
1988/2/26,2.1,6.5,-0.5
1988/2/27,1.9,4.4,-0.1
1988/2/28,2.8,6.3,-0.7
1988/2/29,3.6,6.8,1.6
1988/3/1,2.9,5.7,1.5
1988/3/2,3.8,6.8,1.9
1988/3/3,1.9,4.8,-0.5
1988/3/4,0.4,4.0,-2.0
1988/3/5,3.0,8.6,-1.8
1988/3/6,2.3,7.1,0.3
1988/3/7,0.3,5.0,-0.8
1988/3/8,0.9,3.9,-2.1
1988/3/9,0.8,2.6,-0.7
1988/3/10,4.0,8.7,0.8
1988/3/11,7.5,13.3,0.7
1988/3/12,9.3,12.9,6.2
1988/3/13,6.2,11.8,0.3
1988/3/14,8.9,15.8,1.3
1988/3/15,2.8,5.7,-0.5
1988/3/16,1.4,4.4,-1.7
1988/3/17,3.3,6.1,-1.6
1988/3/18,5.5,8.2,3.8
1988/3/19,5.6,13.4,1.3
1988/3/20,4.0,7.1,0.3
1988/3/21,6.5,11.4,-0.3
1988/3/22,9.0,12.8,6.1
1988/3/23,5.7,8.4,2.8
1988/3/24,3.7,7.7,0.0
1988/3/25,5.6,10.2,-0.8
1988/3/26,3.8,5.7,2.7
1988/3/27,4.1,7.2,2.1
1988/3/28,6.3,12.6,0.5
1988/3/29,7.0,11.9,3.4
1988/3/30,7.6,11.0,4.3
1988/3/31,6.2,9.4,2.4
