ダウンロードした時刻：2019/10/10 15:41:59

,小名浜,小名浜,小名浜
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1999/12/1,9.4,12.7,6.0
1999/12/2,9.5,12.9,7.3
1999/12/3,7.1,10.4,3.8
1999/12/4,7.6,12.3,2.9
1999/12/5,10.4,14.7,4.7
1999/12/6,10.2,12.7,8.3
1999/12/7,6.4,9.6,4.4
1999/12/8,6.7,11.5,3.3
1999/12/9,9.2,14.8,2.8
1999/12/10,9.8,15.0,4.1
1999/12/11,7.4,12.7,3.1
1999/12/12,5.6,9.9,2.3
1999/12/13,6.7,13.7,1.8
1999/12/14,6.1,10.2,2.6
1999/12/15,3.9,7.9,0.6
1999/12/16,5.8,11.8,0.7
1999/12/17,6.7,12.8,2.1
1999/12/18,5.2,7.9,3.0
1999/12/19,4.1,9.2,-0.6
1999/12/20,4.2,10.8,-1.5
1999/12/21,5.0,9.9,0.7
1999/12/22,4.7,9.6,-0.2
1999/12/23,4.4,9.3,0.4
1999/12/24,4.4,11.4,-2.1
1999/12/25,6.2,14.4,-0.8
1999/12/26,5.3,10.5,-0.2
1999/12/27,3.4,9.7,-2.4
1999/12/28,5.4,12.6,-1.4
1999/12/29,8.2,14.9,2.1
1999/12/30,7.6,11.8,3.6
1999/12/31,7.1,11.2,4.2
2000/1/1,6.9,11.4,3.7
2000/1/2,5.3,9.3,0.6
2000/1/3,8.1,13.7,5.1
2000/1/4,8.7,13.0,5.6
2000/1/5,8.0,12.3,2.9
2000/1/6,9.9,13.6,6.2
2000/1/7,11.7,15.5,7.6
2000/1/8,7.8,10.4,5.3
2000/1/9,8.2,12.7,2.2
2000/1/10,9.8,15.8,5.3
2000/1/11,5.2,8.8,3.2
2000/1/12,3.8,6.5,1.9
2000/1/13,6.9,9.9,2.8
2000/1/14,10.2,15.0,7.1
2000/1/15,6.9,10.1,3.0
2000/1/16,4.8,9.9,-0.5
2000/1/17,5.9,9.2,2.2
2000/1/18,5.9,10.3,2.9
2000/1/19,4.8,8.5,1.6
2000/1/20,6.0,11.7,0.7
2000/1/21,2.3,5.5,0.0
2000/1/22,2.3,7.1,-2.3
2000/1/23,4.9,11.1,-0.4
2000/1/24,5.2,10.1,1.2
2000/1/25,2.5,5.4,-1.1
2000/1/26,0.8,5.5,-3.1
2000/1/27,0.6,4.5,-2.7
2000/1/28,1.7,8.4,-5.2
2000/1/29,3.5,9.1,-2.5
2000/1/30,6.2,12.7,0.1
2000/1/31,3.3,7.1,0.0
2000/2/1,3.0,7.5,-1.9
2000/2/2,5.1,10.9,-0.6
2000/2/3,5.2,12.3,-0.9
2000/2/4,5.0,9.6,0.7
2000/2/5,3.8,10.3,-2.7
2000/2/6,4.7,7.8,-0.4
2000/2/7,7.8,13.7,2.9
2000/2/8,4.8,9.1,2.5
2000/2/9,3.9,8.3,-0.2
2000/2/10,3.1,8.4,-0.8
2000/2/11,4.2,10.6,-2.7
2000/2/12,5.5,9.4,0.5
2000/2/13,5.7,9.3,2.2
2000/2/14,4.2,7.3,-0.2
2000/2/15,2.5,6.2,-0.8
2000/2/16,-0.7,3.1,-2.5
2000/2/17,0.9,5.9,-2.7
2000/2/18,2.0,7.4,-2.2
2000/2/19,3.5,7.8,-2.0
2000/2/20,3.4,4.5,2.0
2000/2/21,2.4,6.7,-0.9
2000/2/22,1.6,6.0,-2.4
2000/2/23,2.9,8.2,-1.0
2000/2/24,2.7,7.2,-1.0
2000/2/25,0.8,5.8,-2.3
2000/2/26,1.2,4.5,-2.5
2000/2/27,2.4,5.5,-1.3
2000/2/28,3.4,8.5,-0.2
2000/2/29,1.8,6.4,-1.6
2000/3/1,2.4,7.9,-2.4
2000/3/2,5.1,10.1,-1.7
2000/3/3,6.3,11.8,-0.2
2000/3/4,8.4,12.7,2.3
2000/3/5,10.5,14.8,5.9
2000/3/6,4.9,7.2,3.5
2000/3/7,6.5,14.0,0.3
2000/3/8,4.4,9.4,0.3
2000/3/9,1.6,8.0,-1.9
2000/3/10,2.6,7.7,-2.2
2000/3/11,5.0,9.9,-2.4
2000/3/12,6.1,9.4,2.6
2000/3/13,5.6,12.4,0.4
2000/3/14,4.8,9.9,1.0
2000/3/15,5.2,10.3,0.1
2000/3/16,4.6,7.6,1.5
2000/3/17,6.1,12.3,3.0
2000/3/18,6.5,11.8,0.0
2000/3/19,9.0,13.5,2.8
2000/3/20,8.0,12.6,3.2
2000/3/21,4.8,7.9,0.8
2000/3/22,6.7,12.4,1.5
2000/3/23,6.5,11.5,-0.4
2000/3/24,9.7,13.9,3.4
2000/3/25,5.3,10.3,2.2
2000/3/26,3.7,9.9,0.3
2000/3/27,5.3,10.5,-0.9
2000/3/28,8.7,13.5,3.1
2000/3/29,13.3,17.7,9.5
2000/3/30,11.2,15.4,7.6
2000/3/31,10.4,13.9,5.2
