ダウンロードした時刻：2019/10/10 15:33:01

,室蘭,室蘭,室蘭
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1988/12/1,2.9,4.0,1.6
1988/12/2,2.2,5.0,-0.7
1988/12/3,6.9,9.6,4.9
1988/12/4,8.0,10.1,6.2
1988/12/5,2.5,7.6,-2.4
1988/12/6,0.3,4.0,-4.0
1988/12/7,7.5,9.3,3.9
1988/12/8,9.1,11.1,6.7
1988/12/9,6.2,12.4,1.5
1988/12/10,-1.1,1.8,-2.6
1988/12/11,-1.1,1.0,-3.3
1988/12/12,2.1,4.8,0.0
1988/12/13,5.2,7.8,0.6
1988/12/14,6.0,9.0,0.9
1988/12/15,1.1,2.9,-0.9
1988/12/16,-0.1,1.8,-2.2
1988/12/17,-1.3,0.5,-2.5
1988/12/18,0.0,1.6,-1.2
1988/12/19,0.1,1.4,-1.2
1988/12/20,0.3,3.0,-1.4
1988/12/21,-3.6,-1.0,-5.9
1988/12/22,-4.4,-2.9,-6.3
1988/12/23,-0.5,1.6,-4.7
1988/12/24,-0.9,0.7,-2.0
1988/12/25,-2.4,-0.7,-4.0
1988/12/26,-3.9,-1.3,-5.4
1988/12/27,-0.7,1.1,-4.0
1988/12/28,-5.4,0.7,-8.0
1988/12/29,-4.1,-2.5,-7.4
1988/12/30,-1.7,0.0,-3.5
1988/12/31,2.0,3.4,-0.2
1989/1/1,2.7,4.9,0.9
1989/1/2,1.9,3.3,0.0
1989/1/3,1.1,4.4,-2.1
1989/1/4,-1.4,0.4,-4.6
1989/1/5,-0.4,0.5,-1.3
1989/1/6,0.4,1.8,-0.9
1989/1/7,1.9,6.1,-3.0
1989/1/8,3.2,6.3,-0.3
1989/1/9,0.1,1.7,-2.6
1989/1/10,2.1,3.2,0.7
1989/1/11,0.3,2.8,-1.4
1989/1/12,-2.5,0.5,-5.0
1989/1/13,-2.5,0.4,-6.1
1989/1/14,-3.9,-1.7,-6.4
1989/1/15,-2.8,-1.1,-6.2
1989/1/16,0.3,1.7,-1.3
1989/1/17,-0.1,1.5,-1.3
1989/1/18,1.2,3.8,-1.1
1989/1/19,2.2,3.9,1.0
1989/1/20,0.8,1.5,0.0
1989/1/21,0.6,3.4,-4.5
1989/1/22,-5.5,-3.6,-7.2
1989/1/23,-3.3,-0.8,-7.3
1989/1/24,-1.5,1.0,-4.0
1989/1/25,-3.7,-1.3,-6.1
1989/1/26,0.3,2.9,-4.9
1989/1/27,-0.4,2.4,-3.4
1989/1/28,-4.0,-2.3,-5.7
1989/1/29,-3.9,-2.1,-6.3
1989/1/30,-1.2,0.6,-3.3
1989/1/31,1.3,3.4,-1.5
1989/2/1,-1.5,1.1,-3.7
1989/2/2,-3.1,-0.7,-5.1
1989/2/3,-4.1,-2.7,-6.2
1989/2/4,-2.4,-0.3,-3.8
1989/2/5,0.0,1.2,-2.7
1989/2/6,0.8,2.1,-0.9
1989/2/7,0.5,2.4,-1.2
1989/2/8,1.7,3.1,-0.9
1989/2/9,1.4,4.1,-1.0
1989/2/10,-1.1,1.6,-4.1
1989/2/11,-1.8,0.7,-4.9
1989/2/12,-0.7,1.5,-2.0
1989/2/13,-0.1,2.3,-2.4
1989/2/14,1.3,4.2,-1.4
1989/2/15,3.1,5.8,-0.6
1989/2/16,2.6,6.4,-2.1
1989/2/17,-2.0,0.2,-3.3
1989/2/18,-1.6,0.9,-4.7
1989/2/19,-0.5,2.1,-3.1
1989/2/20,0.6,1.9,-1.0
1989/2/21,-1.4,1.1,-4.5
1989/2/22,-4.1,-1.5,-5.5
1989/2/23,-1.1,1.3,-4.8
1989/2/24,1.4,4.2,-1.6
1989/2/25,0.5,2.5,-0.8
1989/2/26,-0.7,3.8,-4.0
1989/2/27,-1.3,1.6,-5.9
1989/2/28,3.1,5.1,0.0
1989/3/1,2.7,5.6,-0.1
1989/3/2,1.2,4.3,-0.9
1989/3/3,0.9,2.2,-1.1
1989/3/4,2.5,4.4,0.3
1989/3/5,1.5,4.0,0.0
1989/3/6,1.2,3.9,-0.6
1989/3/7,0.3,4.0,-2.3
1989/3/8,-1.7,0.6,-3.1
1989/3/9,-0.6,2.4,-3.1
1989/3/10,2.1,5.8,-1.4
1989/3/11,1.2,3.5,-0.3
1989/3/12,3.0,7.2,0.8
1989/3/13,2.3,3.4,0.4
1989/3/14,3.5,6.4,2.5
1989/3/15,1.7,3.4,0.1
1989/3/16,2.4,5.1,-0.1
1989/3/17,1.1,4.4,-0.5
1989/3/18,1.7,4.3,0.6
1989/3/19,3.9,8.6,1.2
1989/3/20,4.4,8.2,1.8
1989/3/21,2.2,4.3,1.3
1989/3/22,2.0,4.8,1.1
1989/3/23,3.3,8.9,0.8
1989/3/24,1.8,4.3,0.8
1989/3/25,1.7,4.0,0.3
1989/3/26,4.0,7.6,1.0
1989/3/27,4.3,9.6,0.3
1989/3/28,3.0,5.8,1.8
1989/3/29,2.8,7.1,0.1
1989/3/30,5.8,10.3,1.2
1989/3/31,5.0,7.0,3.6
