ダウンロードした時刻：2017/07/24 15:44:49

,洲本,洲本,洲本
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1982/1/1,6.1,10.1,2.8
1982/1/2,5.3,9.2,2.2
1982/1/3,5.9,8.2,1.8
1982/1/4,9.3,12.5,6.1
1982/1/5,7.4,10.7,4.2
1982/1/6,5.1,7.1,3.7
1982/1/7,3.0,5.5,-0.3
1982/1/8,2.4,5.7,-0.7
1982/1/9,6.7,10.0,2.5
1982/1/10,5.7,9.1,3.2
1982/1/11,8.7,12.1,4.1
1982/1/12,11.4,15.4,5.7
1982/1/13,4.0,7.0,0.8
1982/1/14,2.6,6.1,-0.7
1982/1/15,3.3,7.0,-0.5
1982/1/16,2.7,6.4,0.1
1982/1/17,1.7,5.2,-0.3
1982/1/18,3.5,10.9,0.0
1982/1/19,1.1,3.9,-0.3
1982/1/20,2.7,6.1,0.3
1982/1/21,5.1,8.7,0.8
1982/1/22,7.2,11.5,3.5
1982/1/23,5.7,8.9,3.0
1982/1/24,4.5,6.7,2.0
1982/1/25,5.2,8.0,3.3
1982/1/26,4.4,7.5,1.9
1982/1/27,5.7,10.0,2.5
1982/1/28,1.7,4.7,-0.6
1982/1/29,-0.7,2.2,-2.7
1982/1/30,0.8,4.2,-2.4
1982/1/31,2.3,5.2,-1.4
1982/2/1,3.9,7.0,1.9
1982/2/2,2.0,5.8,-0.4
1982/2/3,3.8,7.6,-0.8
1982/2/4,3.8,5.8,2.3
1982/2/5,2.5,5.4,1.1
1982/2/6,3.3,7.3,0.3
1982/2/7,1.0,4.5,-1.6
1982/2/8,2.4,6.3,-1.1
1982/2/9,2.6,6.6,-1.5
1982/2/10,3.5,7.4,0.3
1982/2/11,4.5,8.1,-0.8
1982/2/12,5.8,8.9,4.0
1982/2/13,5.3,9.3,1.3
1982/2/14,2.9,7.3,-0.3
1982/2/15,3.2,6.8,0.2
1982/2/16,5.0,8.3,1.0
1982/2/17,3.3,6.4,0.8
1982/2/18,6.5,9.9,2.5
1982/2/19,9.4,14.0,5.5
1982/2/20,10.1,14.1,8.2
1982/2/21,7.7,9.8,5.0
1982/2/22,6.2,9.8,3.2
1982/2/23,6.6,9.8,3.9
1982/2/24,4.7,7.0,2.7
1982/2/25,4.2,8.1,1.8
1982/2/26,2.9,6.9,0.0
1982/2/27,4.6,7.8,0.3
1982/2/28,6.5,9.2,4.9
1982/3/1,5.2,8.3,3.8
1982/3/2,4.0,7.4,0.6
1982/3/3,4.1,7.7,0.2
1982/3/4,8.4,13.3,2.2
1982/3/5,12.8,16.2,7.9
1982/3/6,8.1,13.5,4.9
1982/3/7,4.3,8.3,1.9
1982/3/8,4.6,8.3,0.2
1982/3/9,6.0,11.4,0.8
1982/3/10,8.0,12.1,3.9
1982/3/11,9.7,13.7,4.9
1982/3/12,8.4,10.0,6.8
1982/3/13,9.3,14.0,6.3
1982/3/14,9.3,14.0,4.4
1982/3/15,13.6,16.6,9.2
1982/3/16,14.0,18.2,10.8
1982/3/17,9.7,12.8,7.5
1982/3/18,8.3,12.4,5.6
1982/3/19,7.6,10.2,3.3
1982/3/20,9.7,13.0,7.5
1982/3/21,9.7,12.9,6.8
1982/3/22,10.4,14.8,5.6
1982/3/23,14.4,19.2,8.4
1982/3/24,8.4,15.5,3.5
1982/3/25,4.5,8.2,2.1
1982/3/26,4.8,9.1,1.0
1982/3/27,6.5,9.8,2.9
1982/3/28,7.6,12.5,3.8
1982/3/29,8.9,13.9,2.6
1982/3/30,13.3,19.2,7.8
1982/3/31,10.9,15.1,6.7
1982/4/1,9.5,14.4,4.7
1982/4/2,13.9,20.5,7.3
1982/4/3,10.2,16.6,4.9
1982/4/4,7.1,11.0,4.6
1982/4/5,9.2,12.4,4.6
1982/4/6,11.2,12.9,9.1
1982/4/7,10.3,11.7,9.7
1982/4/8,14.1,20.3,9.5
1982/4/9,8.3,15.6,4.5
1982/4/10,7.4,11.5,3.9
1982/4/11,9.1,13.6,3.6
1982/4/12,11.9,18.7,6.3
1982/4/13,14.6,19.0,11.2
1982/4/14,12.0,12.8,11.4
1982/4/15,12.5,16.4,9.6
1982/4/16,13.0,20.3,8.0
1982/4/17,11.3,15.6,7.6
1982/4/18,10.0,14.3,6.3
1982/4/19,11.9,17.0,5.6
1982/4/20,14.5,19.9,8.9
1982/4/21,10.1,13.9,8.4
1982/4/22,11.9,17.2,7.4
1982/4/23,13.6,21.1,7.9
1982/4/24,15.2,21.8,11.2
1982/4/25,16.4,22.8,11.3
1982/4/26,16.0,21.0,12.4
1982/4/27,15.7,19.9,12.5
1982/4/28,15.3,18.7,12.6
1982/4/29,16.7,20.9,14.2
1982/4/30,17.5,21.8,13.9
1982/5/1,18.2,20.8,16.5
