ダウンロードした時刻：2019/10/10 16:10:32

,岡山,岡山,岡山
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2012/12/1,7.2,11.3,4.2
2012/12/2,4.5,7.9,1.5
2012/12/3,6.2,11.6,1.4
2012/12/4,7.1,11.0,2.5
2012/12/5,5.8,9.8,1.7
2012/12/6,4.6,7.5,0.1
2012/12/7,4.2,8.0,-0.7
2012/12/8,4.6,8.4,1.1
2012/12/9,2.8,6.5,0.5
2012/12/10,3.4,8.0,0.3
2012/12/11,4.0,9.0,0.2
2012/12/12,4.6,10.1,-0.4
2012/12/13,4.6,9.9,-0.3
2012/12/14,6.2,11.0,0.5
2012/12/15,11.0,13.0,9.2
2012/12/16,10.7,13.6,7.6
2012/12/17,6.0,7.7,3.3
2012/12/18,7.5,10.6,4.0
2012/12/19,4.6,9.1,1.6
2012/12/20,5.5,10.4,1.2
2012/12/21,4.7,8.6,1.3
2012/12/22,8.2,12.7,5.4
2012/12/23,4.3,10.3,0.1
2012/12/24,1.7,6.1,-1.0
2012/12/25,3.7,8.7,-0.8
2012/12/26,3.4,7.2,0.6
2012/12/27,2.3,7.2,-2.2
2012/12/28,3.4,6.2,0.7
2012/12/29,7.5,11.4,3.4
2012/12/30,7.0,8.1,4.9
2012/12/31,2.6,5.2,-0.5
2013/1/1,2.8,6.9,-2.3
2013/1/2,4.4,11.1,0.5
2013/1/3,1.4,4.4,-1.1
2013/1/4,1.2,5.2,-2.8
2013/1/5,1.9,6.7,-2.9
2013/1/6,4.1,8.8,-0.1
2013/1/7,4.4,10.0,-0.8
2013/1/8,5.2,10.3,-0.3
2013/1/9,4.9,9.8,1.5
2013/1/10,3.4,8.3,0.1
2013/1/11,3.3,8.2,-1.2
2013/1/12,4.1,10.0,-0.5
2013/1/13,4.5,8.2,0.3
2013/1/14,5.9,9.5,3.2
2013/1/15,4.3,6.8,0.7
2013/1/16,4.1,8.4,-0.7
2013/1/17,4.4,7.7,1.4
2013/1/18,2.0,5.9,-1.3
2013/1/19,4.0,9.8,-2.0
2013/1/20,5.8,9.1,2.4
2013/1/21,3.4,7.1,-0.6
2013/1/22,7.0,11.8,3.9
2013/1/23,5.8,9.6,2.5
2013/1/24,6.0,11.6,0.3
2013/1/25,3.5,7.0,0.5
2013/1/26,2.2,7.3,-0.8
2013/1/27,1.3,5.8,-2.8
2013/1/28,2.1,6.0,-1.5
2013/1/29,4.2,9.9,-1.7
2013/1/30,6.3,11.6,2.2
2013/1/31,5.5,11.2,0.6
2013/2/1,6.4,10.9,0.9
2013/2/2,11.7,17.9,7.7
2013/2/3,8.0,12.7,4.6
2013/2/4,7.6,10.9,5.2
2013/2/5,6.5,8.9,2.9
2013/2/6,6.6,10.1,2.6
2013/2/7,6.9,11.1,1.6
2013/2/8,0.8,3.2,-0.7
2013/2/9,2.3,6.6,-1.8
2013/2/10,4.7,10.1,-0.4
2013/2/11,4.9,9.3,1.7
2013/2/12,3.1,6.8,-0.3
2013/2/13,5.0,8.5,2.7
2013/2/14,5.3,10.1,1.0
2013/2/15,5.3,8.4,3.3
2013/2/16,3.1,6.9,0.7
2013/2/17,2.6,5.7,-1.4
2013/2/18,5.2,7.3,2.5
2013/2/19,3.8,6.1,1.2
2013/2/20,3.8,9.1,-0.4
2013/2/21,3.6,8.6,-1.0
2013/2/22,4.8,10.1,0.0
2013/2/23,5.9,9.8,2.2
2013/2/24,4.6,9.1,1.1
2013/2/25,3.9,8.4,-0.2
2013/2/26,3.7,7.8,-0.1
2013/2/27,8.6,14.1,4.3
2013/2/28,8.5,14.6,3.1
2013/3/1,8.1,10.5,4.4
2013/3/2,5.5,8.0,3.1
2013/3/3,4.6,8.9,1.1
2013/3/4,5.5,11.2,-0.3
2013/3/5,7.5,12.7,1.7
2013/3/6,9.2,15.8,1.8
2013/3/7,10.8,17.1,4.0
2013/3/8,14.0,19.6,7.7
2013/3/9,15.7,22.3,9.3
2013/3/10,9.5,18.9,2.6
2013/3/11,5.7,11.7,0.1
2013/3/12,8.2,14.5,0.9
2013/3/13,11.0,17.2,7.0
2013/3/14,5.4,8.3,2.0
2013/3/15,5.8,13.0,-0.8
2013/3/16,9.2,16.5,1.4
2013/3/17,10.1,15.0,3.7
2013/3/18,14.1,17.6,10.3
2013/3/19,15.8,21.1,10.8
2013/3/20,12.7,15.0,7.2
2013/3/21,7.9,12.0,4.6
2013/3/22,9.3,15.8,2.3
2013/3/23,10.8,14.7,7.6
2013/3/24,11.4,17.0,5.7
2013/3/25,10.4,14.0,5.8
2013/3/26,7.7,12.0,2.8
2013/3/27,7.8,10.7,5.6
2013/3/28,13.9,19.2,10.0
2013/3/29,13.7,18.6,9.9
2013/3/30,11.6,15.4,7.4
2013/3/31,11.8,17.6,8.5
