ダウンロードした時刻：2019/10/10 15:34:16

,函館,函館,函館
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1982/12/1,4.9,8.0,1.7
1982/12/2,1.9,3.5,0.9
1982/12/3,1.6,6.5,-1.6
1982/12/4,6.0,9.6,-1.8
1982/12/5,2.1,7.4,-2.7
1982/12/6,-5.0,-2.7,-6.6
1982/12/7,-1.9,0.6,-3.8
1982/12/8,0.2,2.5,-2.1
1982/12/9,4.1,6.1,1.4
1982/12/10,3.7,6.7,-0.1
1982/12/11,1.1,1.9,-0.6
1982/12/12,0.4,2.2,-1.7
1982/12/13,-2.7,0.2,-5.6
1982/12/14,-1.2,0.1,-3.2
1982/12/15,0.6,4.0,-5.3
1982/12/16,0.6,4.0,-2.8
1982/12/17,2.2,4.6,-2.7
1982/12/18,-3.1,0.8,-5.2
1982/12/19,-0.3,3.4,-4.9
1982/12/20,1.8,4.6,-2.2
1982/12/21,1.8,6.3,-2.2
1982/12/22,7.5,11.4,-1.0
1982/12/23,6.0,10.0,2.8
1982/12/24,0.8,3.7,-1.4
1982/12/25,1.3,4.5,-1.1
1982/12/26,1.3,3.9,-1.8
1982/12/27,2.3,6.4,-0.6
1982/12/28,-0.2,2.5,-2.6
1982/12/29,2.1,7.3,-2.4
1982/12/30,-1.4,1.8,-3.8
1982/12/31,-3.8,-0.4,-7.2
1983/1/1,-4.3,-1.1,-8.2
1983/1/2,-1.2,0.8,-4.4
1983/1/3,-0.9,1.7,-2.6
1983/1/4,0.2,2.6,-3.8
1983/1/5,1.2,3.5,-1.1
1983/1/6,-1.1,3.4,-4.8
1983/1/7,0.5,5.7,-6.0
1983/1/8,1.5,8.9,-6.3
1983/1/9,-6.3,-5.1,-7.3
1983/1/10,-6.4,-4.7,-8.7
1983/1/11,-4.3,-1.6,-6.1
1983/1/12,-2.6,-0.1,-4.6
1983/1/13,-3.9,-1.4,-5.4
1983/1/14,-3.6,-1.2,-5.7
1983/1/15,-3.9,-1.1,-9.7
1983/1/16,-3.6,-0.3,-8.0
1983/1/17,-3.9,0.3,-8.0
1983/1/18,-3.8,-0.1,-9.3
1983/1/19,-2.5,0.7,-5.4
1983/1/20,-2.8,0.5,-5.8
1983/1/21,-4.1,-1.9,-6.8
1983/1/22,-4.8,-1.2,-7.5
1983/1/23,-3.9,-1.9,-7.5
1983/1/24,-2.0,2.1,-5.4
1983/1/25,2.1,5.4,-1.9
1983/1/26,-1.4,1.1,-3.6
1983/1/27,2.3,4.6,-2.4
1983/1/28,5.0,7.3,3.4
1983/1/29,4.4,8.5,0.6
1983/1/30,-3.8,0.7,-6.1
1983/1/31,-4.3,-1.3,-9.1
1983/2/1,-0.7,1.5,-4.1
1983/2/2,-2.3,0.9,-7.0
1983/2/3,-1.9,2.0,-5.9
1983/2/4,-2.9,0.2,-6.2
1983/2/5,-0.6,2.8,-2.8
1983/2/6,-1.0,2.5,-4.0
1983/2/7,-2.9,1.7,-6.6
1983/2/8,-4.9,-0.5,-8.6
1983/2/9,-2.9,1.7,-7.8
1983/2/10,-4.2,-1.2,-6.3
1983/2/11,-7.4,-4.7,-10.8
1983/2/12,-8.6,-5.9,-10.2
1983/2/13,-7.7,-4.9,-10.9
1983/2/14,-6.6,-4.7,-10.4
1983/2/15,-2.0,1.8,-7.8
1983/2/16,-5.9,-1.5,-9.5
1983/2/17,-3.5,-0.1,-12.1
1983/2/18,-1.5,-0.8,-2.1
1983/2/19,-1.2,0.2,-1.9
1983/2/20,0.6,3.1,-1.0
1983/2/21,-2.9,0.8,-7.2
1983/2/22,-3.4,-0.8,-8.1
1983/2/23,-1.8,1.2,-5.3
1983/2/24,-1.8,2.6,-5.8
1983/2/25,-3.6,0.0,-7.6
1983/2/26,-6.1,-1.2,-10.5
1983/2/27,-6.2,-0.9,-13.7
1983/2/28,-3.1,2.6,-9.8
1983/3/1,0.2,5.2,-5.1
1983/3/2,-1.4,1.0,-4.3
1983/3/3,-0.9,1.8,-3.5
1983/3/4,-1.4,3.3,-4.6
1983/3/5,-2.2,2.2,-8.5
1983/3/6,-1.2,3.8,-5.2
1983/3/7,-2.4,2.1,-7.3
1983/3/8,-1.4,2.6,-7.0
1983/3/9,-0.3,4.2,-6.3
1983/3/10,2.0,4.9,-4.4
1983/3/11,2.6,6.9,-1.3
1983/3/12,2.0,8.1,-4.0
1983/3/13,-0.6,1.3,-2.2
1983/3/14,-2.8,0.0,-6.4
1983/3/15,-2.2,2.4,-8.2
1983/3/16,0.2,4.3,-4.2
1983/3/17,2.2,4.8,0.7
1983/3/18,1.8,4.5,-0.6
1983/3/19,0.5,2.8,-2.7
1983/3/20,4.1,7.1,0.6
1983/3/21,6.0,11.0,0.8
1983/3/22,5.6,9.7,3.1
1983/3/23,5.6,10.2,1.9
1983/3/24,4.2,8.7,1.2
1983/3/25,2.2,8.2,-2.0
1983/3/26,2.1,7.6,-2.7
1983/3/27,1.7,6.8,-3.4
1983/3/28,3.8,10.1,-2.0
1983/3/29,5.2,12.2,-1.1
1983/3/30,6.2,13.1,-0.6
1983/3/31,4.8,11.2,-0.6
