ダウンロードした時刻：2019/10/10 15:59:26

,東京,東京,東京
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2006/12/1,11.0,14.0,7.6
2006/12/2,11.4,16.2,6.2
2006/12/3,9.1,11.7,6.8
2006/12/4,8.6,12.4,4.8
2006/12/5,8.2,11.8,4.3
2006/12/6,9.1,12.3,5.5
2006/12/7,9.1,11.7,6.6
2006/12/8,10.7,12.7,8.7
2006/12/9,7.2,10.4,5.5
2006/12/10,9.5,14.8,6.9
2006/12/11,9.9,13.2,7.9
2006/12/12,7.7,9.4,5.8
2006/12/13,10.3,13.4,6.5
2006/12/14,11.3,14.0,8.9
2006/12/15,11.3,13.8,9.0
2006/12/16,13.0,15.4,10.2
2006/12/17,11.9,14.1,9.1
2006/12/18,8.6,12.0,6.4
2006/12/19,7.2,9.5,5.6
2006/12/20,8.6,11.3,5.3
2006/12/21,9.3,11.0,7.5
2006/12/22,9.5,11.0,8.0
2006/12/23,9.4,13.0,5.6
2006/12/24,9.5,12.0,6.5
2006/12/25,8.6,11.2,6.3
2006/12/26,8.1,10.9,5.7
2006/12/27,14.7,20.3,9.9
2006/12/28,11.5,16.2,7.1
2006/12/29,6.4,8.8,3.7
2006/12/30,6.8,9.9,4.5
2006/12/31,6.8,9.8,4.5
2007/1/1,5.8,8.9,2.0
2007/1/2,8.3,11.0,4.5
2007/1/3,8.6,11.2,6.8
2007/1/4,7.5,10.4,5.1
2007/1/5,7.1,10.1,3.6
2007/1/6,6.1,10.4,3.9
2007/1/7,8.7,11.5,6.0
2007/1/8,7.1,11.6,2.2
2007/1/9,7.0,10.3,3.7
2007/1/10,7.4,11.4,3.4
2007/1/11,7.4,10.4,4.3
2007/1/12,6.7,9.3,4.6
2007/1/13,6.9,11.5,3.0
2007/1/14,6.5,9.7,4.2
2007/1/15,7.9,11.6,4.2
2007/1/16,8.0,12.1,4.8
2007/1/17,7.0,8.2,5.8
2007/1/18,8.1,11.5,5.9
2007/1/19,7.5,9.9,5.2
2007/1/20,5.0,6.5,3.8
2007/1/21,6.7,9.4,3.5
2007/1/22,7.4,11.0,3.8
2007/1/23,8.2,11.7,5.4
2007/1/24,7.6,10.5,5.5
2007/1/25,7.9,11.5,5.2
2007/1/26,8.4,12.1,5.1
2007/1/27,10.1,15.0,4.5
2007/1/28,8.9,11.2,6.4
2007/1/29,7.7,9.8,5.8
2007/1/30,9.0,13.1,5.2
2007/1/31,10.3,14.8,6.1
2007/2/1,8.5,13.9,5.0
2007/2/2,6.3,10.2,3.7
2007/2/3,7.3,11.5,2.8
2007/2/4,7.4,10.8,4.8
2007/2/5,8.5,14.6,1.8
2007/2/6,11.2,16.8,5.5
2007/2/7,10.2,13.1,7.5
2007/2/8,9.8,13.0,5.9
2007/2/9,10.3,14.4,6.4
2007/2/10,10.8,13.9,8.9
2007/2/11,8.8,12.8,5.5
2007/2/12,8.4,12.4,3.3
2007/2/13,8.9,12.9,5.6
2007/2/14,10.0,17.3,7.4
2007/2/15,9.9,15.6,5.6
2007/2/16,8.2,12.7,4.6
2007/2/17,6.9,10.0,3.9
2007/2/18,6.8,9.4,4.9
2007/2/19,9.3,12.9,6.2
2007/2/20,7.0,9.5,5.8
2007/2/21,9.8,14.4,5.9
2007/2/22,10.9,15.3,5.7
2007/2/23,11.1,12.6,8.9
2007/2/24,6.6,10.8,2.2
2007/2/25,3.7,6.8,0.2
2007/2/26,6.1,10.0,2.0
2007/2/27,9.4,14.6,3.2
2007/2/28,10.0,14.9,5.9
2007/3/1,9.0,13.2,5.4
2007/3/2,9.5,12.9,5.4
2007/3/3,11.8,15.2,8.0
2007/3/4,14.3,18.6,10.1
2007/3/5,17.1,20.6,12.7
2007/3/6,12.8,18.0,6.5
2007/3/7,7.7,10.9,4.8
2007/3/8,7.9,12.3,3.8
2007/3/9,7.6,10.4,5.0
2007/3/10,9.9,13.4,5.4
2007/3/11,9.2,12.5,5.9
2007/3/12,7.6,12.5,2.6
2007/3/13,7.8,12.6,3.6
2007/3/14,7.6,13.8,3.6
2007/3/15,8.8,12.0,4.6
2007/3/16,7.9,10.4,4.9
2007/3/17,6.7,9.8,4.4
2007/3/18,6.3,10.7,3.1
2007/3/19,7.6,12.1,4.0
2007/3/20,8.3,12.8,3.6
2007/3/21,8.9,12.6,5.4
2007/3/22,11.7,16.7,7.0
2007/3/23,12.4,16.8,8.8
2007/3/24,13.4,17.1,9.2
2007/3/25,15.6,18.0,11.4
2007/3/26,14.9,18.6,11.4
2007/3/27,13.6,18.0,10.7
2007/3/28,15.3,21.6,10.6
2007/3/29,18.1,24.1,10.7
2007/3/30,13.2,20.3,9.0
2007/3/31,13.1,16.4,9.9
