É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2019/10/10 15:47:56

,âFìsã{,âFìsã{,âFìsã{
îNåéì˙,ïΩãœãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈í·ãCâ∑(Åé)
,,,
2012/12/1,3.7,7.5,0.0
2012/12/2,1.9,6.2,-2.5
2012/12/3,5.7,9.8,1.3
2012/12/4,7.3,12.7,2.6
2012/12/5,6.3,12.4,0.1
2012/12/6,6.7,15.5,1.5
2012/12/7,4.9,12.7,-1.3
2012/12/8,5.2,13.7,-0.6
2012/12/9,2.9,9.3,-2.1
2012/12/10,1.2,6.7,-3.8
2012/12/11,3.0,9.9,-3.2
2012/12/12,2.5,8.9,-3.0
2012/12/13,2.7,9.6,-2.3
2012/12/14,2.7,9.1,-3.5
2012/12/15,6.7,11.1,2.4
2012/12/16,8.6,17.1,2.5
2012/12/17,5.3,6.9,1.2
2012/12/18,8.0,13.6,5.1
2012/12/19,2.9,7.5,-1.6
2012/12/20,1.6,8.3,-3.7
2012/12/21,2.5,6.7,-3.6
2012/12/22,4.0,7.7,1.7
2012/12/23,3.5,7.4,-0.2
2012/12/24,1.9,6.6,-3.1
2012/12/25,1.6,7.2,-4.6
2012/12/26,1.4,6.1,-3.9
2012/12/27,-1.1,4.8,-6.8
2012/12/28,1.5,6.4,-4.7
2012/12/29,5.7,9.9,2.1
2012/12/30,6.1,7.8,4.6
2012/12/31,5.9,11.8,0.9
2013/1/1,3.3,9.9,-1.7
2013/1/2,4.6,12.4,-2.7
2013/1/3,1.3,5.0,-3.9
2013/1/4,-1.0,4.7,-5.7
2013/1/5,-0.9,4.7,-6.8
2013/1/6,1.0,9.4,-5.6
2013/1/7,1.1,6.9,-4.9
2013/1/8,3.3,9.9,-2.5
2013/1/9,3.7,8.4,1.5
2013/1/10,1.4,7.3,-2.9
2013/1/11,0.3,6.9,-5.1
2013/1/12,2.2,8.1,-2.3
2013/1/13,4.0,11.7,-3.4
2013/1/14,2.6,5.3,0.7
2013/1/15,2.3,5.6,-1.4
2013/1/16,0.2,5.5,-3.9
2013/1/17,1.1,8.1,-4.2
2013/1/18,-0.9,4.7,-5.4
2013/1/19,0.9,7.4,-4.9
2013/1/20,2.0,9.7,-3.9
2013/1/21,2.3,7.1,-1.9
2013/1/22,4.8,9.9,1.6
2013/1/23,4.3,8.7,-1.0
2013/1/24,4.2,9.6,0.7
2013/1/25,2.6,9.4,-1.4
2013/1/26,0.8,6.7,-3.2
2013/1/27,1.7,7.1,-2.4
2013/1/28,2.8,9.7,-1.4
2013/1/29,2.4,9.7,-4.0
2013/1/30,3.3,11.9,-3.3
2013/1/31,2.1,8.1,-3.7
2013/2/1,4.4,10.7,-3.2
2013/2/2,9.0,15.0,5.1
2013/2/3,6.1,11.3,1.4
2013/2/4,6.4,11.8,2.9
2013/2/5,5.8,11.7,0.3
2013/2/6,1.1,2.8,-0.5
2013/2/7,3.0,8.2,-1.0
2013/2/8,1.7,4.9,-1.8
2013/2/9,0.9,7.5,-4.7
2013/2/10,3.1,10.3,-3.2
2013/2/11,1.7,8.0,-2.8
2013/2/12,0.7,5.8,-5.4
2013/2/13,4.6,11.2,0.1
2013/2/14,3.1,7.5,-2.4
2013/2/15,2.8,7.2,-0.6
2013/2/16,0.4,4.9,-3.2
2013/2/17,0.0,5.7,-6.7
2013/2/18,2.5,5.5,-1.4
2013/2/19,2.7,5.4,-1.7
2013/2/20,1.0,9.2,-5.2
2013/2/21,0.6,7.2,-4.6
2013/2/22,2.0,9.9,-5.4
2013/2/23,2.9,8.8,-1.5
2013/2/24,0.0,4.8,-3.8
2013/2/25,-0.8,6.8,-6.6
2013/2/26,1.1,7.8,-5.7
2013/2/27,4.3,10.5,0.8
2013/2/28,7.1,14.4,-1.0
2013/3/1,10.2,16.3,5.7
2013/3/2,6.1,10.6,0.7
2013/3/3,3.5,10.6,-2.1
2013/3/4,4.1,8.6,0.3
2013/3/5,5.3,12.8,-1.1
2013/3/6,8.1,16.3,-0.4
2013/3/7,9.1,16.3,1.5
2013/3/8,12.9,21.7,3.8
2013/3/9,15.5,24.9,8.6
2013/3/10,10.7,24.4,2.2
2013/3/11,4.8,10.8,-1.0
2013/3/12,8.2,16.8,-0.3
2013/3/13,12.1,21.8,2.9
2013/3/14,7.0,11.4,1.0
2013/3/15,5.9,12.7,-0.5
2013/3/16,10.1,19.5,2.1
2013/3/17,10.7,17.1,2.4
2013/3/18,15.4,21.8,8.5
2013/3/19,17.8,27.2,11.3
2013/3/20,16.0,19.5,13.0
2013/3/21,9.3,15.2,3.9
2013/3/22,11.7,17.6,4.0
2013/3/23,11.6,17.9,6.6
2013/3/24,8.8,13.3,6.0
2013/3/25,7.8,9.8,5.5
2013/3/26,6.8,12.8,1.8
2013/3/27,7.5,9.4,3.7
2013/3/28,13.5,19.6,8.4
2013/3/29,13.7,18.7,7.0
2013/3/30,6.6,7.9,5.5
2013/3/31,5.5,7.0,4.5
