ダウンロードした時刻：2019/10/10 15:49:28

,松本,松本,松本
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1983/12/1,3.5,9.7,-1.8
1983/12/2,4.9,14.0,-4.5
1983/12/3,5.3,12.1,-0.6
1983/12/4,-0.1,5.4,-3.7
1983/12/5,1.6,9.7,-6.0
1983/12/6,0.6,6.3,-2.8
1983/12/7,-0.5,7.1,-6.7
1983/12/8,0.6,8.7,-4.6
1983/12/9,1.7,8.1,-5.2
1983/12/10,6.5,14.2,-1.9
1983/12/11,5.9,12.8,-0.4
1983/12/12,0.7,6.4,-3.1
1983/12/13,2.8,10.0,-5.6
1983/12/14,2.9,7.0,-0.6
1983/12/15,1.9,7.3,-3.7
1983/12/16,-0.1,6.0,-3.9
1983/12/17,-1.6,0.8,-3.5
1983/12/18,-3.5,1.6,-6.8
1983/12/19,-2.2,4.2,-9.5
1983/12/20,-1.7,3.0,-5.7
1983/12/21,-3.2,3.6,-9.2
1983/12/22,3.1,9.0,-6.4
1983/12/23,3.4,8.4,-3.5
1983/12/24,-0.7,3.2,-3.9
1983/12/25,-1.7,1.7,-6.8
1983/12/26,-4.4,2.4,-9.4
1983/12/27,-4.6,2.7,-10.1
1983/12/28,-3.2,4.7,-10.2
1983/12/29,-3.1,3.1,-9.3
1983/12/30,-3.4,4.7,-8.8
1983/12/31,-3.4,4.8,-9.9
1984/1/1,-2.9,5.4,-8.7
1984/1/2,-1.1,5.9,-8.2
1984/1/3,1.7,4.6,-0.5
1984/1/4,-1.2,4.3,-5.3
1984/1/5,-3.9,1.8,-7.3
1984/1/6,-3.9,3.5,-10.2
1984/1/7,-3.3,2.4,-7.0
1984/1/8,-4.6,3.0,-11.1
1984/1/9,0.7,6.0,-5.0
1984/1/10,1.7,6.6,-4.1
1984/1/11,-2.4,1.7,-7.5
1984/1/12,-4.1,1.8,-10.5
1984/1/13,-1.2,5.5,-6.2
1984/1/14,-0.7,7.5,-8.1
1984/1/15,3.0,8.3,-1.5
1984/1/16,-4.7,-1.0,-8.3
1984/1/17,-5.6,0.2,-9.2
1984/1/18,-5.2,2.1,-12.2
1984/1/19,-4.9,-3.1,-8.5
1984/1/20,-6.7,-1.3,-12.4
1984/1/21,-5.2,0.3,-12.5
1984/1/22,-1.5,0.8,-3.5
1984/1/23,-3.7,2.3,-8.4
1984/1/24,-4.8,1.3,-8.8
1984/1/25,-4.7,2.1,-11.0
1984/1/26,-4.4,-0.8,-7.4
1984/1/27,-3.5,1.6,-8.6
1984/1/28,-3.7,-0.2,-6.2
1984/1/29,-5.5,0.0,-9.7
1984/1/30,-6.8,-0.8,-11.5
1984/1/31,-6.4,-4.7,-9.9
1984/2/1,-3.6,3.8,-9.0
1984/2/2,0.0,3.7,-7.5
1984/2/3,-4.7,-0.8,-9.2
1984/2/4,-8.4,-1.8,-12.9
1984/2/5,-5.7,1.3,-14.7
1984/2/6,-5.3,-1.1,-8.6
1984/2/7,-7.0,-3.6,-10.0
1984/2/8,-6.4,-2.8,-10.1
1984/2/9,-5.2,-0.8,-8.1
1984/2/10,-5.2,0.7,-9.8
1984/2/11,-6.2,1.2,-11.9
1984/2/12,-4.2,3.2,-12.2
1984/2/13,-0.6,3.8,-2.7
1984/2/14,-1.2,4.9,-5.9
1984/2/15,-3.5,0.8,-6.7
1984/2/16,-4.9,1.5,-8.8
1984/2/17,-5.3,-3.7,-8.3
1984/2/18,-5.2,0.5,-10.0
1984/2/19,-6.5,1.4,-13.5
1984/2/20,-4.9,1.4,-9.9
1984/2/21,-2.9,4.4,-9.5
1984/2/22,-1.7,4.8,-8.4
1984/2/23,0.4,3.0,-1.5
1984/2/24,-0.2,3.0,-2.4
1984/2/25,-0.6,3.4,-3.1
1984/2/26,-1.5,-0.1,-3.2
1984/2/27,-3.1,0.5,-5.8
1984/2/28,-4.4,-1.1,-8.0
1984/2/29,-4.3,1.0,-8.2
1984/3/1,-4.5,2.5,-12.9
1984/3/2,-0.5,3.4,-5.0
1984/3/3,-1.0,3.3,-3.6
1984/3/4,-2.3,4.2,-8.9
1984/3/5,-2.8,3.6,-8.3
1984/3/6,-1.6,4.2,-5.5
1984/3/7,-2.9,4.4,-9.6
1984/3/8,-2.5,4.8,-8.5
1984/3/9,-2.2,4.5,-8.6
1984/3/10,0.0,3.3,-4.4
1984/3/11,-2.8,2.2,-6.8
1984/3/12,-0.7,3.1,-5.9
1984/3/13,-3.2,2.5,-7.8
1984/3/14,-3.2,-1.3,-5.1
1984/3/15,0.4,7.1,-7.0
1984/3/16,0.4,2.3,-0.6
1984/3/17,1.9,7.8,-0.9
1984/3/18,1.3,7.5,-2.8
1984/3/19,-1.6,-0.7,-2.9
1984/3/20,-0.7,2.7,-3.2
1984/3/21,-2.4,3.2,-7.1
1984/3/22,-3.1,3.1,-8.4
1984/3/23,-2.4,4.6,-9.2
1984/3/24,1.5,6.1,-5.6
1984/3/25,4.7,9.5,0.4
1984/3/26,1.7,7.4,-3.6
1984/3/27,1.7,11.3,-5.9
1984/3/28,1.8,7.7,-2.7
1984/3/29,7.7,13.9,-2.5
1984/3/30,10.9,15.7,5.4
1984/3/31,6.0,11.1,2.2
