ダウンロードした時刻：2019/10/10 16:19:52

,厳原,厳原,厳原
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1989/12/1,7.1,12.1,3.7
1989/12/2,11.0,14.4,5.5
1989/12/3,15.3,18.2,10.5
1989/12/4,15.8,19.5,10.4
1989/12/5,11.9,18.7,7.6
1989/12/6,11.3,17.8,6.8
1989/12/7,10.7,14.1,7.4
1989/12/8,6.5,10.2,4.7
1989/12/9,7.0,12.4,3.1
1989/12/10,8.9,16.0,1.7
1989/12/11,13.3,16.4,7.7
1989/12/12,11.7,16.3,9.0
1989/12/13,10.3,13.1,6.8
1989/12/14,6.5,9.1,4.5
1989/12/15,7.3,12.4,1.6
1989/12/16,9.0,14.1,3.7
1989/12/17,9.4,14.6,5.0
1989/12/18,9.4,14.6,4.4
1989/12/19,8.9,10.4,7.1
1989/12/20,9.1,14.6,4.0
1989/12/21,9.1,13.1,6.0
1989/12/22,8.4,12.9,5.4
1989/12/23,9.8,14.2,6.1
1989/12/24,8.3,9.1,6.9
1989/12/25,10.4,13.3,8.4
1989/12/26,6.6,10.2,3.0
1989/12/27,3.2,8.2,-1.9
1989/12/28,4.0,8.6,1.6
1989/12/29,6.9,10.6,2.9
1989/12/30,3.9,7.0,1.9
1989/12/31,2.3,6.7,-1.0
1990/1/1,5.1,10.2,-1.7
1990/1/2,5.9,8.9,2.0
1990/1/3,3.4,7.4,1.5
1990/1/4,3.8,9.0,0.1
1990/1/5,6.4,10.4,-1.0
1990/1/6,6.0,10.5,-0.3
1990/1/7,4.0,9.9,-1.7
1990/1/8,7.9,11.9,1.2
1990/1/9,12.4,15.0,7.5
1990/1/10,11.6,16.2,7.4
1990/1/11,8.8,14.4,3.2
1990/1/12,8.4,10.8,5.3
1990/1/13,2.8,7.3,-1.6
1990/1/14,2.1,7.9,-1.8
1990/1/15,3.0,6.2,-1.3
1990/1/16,4.9,8.6,1.9
1990/1/17,4.9,10.8,-0.3
1990/1/18,10.5,14.3,5.0
1990/1/19,5.8,10.3,2.0
1990/1/20,1.5,5.4,-0.9
1990/1/21,1.2,7.4,-3.1
1990/1/22,4.0,7.6,-0.6
1990/1/23,-1.8,2.3,-4.8
1990/1/24,-1.1,1.7,-3.2
1990/1/25,-1.8,2.7,-4.6
1990/1/26,-1.2,4.0,-5.3
1990/1/27,0.8,6.2,-3.4
1990/1/28,4.7,9.5,-2.0
1990/1/29,12.1,16.3,9.3
1990/1/30,8.6,9.8,7.2
1990/1/31,7.5,8.6,6.9
1990/2/1,5.5,7.2,3.9
1990/2/2,6.5,8.8,4.0
1990/2/3,6.6,8.3,5.0
1990/2/4,7.3,7.9,6.4
1990/2/5,8.0,10.8,6.1
1990/2/6,8.5,11.0,5.8
1990/2/7,9.9,12.4,7.3
1990/2/8,9.5,10.8,8.3
1990/2/9,9.0,11.5,5.6
1990/2/10,11.9,16.1,4.1
1990/2/11,9.3,13.4,5.8
1990/2/12,7.8,11.3,2.5
1990/2/13,6.9,10.3,1.1
1990/2/14,8.6,10.2,6.9
1990/2/15,10.2,14.3,8.2
1990/2/16,9.6,12.2,7.3
1990/2/17,10.3,14.1,7.5
1990/2/18,11.8,13.5,8.2
1990/2/19,12.4,15.5,9.0
1990/2/20,9.2,13.2,7.2
1990/2/21,10.8,13.9,4.1
1990/2/22,12.2,13.3,10.5
1990/2/23,11.3,13.4,9.9
1990/2/24,9.3,10.1,8.8
1990/2/25,8.2,9.8,7.0
1990/2/26,8.6,13.0,6.2
1990/2/27,9.1,11.1,7.0
1990/2/28,9.4,9.9,9.0
1990/3/1,9.5,10.8,8.9
1990/3/2,8.9,10.2,7.4
1990/3/3,8.8,13.7,4.5
1990/3/4,9.0,14.7,3.5
1990/3/5,9.3,13.2,6.0
1990/3/6,8.8,12.8,4.5
1990/3/7,7.1,12.0,1.6
1990/3/8,6.5,14.4,0.6
1990/3/9,10.7,15.7,3.4
1990/3/10,11.7,19.2,5.2
1990/3/11,13.4,16.8,7.4
1990/3/12,9.8,13.8,7.4
1990/3/13,8.4,13.6,4.1
1990/3/14,11.6,15.1,5.1
1990/3/15,12.0,15.1,9.5
1990/3/16,9.6,14.5,6.3
1990/3/17,10.6,15.5,3.4
1990/3/18,8.1,12.6,3.6
1990/3/19,10.2,15.4,2.7
1990/3/20,14.1,19.7,10.2
1990/3/21,12.7,17.8,8.6
1990/3/22,12.8,18.5,6.7
1990/3/23,15.7,17.7,11.5
1990/3/24,13.3,19.1,9.6
1990/3/25,9.6,10.9,8.9
1990/3/26,10.5,13.8,8.8
1990/3/27,12.1,15.3,8.2
1990/3/28,13.0,15.6,11.3
1990/3/29,12.3,12.9,11.5
1990/3/30,14.0,17.7,12.2
1990/3/31,12.6,17.7,8.7
