ダウンロードした時刻：2017/07/24 15:42:58

,松江,松江,松江
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1992/1/1,4.3,6.6,1.8
1992/1/2,5.8,11.0,1.1
1992/1/3,7.7,9.9,5.8
1992/1/4,5.3,7.7,2.6
1992/1/5,5.7,10.5,0.4
1992/1/6,6.5,8.0,5.0
1992/1/7,8.2,11.2,5.2
1992/1/8,7.3,12.8,2.1
1992/1/9,7.5,10.3,5.8
1992/1/10,5.9,8.6,1.0
1992/1/11,3.9,11.2,-0.8
1992/1/12,4.9,12.6,-0.6
1992/1/13,5.1,8.8,1.0
1992/1/14,4.2,6.4,1.0
1992/1/15,3.6,6.0,-0.2
1992/1/16,4.1,11.8,-2.9
1992/1/17,4.1,5.6,1.3
1992/1/18,3.0,5.1,1.2
1992/1/19,4.2,6.2,1.8
1992/1/20,3.3,8.0,-0.7
1992/1/21,4.6,12.3,-1.4
1992/1/22,5.3,7.5,3.1
1992/1/23,3.3,5.5,0.6
1992/1/24,3.0,8.1,0.4
1992/1/25,5.1,10.6,0.7
1992/1/26,5.5,12.7,1.5
1992/1/27,5.5,10.2,1.2
1992/1/28,7.3,13.3,1.2
1992/1/29,10.9,14.0,6.1
1992/1/30,7.0,9.4,5.6
1992/1/31,5.2,7.2,2.6
1992/2/1,2.0,3.7,-0.1
1992/2/2,4.0,8.7,0.8
1992/2/3,7.5,10.4,4.0
1992/2/4,6.8,9.6,4.5
1992/2/5,4.4,7.3,0.1
1992/2/6,4.5,10.4,-1.5
1992/2/7,5.4,8.8,3.2
1992/2/8,3.6,7.9,0.7
1992/2/9,3.0,8.5,0.3
1992/2/10,4.3,8.5,-0.4
1992/2/11,4.8,8.9,0.1
1992/2/12,3.4,9.3,-1.8
1992/2/13,3.5,9.0,-0.3
1992/2/14,5.6,9.9,2.0
1992/2/15,7.3,11.0,2.8
1992/2/16,4.7,7.6,1.9
1992/2/17,4.1,9.6,0.2
1992/2/18,6.7,10.7,2.8
1992/2/19,6.1,10.4,4.3
1992/2/20,2.4,4.8,0.3
1992/2/21,1.5,5.1,0.2
1992/2/22,2.4,6.3,0.3
1992/2/23,3.2,9.8,-1.6
1992/2/24,2.6,6.9,0.3
1992/2/25,4.3,7.4,-0.3
1992/2/26,4.3,12.0,-2.4
1992/2/27,8.7,15.1,1.9
1992/2/28,11.2,20.2,3.2
1992/2/29,15.2,19.7,12.5
1992/3/1,10.6,14.0,7.7
1992/3/2,6.3,7.8,5.1
1992/3/3,5.6,7.5,4.5
1992/3/4,6.8,10.2,4.4
1992/3/5,6.8,8.1,5.1
1992/3/6,4.7,7.7,2.6
1992/3/7,5.2,11.1,1.1
1992/3/8,6.1,13.5,-0.3
1992/3/9,7.4,13.6,1.2
1992/3/10,9.1,15.0,4.9
1992/3/11,8.6,14.7,3.8
1992/3/12,9.8,17.1,2.7
1992/3/13,10.0,17.6,3.4
1992/3/14,11.4,20.0,3.1
1992/3/15,10.7,12.6,9.2
1992/3/16,7.7,9.6,6.1
1992/3/17,6.4,10.2,3.4
1992/3/18,6.0,8.2,3.0
1992/3/19,7.6,14.0,1.4
1992/3/20,8.4,13.8,3.8
1992/3/21,6.2,8.8,4.8
1992/3/22,6.9,11.2,3.2
1992/3/23,7.0,11.2,4.6
1992/3/24,8.9,10.9,7.6
1992/3/25,9.6,13.8,5.4
1992/3/26,10.3,13.4,8.9
1992/3/27,9.6,11.3,8.1
1992/3/28,9.4,11.5,7.0
1992/3/29,11.3,13.4,9.1
1992/3/30,11.0,15.3,5.3
1992/3/31,10.1,17.3,3.3
1992/4/1,11.5,13.2,9.0
1992/4/2,14.0,20.3,10.5
1992/4/3,12.2,17.7,8.9
1992/4/4,12.7,17.2,9.3
1992/4/5,13.0,16.9,10.5
1992/4/6,13.6,19.6,9.2
1992/4/7,11.8,13.9,9.9
1992/4/8,14.6,23.9,7.2
1992/4/9,14.9,19.9,11.2
1992/4/10,14.0,17.6,11.9
1992/4/11,10.1,13.1,6.1
1992/4/12,7.9,12.2,5.2
1992/4/13,8.3,12.4,4.3
1992/4/14,8.5,15.2,2.4
1992/4/15,11.2,21.2,5.9
1992/4/16,8.8,13.0,4.6
1992/4/17,10.4,17.5,3.1
1992/4/18,17.7,24.3,8.5
1992/4/19,15.0,20.5,10.1
1992/4/20,15.2,21.0,10.8
1992/4/21,17.4,27.3,7.4
1992/4/22,14.6,19.0,10.0
1992/4/23,15.9,22.8,8.9
1992/4/24,17.7,23.5,12.8
1992/4/25,14.7,19.9,9.8
1992/4/26,14.5,22.3,7.0
1992/4/27,17.1,25.3,9.0
1992/4/28,17.9,24.8,11.7
1992/4/29,16.1,20.4,13.8
1992/4/30,11.7,14.7,9.9
1992/5/1,13.5,18.5,9.3
