ダウンロードした時刻：2019/10/10 15:50:44

,前橋,前橋,前橋
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2016/12/1,11.3,18.2,5.8
2016/12/2,10.4,13.9,6.4
2016/12/3,9.6,16.2,4.4
2016/12/4,9.9,14.5,6.4
2016/12/5,12.9,18.8,8.5
2016/12/6,8.6,15.4,4.6
2016/12/7,5.9,11.1,2.5
2016/12/8,6.8,12.4,2.5
2016/12/9,8.8,15.9,2.3
2016/12/10,6.0,9.8,2.8
2016/12/11,4.1,8.6,0.4
2016/12/12,5.3,11.0,0.2
2016/12/13,8.2,13.2,3.1
2016/12/14,8.0,12.4,3.7
2016/12/15,4.2,8.8,0.1
2016/12/16,2.6,9.0,-0.5
2016/12/17,5.6,13.7,-1.3
2016/12/18,7.8,15.7,1.1
2016/12/19,9.0,16.6,4.1
2016/12/20,9.5,16.3,4.6
2016/12/21,10.0,16.8,5.5
2016/12/22,9.7,13.7,5.1
2016/12/23,11.4,17.0,5.4
2016/12/24,5.9,9.7,2.6
2016/12/25,5.5,12.3,-0.1
2016/12/26,5.1,8.3,1.8
2016/12/27,7.6,12.8,4.0
2016/12/28,3.6,7.0,0.2
2016/12/29,3.8,10.6,-1.4
2016/12/30,3.8,8.1,-0.1
2016/12/31,5.1,13.3,-1.4
2017/1/1,6.9,13.2,2.2
2017/1/2,7.3,14.6,2.3
2017/1/3,7.2,11.4,2.7
2017/1/4,5.9,14.2,0.5
2017/1/5,4.1,6.6,1.3
2017/1/6,3.4,8.4,-0.9
2017/1/7,2.9,9.5,-1.8
2017/1/8,2.7,7.3,-0.5
2017/1/9,6.8,13.2,2.2
2017/1/10,8.1,14.0,4.9
2017/1/11,5.0,10.5,0.7
2017/1/12,3.9,9.9,-1.5
2017/1/13,3.9,10.1,0.1
2017/1/14,0.1,3.3,-2.4
2017/1/15,-1.9,1.3,-3.5
2017/1/16,0.6,5.3,-4.3
2017/1/17,3.3,8.3,-0.7
2017/1/18,3.8,9.8,-0.8
2017/1/19,4.0,8.3,0.6
2017/1/20,0.8,3.3,-2.0
2017/1/21,3.5,7.5,0.0
2017/1/22,3.6,11.9,-2.8
2017/1/23,1.7,5.7,-1.7
2017/1/24,-0.2,4.8,-4.2
2017/1/25,1.3,7.1,-3.4
2017/1/26,3.2,10.7,-2.4
2017/1/27,6.2,15.6,0.3
2017/1/28,6.8,12.5,3.5
2017/1/29,6.8,12.4,1.8
2017/1/30,7.7,15.6,3.5
2017/1/31,3.4,7.0,0.2
2017/2/1,3.7,10.2,-1.8
2017/2/2,2.7,6.7,-0.3
2017/2/3,5.9,10.3,1.4
2017/2/4,6.7,12.7,2.4
2017/2/5,3.8,6.3,1.0
2017/2/6,6.5,11.8,2.5
2017/2/7,3.3,6.9,0.5
2017/2/8,3.3,8.5,-2.2
2017/2/9,2.0,4.4,0.8
2017/2/10,2.3,6.7,-1.0
2017/2/11,2.0,8.7,-3.1
2017/2/12,2.9,8.1,0.0
2017/2/13,3.5,9.8,-2.0
2017/2/14,2.9,8.9,-2.3
2017/2/15,4.0,10.1,-1.5
2017/2/16,6.1,14.2,-0.6
2017/2/17,9.8,19.7,3.1
2017/2/18,5.3,9.7,1.4
2017/2/19,4.1,8.4,0.2
2017/2/20,7.0,13.4,2.1
2017/2/21,2.9,6.3,-0.1
2017/2/22,4.3,9.2,-1.0
2017/2/23,8.5,18.2,3.1
2017/2/24,4.4,7.9,0.7
2017/2/25,5.3,12.1,-1.7
2017/2/26,7.3,13.3,1.5
2017/2/27,6.3,12.1,2.6
2017/2/28,5.3,10.2,1.9
2017/3/1,5.1,8.9,0.8
2017/3/2,7.2,9.6,5.1
2017/3/3,6.8,11.8,3.2
2017/3/4,7.2,13.7,1.4
2017/3/5,9.7,15.7,3.5
2017/3/6,8.2,10.8,5.6
2017/3/7,5.0,10.4,1.1
2017/3/8,4.2,11.0,-1.4
2017/3/9,6.5,14.1,-0.1
2017/3/10,6.3,11.1,1.9
2017/3/11,5.7,10.9,2.5
2017/3/12,6.0,11.9,-0.6
2017/3/13,7.4,9.9,5.2
2017/3/14,7.8,12.4,5.1
2017/3/15,6.9,10.0,4.0
2017/3/16,7.7,12.3,4.1
2017/3/17,6.8,12.8,0.9
2017/3/18,8.3,14.5,1.4
2017/3/19,9.2,15.0,3.5
2017/3/20,10.8,17.2,4.9
2017/3/21,7.3,8.8,5.9
2017/3/22,7.0,11.9,3.4
2017/3/23,7.0,12.7,2.0
2017/3/24,5.6,10.7,2.4
2017/3/25,7.2,13.4,0.6
2017/3/26,5.0,6.9,2.8
2017/3/27,5.8,10.0,3.6
2017/3/28,7.7,13.0,2.5
2017/3/29,8.9,15.9,2.4
2017/3/30,11.1,17.8,4.0
2017/3/31,8.5,11.3,4.8
