ダウンロードした時刻：2019/10/10 16:24:40

,延岡,延岡,延岡
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1991/12/1,12.8,19.3,7.5
1991/12/2,10.9,17.5,5.5
1991/12/3,11.0,18.4,5.9
1991/12/4,10.6,19.1,5.9
1991/12/5,11.5,18.0,6.3
1991/12/6,12.2,17.7,9.2
1991/12/7,11.6,19.8,6.5
1991/12/8,12.4,18.3,8.6
1991/12/9,9.5,14.3,3.4
1991/12/10,7.2,15.1,0.6
1991/12/11,10.0,17.4,6.1
1991/12/12,5.1,9.0,-1.9
1991/12/13,2.7,11.4,-3.4
1991/12/14,6.6,12.9,0.2
1991/12/15,9.8,17.7,4.8
1991/12/16,11.8,16.9,5.5
1991/12/17,14.7,18.0,12.0
1991/12/18,12.5,16.7,6.1
1991/12/19,8.2,13.6,2.5
1991/12/20,8.0,15.2,3.0
1991/12/21,10.8,19.4,5.9
1991/12/22,13.1,19.2,8.0
1991/12/23,14.0,17.1,12.0
1991/12/24,14.8,19.1,12.4
1991/12/25,14.4,19.4,11.0
1991/12/26,12.2,15.0,10.2
1991/12/27,11.7,18.1,8.5
1991/12/28,7.0,10.7,3.7
1991/12/29,4.4,7.9,0.2
1991/12/30,3.6,11.4,-2.5
1991/12/31,6.1,14.5,-0.6
1992/1/1,7.9,10.6,6.1
1992/1/2,10.9,16.8,7.2
1992/1/3,9.1,13.8,5.4
1992/1/4,6.6,14.4,0.7
1992/1/5,6.0,11.7,0.5
1992/1/6,11.1,18.7,5.8
1992/1/7,12.5,19.9,7.4
1992/1/8,7.7,12.7,3.0
1992/1/9,9.7,14.7,6.2
1992/1/10,7.4,13.0,1.8
1992/1/11,5.6,13.4,-0.2
1992/1/12,9.1,17.3,4.4
1992/1/13,9.0,14.5,4.6
1992/1/14,7.3,10.5,4.6
1992/1/15,5.4,9.3,-1.0
1992/1/16,4.7,13.5,-2.1
1992/1/17,7.1,10.6,3.9
1992/1/18,5.6,9.1,3.2
1992/1/19,4.5,11.8,-0.7
1992/1/20,4.8,12.5,-0.8
1992/1/21,5.7,10.6,3.1
1992/1/22,7.3,12.2,2.8
1992/1/23,6.6,11.2,1.5
1992/1/24,5.3,12.4,-0.6
1992/1/25,6.4,13.1,1.4
1992/1/26,9.4,16.6,4.0
1992/1/27,9.3,17.4,3.4
1992/1/28,8.3,16.7,1.9
1992/1/29,11.1,18.5,5.8
1992/1/30,11.0,13.7,8.6
1992/1/31,6.9,8.9,3.5
1992/2/1,4.5,8.2,-0.2
1992/2/2,4.0,11.2,-2.2
1992/2/3,9.5,14.0,5.0
1992/2/4,10.4,14.5,3.5
1992/2/5,7.6,13.8,3.6
1992/2/6,7.9,14.4,1.9
1992/2/7,7.5,12.2,2.5
1992/2/8,6.6,12.7,0.2
1992/2/9,4.4,10.8,-0.9
1992/2/10,6.4,13.2,1.7
1992/2/11,5.3,12.4,-0.8
1992/2/12,7.4,12.7,3.7
1992/2/13,8.7,15.5,2.7
1992/2/14,7.2,14.2,1.5
1992/2/15,4.6,7.2,1.7
1992/2/16,6.9,11.3,1.8
1992/2/17,5.1,12.0,-1.9
1992/2/18,7.8,15.0,2.2
1992/2/19,8.5,13.7,4.4
1992/2/20,6.3,9.9,2.2
1992/2/21,4.3,10.9,-1.9
1992/2/22,5.2,12.4,-0.6
1992/2/23,5.4,12.9,-1.5
1992/2/24,6.4,10.0,2.2
1992/2/25,8.0,14.6,1.4
1992/2/26,5.8,14.2,-1.6
1992/2/27,9.9,18.4,1.9
1992/2/28,13.2,20.3,7.5
1992/2/29,16.7,21.9,11.8
1992/3/1,16.6,18.7,15.4
1992/3/2,12.3,15.9,8.0
1992/3/3,10.0,13.8,7.9
1992/3/4,7.9,9.4,6.3
1992/3/5,11.7,13.9,9.2
1992/3/6,9.2,13.4,6.2
1992/3/7,7.5,14.5,1.6
1992/3/8,8.3,13.8,1.5
1992/3/9,10.4,11.8,8.9
1992/3/10,12.3,19.6,6.8
1992/3/11,10.2,17.6,3.5
1992/3/12,11.3,18.5,5.1
1992/3/13,12.7,18.9,7.3
1992/3/14,14.4,17.4,11.1
1992/3/15,16.7,22.0,14.3
1992/3/16,12.6,15.0,9.6
1992/3/17,8.5,10.1,7.5
1992/3/18,11.1,15.5,8.2
1992/3/19,10.6,13.5,8.7
1992/3/20,9.3,10.0,8.2
1992/3/21,11.4,15.4,6.1
1992/3/22,10.0,16.2,4.2
1992/3/23,11.6,14.4,8.5
1992/3/24,11.5,13.8,9.0
1992/3/25,12.8,17.5,10.0
1992/3/26,10.9,12.5,9.5
1992/3/27,9.8,11.2,8.5
1992/3/28,10.7,11.9,9.0
1992/3/29,12.6,14.7,10.8
1992/3/30,15.1,22.1,9.1
1992/3/31,13.7,17.7,9.4
