ダウンロードした時刻：2019/10/10 16:02:36

,三宅島,三宅島,三宅島
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1997/12/1,17.3,19.2,15.1
1997/12/2,12.9,16.6,8.1
1997/12/3,7.6,10.1,3.2
1997/12/4,9.4,12.8,3.3
1997/12/5,12.9,15.4,8.7
1997/12/6,15.9,18.6,14.0
1997/12/7,19.8,22.8,17.9
1997/12/8,19.8,21.9,18.7
1997/12/9,16.0,19.5,13.5
1997/12/10,11.5,13.8,8.3
1997/12/11,9.9,13.5,7.7
1997/12/12,9.9,11.7,8.5
1997/12/13,10.7,12.3,9.8
1997/12/14,10.1,12.7,7.4
1997/12/15,13.4,14.8,11.2
1997/12/16,13.1,15.5,9.1
1997/12/17,13.4,16.4,10.1
1997/12/18,13.7,16.0,9.4
1997/12/19,15.1,17.8,9.5
1997/12/20,17.2,18.6,15.2
1997/12/21,15.3,17.7,12.4
1997/12/22,11.8,13.0,10.9
1997/12/23,10.9,12.0,10.1
1997/12/24,10.9,11.9,9.9
1997/12/25,11.8,13.3,10.7
1997/12/26,13.8,15.6,11.9
1997/12/27,14.4,16.1,10.7
1997/12/28,12.7,16.4,9.5
1997/12/29,11.9,13.9,10.4
1997/12/30,12.4,15.1,10.3
1997/12/31,11.8,13.4,9.5
1998/1/1,12.3,14.4,10.6
1998/1/2,12.7,14.2,9.7
1998/1/3,12.8,14.2,10.5
1998/1/4,13.8,16.6,11.2
1998/1/5,10.1,11.4,9.0
1998/1/6,10.4,12.0,8.2
1998/1/7,9.7,10.9,8.3
1998/1/8,9.7,11.7,6.7
1998/1/9,7.5,9.3,5.3
1998/1/10,9.4,11.4,5.2
1998/1/11,10.5,12.1,8.1
1998/1/12,8.1,11.0,6.5
1998/1/13,9.2,10.6,7.2
1998/1/14,10.3,12.3,6.6
1998/1/15,9.4,13.1,7.1
1998/1/16,8.9,10.4,7.1
1998/1/17,11.8,15.0,8.2
1998/1/18,14.8,16.2,13.2
1998/1/19,9.7,13.9,6.0
1998/1/20,7.1,8.6,5.6
1998/1/21,9.5,10.9,8.0
1998/1/22,8.6,9.6,7.2
1998/1/23,8.0,9.5,5.8
1998/1/24,6.9,9.3,4.2
1998/1/25,5.9,7.6,1.5
1998/1/26,8.2,9.5,6.4
1998/1/27,9.1,10.2,8.0
1998/1/28,9.5,10.4,8.4
1998/1/29,6.8,8.4,5.3
1998/1/30,8.9,12.9,6.0
1998/1/31,10.8,11.9,9.1
1998/2/1,9.2,11.2,6.6
1998/2/2,8.7,11.5,4.9
1998/2/3,11.6,13.5,7.5
1998/2/4,10.8,13.6,7.4
1998/2/5,7.1,9.3,3.6
1998/2/6,9.8,12.0,4.1
1998/2/7,11.1,13.5,8.5
1998/2/8,9.9,14.2,4.5
1998/2/9,9.1,10.5,7.0
1998/2/10,10.8,13.5,8.3
1998/2/11,9.0,10.7,4.7
1998/2/12,14.3,18.1,5.7
1998/2/13,17.2,19.0,14.1
1998/2/14,17.8,19.6,14.1
1998/2/15,10.1,16.7,7.3
1998/2/16,9.5,11.5,5.0
1998/2/17,10.3,12.3,8.0
1998/2/18,7.5,9.5,5.2
1998/2/19,10.8,15.5,5.1
1998/2/20,15.0,19.2,9.1
1998/2/21,10.5,18.7,8.9
1998/2/22,9.0,10.0,8.1
1998/2/23,10.3,14.1,6.8
1998/2/24,11.3,13.1,8.4
1998/2/25,11.9,13.5,10.1
1998/2/26,11.9,13.2,10.6
1998/2/27,12.2,14.4,8.3
1998/2/28,12.8,17.7,8.3
1998/3/1,9.8,12.9,6.8
1998/3/2,9.8,13.0,5.2
1998/3/3,11.6,14.8,5.1
1998/3/4,12.6,15.2,8.8
1998/3/5,11.6,14.4,7.8
1998/3/6,9.5,13.7,6.9
1998/3/7,12.1,13.9,9.2
1998/3/8,9.8,13.5,7.7
1998/3/9,14.3,15.9,12.4
1998/3/10,9.6,13.6,7.9
1998/3/11,11.6,13.2,10.0
1998/3/12,14.9,19.7,12.9
1998/3/13,13.5,14.6,11.9
1998/3/14,14.3,16.4,11.6
1998/3/15,11.1,14.0,8.1
1998/3/16,9.4,12.5,3.4
1998/3/17,11.4,14.3,6.4
1998/3/18,7.5,10.8,4.0
1998/3/19,11.5,15.3,3.8
1998/3/20,15.9,18.2,12.8
1998/3/21,13.2,14.7,11.9
1998/3/22,11.7,12.9,10.2
1998/3/23,11.0,13.5,6.7
1998/3/24,12.5,13.9,9.7
1998/3/25,11.8,14.1,8.1
1998/3/26,12.9,15.0,7.6
1998/3/27,16.5,19.5,11.8
1998/3/28,15.6,17.5,10.5
1998/3/29,16.6,21.1,9.9
1998/3/30,19.0,21.6,17.3
1998/3/31,18.1,20.2,15.0
