ダウンロードした時刻：2019/10/10 16:00:47

,横浜,横浜,横浜
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2004/12/1,11.1,14.4,8.8
2004/12/2,11.7,16.8,7.6
2004/12/3,11.0,17.1,5.2
2004/12/4,10.9,16.6,7.8
2004/12/5,18.2,23.5,8.2
2004/12/6,11.6,14.4,8.7
2004/12/7,12.6,17.1,6.3
2004/12/8,12.3,16.7,7.6
2004/12/9,10.4,12.0,9.3
2004/12/10,12.0,15.4,9.2
2004/12/11,12.9,18.0,8.6
2004/12/12,8.3,10.7,6.9
2004/12/13,11.7,17.4,7.8
2004/12/14,9.8,11.9,8.3
2004/12/15,10.0,12.0,7.4
2004/12/16,12.8,16.7,9.5
2004/12/17,10.2,14.4,7.3
2004/12/18,9.7,13.4,6.0
2004/12/19,10.4,13.2,8.0
2004/12/20,9.9,12.1,7.9
2004/12/21,10.2,12.8,8.4
2004/12/22,8.8,12.2,6.8
2004/12/23,7.6,11.5,6.0
2004/12/24,7.8,10.1,5.3
2004/12/25,8.1,11.6,4.5
2004/12/26,7.5,10.9,4.2
2004/12/27,7.7,10.7,4.8
2004/12/28,7.5,11.5,4.7
2004/12/29,3.0,6.3,0.9
2004/12/30,5.4,9.3,2.4
2004/12/31,2.1,4.0,0.1
2005/1/1,4.5,8.9,1.5
2005/1/2,4.7,9.3,-0.7
2005/1/3,8.6,13.2,1.6
2005/1/4,12.7,18.0,6.5
2005/1/5,5.4,8.6,3.0
2005/1/6,3.1,5.6,1.4
2005/1/7,7.7,15.2,2.1
2005/1/8,5.7,8.6,3.5
2005/1/9,4.8,10.6,1.4
2005/1/10,5.2,8.9,1.5
2005/1/11,6.2,11.1,3.3
2005/1/12,4.8,10.3,2.2
2005/1/13,5.3,11.5,-0.7
2005/1/14,6.7,11.2,2.1
2005/1/15,3.4,7.7,2.4
2005/1/16,5.7,7.2,2.8
2005/1/17,7.8,12.5,3.7
2005/1/18,8.0,12.7,4.3
2005/1/19,7.3,10.5,5.1
2005/1/20,7.0,12.9,3.2
2005/1/21,6.2,11.0,3.3
2005/1/22,5.7,10.9,1.6
2005/1/23,3.1,5.1,1.4
2005/1/24,5.6,11.5,1.3
2005/1/25,7.8,12.7,4.0
2005/1/26,3.6,5.7,1.9
2005/1/27,5.3,9.2,1.4
2005/1/28,6.4,11.1,2.5
2005/1/29,7.3,11.4,3.6
2005/1/30,7.3,12.3,4.0
2005/1/31,5.3,10.1,3.0
2005/2/1,4.5,8.8,1.8
2005/2/2,4.1,8.8,-0.2
2005/2/3,5.0,10.8,0.3
2005/2/4,6.1,10.6,2.2
2005/2/5,6.1,10.8,2.4
2005/2/6,6.2,11.3,3.1
2005/2/7,5.9,8.4,3.8
2005/2/8,4.4,6.0,3.6
2005/2/9,8.0,12.0,2.2
2005/2/10,9.4,14.5,4.4
2005/2/11,5.3,9.0,2.9
2005/2/12,5.2,9.5,1.2
2005/2/13,5.0,7.0,3.0
2005/2/14,6.2,10.3,2.2
2005/2/15,7.5,11.9,2.4
2005/2/16,4.6,8.7,2.3
2005/2/17,7.3,10.2,4.1
2005/2/18,6.2,7.9,2.6
2005/2/19,3.0,6.0,0.6
2005/2/20,7.6,11.3,4.7
2005/2/21,5.9,9.2,3.2
2005/2/22,6.3,9.9,3.3
2005/2/23,12.3,17.8,5.9
2005/2/24,7.2,12.2,1.2
2005/2/25,3.7,6.0,0.9
2005/2/26,3.9,6.4,1.2
2005/2/27,4.1,8.2,-0.4
2005/2/28,5.8,10.1,1.4
2005/3/1,5.3,10.1,3.2
2005/3/2,6.0,10.5,1.3
2005/3/3,5.4,9.2,2.5
2005/3/4,2.1,4.2,0.5
2005/3/5,4.7,9.7,1.8
2005/3/6,3.8,5.8,2.0
2005/3/7,7.2,12.7,2.5
2005/3/8,10.7,16.4,4.1
2005/3/9,12.1,18.4,7.8
2005/3/10,10.2,14.2,7.0
2005/3/11,9.8,14.2,6.9
2005/3/12,10.8,16.2,4.7
2005/3/13,4.4,7.7,2.6
2005/3/14,5.9,11.0,1.3
2005/3/15,7.2,12.0,2.0
2005/3/16,11.7,16.6,6.3
2005/3/17,11.8,17.1,7.9
2005/3/18,13.0,17.9,7.5
2005/3/19,9.0,14.0,5.3
2005/3/20,8.3,13.6,5.1
2005/3/21,11.2,16.3,6.7
2005/3/22,13.2,15.0,11.3
2005/3/23,10.8,14.3,7.2
2005/3/24,10.8,15.0,8.1
2005/3/25,8.5,12.5,4.9
2005/3/26,8.6,13.6,4.2
2005/3/27,12.3,17.8,6.4
2005/3/28,11.2,14.0,8.6
2005/3/29,11.0,13.4,8.6
2005/3/30,9.9,14.6,6.1
2005/3/31,10.7,15.2,5.4
