ダウンロードした時刻：2019/10/10 15:45:04

,富山,富山,富山
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1983/12/1,4.9,6.1,2.8
1983/12/2,10.1,14.6,5.6
1983/12/3,5.6,9.4,3.0
1983/12/4,4.5,7.3,2.8
1983/12/5,5.6,10.9,2.8
1983/12/6,4.2,7.1,2.5
1983/12/7,5.2,10.2,1.3
1983/12/8,5.8,11.2,1.5
1983/12/9,7.6,12.0,2.5
1983/12/10,11.0,15.5,5.6
1983/12/11,6.8,13.0,0.7
1983/12/12,3.4,5.2,1.3
1983/12/13,8.7,13.5,4.2
1983/12/14,4.6,9.6,0.6
1983/12/15,3.0,8.8,0.5
1983/12/16,1.4,3.8,0.2
1983/12/17,0.6,3.2,-0.3
1983/12/18,-0.6,1.0,-3.0
1983/12/19,0.8,3.6,-0.4
1983/12/20,0.1,2.2,-2.3
1983/12/21,1.7,6.9,-1.8
1983/12/22,6.9,9.7,0.1
1983/12/23,2.8,7.5,-0.3
1983/12/24,1.8,4.9,-0.7
1983/12/25,0.0,2.0,-1.9
1983/12/26,-0.7,2.7,-2.9
1983/12/27,-0.3,4.3,-3.4
1983/12/28,2.2,7.0,-3.3
1983/12/29,1.8,5.1,0.1
1983/12/30,2.4,6.6,-0.9
1983/12/31,1.5,6.8,-1.4
1984/1/1,2.4,5.5,0.4
1984/1/2,3.5,6.2,0.4
1984/1/3,4.2,7.6,1.6
1984/1/4,1.3,4.1,-0.9
1984/1/5,-0.8,0.6,-2.9
1984/1/6,-0.7,2.5,-5.2
1984/1/7,-0.4,2.5,-4.1
1984/1/8,-0.4,4.5,-5.4
1984/1/9,0.9,2.6,-0.7
1984/1/10,3.1,7.5,0.4
1984/1/11,-0.5,1.2,-2.4
1984/1/12,-0.2,3.2,-3.0
1984/1/13,1.7,5.2,-2.5
1984/1/14,3.9,8.1,1.1
1984/1/15,3.4,6.8,-0.6
1984/1/16,-1.9,-0.2,-2.5
1984/1/17,-1.8,-0.5,-2.6
1984/1/18,-0.5,2.5,-3.0
1984/1/19,-0.2,1.3,-2.0
1984/1/20,-1.8,2.0,-4.0
1984/1/21,0.1,5.1,-4.5
1984/1/22,1.5,4.9,-0.1
1984/1/23,0.5,3.9,-0.4
1984/1/24,-0.6,0.9,-2.3
1984/1/25,-0.4,3.5,-2.2
1984/1/26,-1.2,0.6,-2.6
1984/1/27,-0.5,1.9,-2.4
1984/1/28,-0.4,2.2,-1.9
1984/1/29,-1.5,1.8,-3.7
1984/1/30,-1.2,2.5,-3.8
1984/1/31,-0.6,0.9,-3.9
1984/2/1,0.7,6.6,-5.0
1984/2/2,1.6,4.3,-1.5
1984/2/3,-2.6,0.3,-5.1
1984/2/4,-3.6,0.0,-6.3
1984/2/5,-0.8,3.6,-4.6
1984/2/6,-3.5,0.0,-5.1
1984/2/7,-4.0,-2.2,-5.1
1984/2/8,-3.0,-1.8,-4.3
1984/2/9,-2.5,-0.5,-3.8
1984/2/10,-2.1,0.6,-3.9
1984/2/11,-1.8,3.9,-5.4
1984/2/12,-0.8,3.3,-6.2
1984/2/13,0.7,5.2,-1.5
1984/2/14,0.3,5.3,-2.6
1984/2/15,-1.1,1.4,-3.1
1984/2/16,-1.4,1.1,-2.8
1984/2/17,-0.4,1.8,-2.8
1984/2/18,-0.3,3.3,-3.2
1984/2/19,-0.8,3.3,-3.8
1984/2/20,0.2,6.0,-5.8
1984/2/21,1.7,5.2,-1.4
1984/2/22,0.8,5.1,-3.5
1984/2/23,2.6,5.9,0.7
1984/2/24,1.9,4.0,1.0
1984/2/25,1.3,4.1,-1.3
1984/2/26,2.1,3.3,-1.2
1984/2/27,0.3,4.2,-1.1
1984/2/28,-1.1,2.4,-3.4
1984/2/29,-1.3,2.3,-2.7
1984/3/1,-0.5,3.7,-3.1
1984/3/2,1.5,7.5,-4.4
1984/3/3,1.7,4.9,-0.7
1984/3/4,0.5,5.5,-1.9
1984/3/5,-1.4,1.9,-5.7
1984/3/6,0.9,4.8,-2.3
1984/3/7,0.2,3.8,-1.6
1984/3/8,0.9,3.7,-1.0
1984/3/9,1.2,4.1,-1.3
1984/3/10,2.2,6.0,-1.9
1984/3/11,-0.4,1.8,-1.5
1984/3/12,1.7,6.0,-2.1
1984/3/13,0.7,3.3,-1.3
1984/3/14,1.2,4.7,-1.8
1984/3/15,2.1,5.7,-3.3
1984/3/16,3.6,5.5,1.5
1984/3/17,3.4,6.9,1.4
1984/3/18,2.1,4.0,-0.4
1984/3/19,1.1,3.8,-0.6
1984/3/20,1.3,2.8,0.3
1984/3/21,0.8,3.6,-0.7
1984/3/22,0.6,4.5,-2.4
1984/3/23,0.6,4.2,-4.1
1984/3/24,5.0,7.6,-1.8
1984/3/25,6.7,10.6,2.4
1984/3/26,2.6,8.3,-0.8
1984/3/27,3.8,9.2,-1.3
1984/3/28,4.1,7.8,0.8
1984/3/29,8.7,13.6,0.7
1984/3/30,12.1,18.0,8.0
1984/3/31,5.5,10.4,3.3
