ダウンロードした時刻：2019/10/10 15:34:01

,江差,江差,江差
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1997/12/1,-0.2,2.0,-1.6
1997/12/2,-3.0,-0.8,-4.6
1997/12/3,-3.3,-1.2,-5.3
1997/12/4,1.1,4.3,-2.4
1997/12/5,5.0,6.6,3.9
1997/12/6,6.8,9.4,3.1
1997/12/7,5.3,9.1,3.3
1997/12/8,6.8,9.2,3.3
1997/12/9,8.4,11.8,4.7
1997/12/10,3.5,6.0,-0.2
1997/12/11,-0.8,0.7,-2.5
1997/12/12,-1.1,1.6,-3.0
1997/12/13,1.7,3.0,-1.8
1997/12/14,4.1,5.7,2.3
1997/12/15,5.4,7.1,3.2
1997/12/16,4.7,5.1,4.0
1997/12/17,4.9,7.2,1.4
1997/12/18,6.0,9.6,0.3
1997/12/19,9.0,12.7,6.4
1997/12/20,4.2,11.5,-0.1
1997/12/21,-0.8,1.1,-3.2
1997/12/22,0.4,1.7,-2.7
1997/12/23,0.7,3.4,-1.7
1997/12/24,3.2,5.5,0.1
1997/12/25,1.9,6.3,-2.3
1997/12/26,3.3,8.3,-0.9
1997/12/27,6.1,9.2,2.1
1997/12/28,0.5,4.6,-0.8
1997/12/29,2.0,3.5,0.6
1997/12/30,4.2,6.9,1.3
1997/12/31,1.4,2.7,0.2
1998/1/1,1.2,3.5,-1.9
1998/1/2,-1.8,-0.3,-2.6
1998/1/3,1.1,5.2,-2.3
1998/1/4,-1.5,0.6,-2.4
1998/1/5,-3.0,-2.1,-4.4
1998/1/6,-2.1,0.2,-5.3
1998/1/7,-7.2,-3.4,-8.9
1998/1/8,-6.8,-5.2,-10.2
1998/1/9,-4.2,-0.9,-11.2
1998/1/10,-1.7,-0.2,-3.4
1998/1/11,-0.8,0.8,-2.2
1998/1/12,-1.1,2.0,-4.1
1998/1/13,,,-3.4
1998/1/14,-3.8,0.9,-6.7
1998/1/15,-4.4,-1.8,-8.6
1998/1/16,-2.6,-0.5,-6.4
1998/1/17,0.4,2.7,-3.2
1998/1/18,2.6,5.2,1.6
1998/1/19,-3.4,2.0,-6.8
1998/1/20,-4.2,-2.2,-6.8
1998/1/21,-3.8,-1.4,-6.1
1998/1/22,-4.8,-2.7,-6.5
1998/1/23,-4.6,-2.7,-6.7
1998/1/24,-6.3,-3.0,-11.0
1998/1/25,-4.1,-2.9,-7.7
1998/1/26,-4.3,-2.8,-7.0
1998/1/27,-5.3,-3.8,-7.6
1998/1/28,-5.1,-3.3,-7.0
1998/1/29,-3.0,-2.1,-5.1
1998/1/30,0.7,3.4,-2.7
1998/1/31,-1.2,1.8,-4.7
1998/2/1,-2.4,-1.1,-4.3
1998/2/2,0.2,2.2,-1.8
1998/2/3,-0.4,2.0,-5.2
1998/2/4,-4.7,-2.3,-7.0
1998/2/5,-2.4,-0.7,-4.0
1998/2/6,-2.5,0.8,-8.6
1998/2/7,-5.0,-1.0,-10.8
1998/2/8,1.1,2.9,-3.8
1998/2/9,0.8,2.8,-2.1
1998/2/10,-1.6,-0.2,-3.9
1998/2/11,-1.1,0.8,-3.5
1998/2/12,3.1,7.0,-0.5
1998/2/13,0.4,2.3,-1.1
1998/2/14,-0.8,1.3,-2.0
1998/2/15,-2.9,-1.0,-4.5
1998/2/16,-1.7,-0.2,-3.4
1998/2/17,-2.2,0.1,-3.9
1998/2/18,-2.0,1.8,-8.3
1998/2/19,4.1,5.9,1.7
1998/2/20,4.4,6.8,0.1
1998/2/21,-2.8,0.1,-6.0
1998/2/22,-1.5,1.5,-7.2
1998/2/23,2.6,6.0,-1.1
1998/2/24,0.8,5.6,-4.1
1998/2/25,2.0,5.6,-2.0
1998/2/26,3.7,5.4,2.0
1998/2/27,4.6,8.6,1.7
1998/2/28,3.5,8.0,-0.5
1998/3/1,2.1,6.8,-1.8
1998/3/2,3.7,8.5,-2.1
1998/3/3,4.5,8.0,0.8
1998/3/4,2.9,6.8,-1.5
1998/3/5,2.7,7.5,-3.4
1998/3/6,5.7,9.0,-0.7
1998/3/7,1.7,7.3,-0.2
1998/3/8,3.2,5.5,-0.8
1998/3/9,1.9,4.8,-1.9
1998/3/10,-0.1,3.6,-4.7
1998/3/11,1.5,6.6,-3.2
1998/3/12,4.1,7.5,-0.5
1998/3/13,4.6,6.1,2.3
1998/3/14,3.1,5.7,-0.5
1998/3/15,-0.1,3.6,-2.5
1998/3/16,-1.9,-0.9,-3.9
1998/3/17,0.1,4.9,-6.5
1998/3/18,3.1,5.5,-0.8
1998/3/19,7.6,10.5,4.4
1998/3/20,6.1,11.1,1.8
1998/3/21,1.6,2.9,0.3
1998/3/22,0.7,3.5,-1.4
1998/3/23,1.9,4.0,-1.8
1998/3/24,6.2,8.4,3.4
1998/3/25,5.6,9.0,0.8
1998/3/26,6.3,10.5,-0.4
1998/3/27,6.8,10.4,4.0
1998/3/28,8.3,10.9,4.9
1998/3/29,8.9,13.3,6.4
1998/3/30,6.0,7.6,4.2
1998/3/31,3.4,6.1,0.1
