ダウンロードした時刻：2019/10/10 15:35:16

,新庄,新庄,新庄
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1990/12/1,15.7,19.0,12.4
1990/12/2,9.4,12.8,6.4
1990/12/3,4.3,7.1,2.8
1990/12/4,5.0,7.2,1.9
1990/12/5,5.7,10.8,1.9
1990/12/6,6.8,12.8,3.0
1990/12/7,8.5,14.2,2.0
1990/12/8,9.9,11.8,7.4
1990/12/9,10.4,16.3,6.7
1990/12/10,9.0,13.4,6.0
1990/12/11,6.3,9.4,2.8
1990/12/12,5.7,9.5,2.7
1990/12/13,4.7,7.7,2.7
1990/12/14,2.8,8.2,-1.7
1990/12/15,2.4,7.9,1.4
1990/12/16,0.9,4.1,-1.4
1990/12/17,0.2,1.5,-2.0
1990/12/18,-0.3,1.4,-2.6
1990/12/19,2.1,3.4,-0.5
1990/12/20,2.2,4.8,0.6
1990/12/21,3.3,7.5,0.2
1990/12/22,4.5,7.5,1.4
1990/12/23,2.5,6.9,0.1
1990/12/24,0.8,1.6,0.0
1990/12/25,1.5,4.0,-2.0
1990/12/26,-0.3,3.1,-5.8
1990/12/27,1.2,3.2,-0.2
1990/12/28,0.8,2.2,0.2
1990/12/29,0.2,2.1,-0.8
1990/12/30,1.6,4.0,-1.6
1990/12/31,2.2,6.8,-0.9
1991/1/1,2.2,4.2,1.0
1991/1/2,2.5,5.5,0.3
1991/1/3,-0.9,1.2,-3.5
1991/1/4,-2.4,-0.5,-3.7
1991/1/5,-1.1,-0.5,-1.9
1991/1/6,-1.1,0.7,-2.2
1991/1/7,-0.2,2.2,-2.6
1991/1/8,-0.9,0.8,-4.5
1991/1/9,-1.7,1.4,-8.6
1991/1/10,1.6,4.0,-0.1
1991/1/11,1.1,2.7,-0.4
1991/1/12,-0.6,4.2,-7.2
1991/1/13,-5.1,-0.3,-10.1
1991/1/14,-1.3,3.3,-6.5
1991/1/15,-1.0,0.4,-2.7
1991/1/16,-1.5,0.6,-4.9
1991/1/17,-1.3,3.0,-6.7
1991/1/18,-2.9,0.9,-8.0
1991/1/19,-5.3,0.0,-10.8
1991/1/20,-1.7,2.4,-6.4
1991/1/21,1.3,3.5,0.3
1991/1/22,1.2,3.9,-0.9
1991/1/23,-2.3,0.8,-4.0
1991/1/24,-0.8,2.7,-3.6
1991/1/25,1.2,5.6,-2.2
1991/1/26,1.3,3.3,-1.1
1991/1/27,-0.7,1.9,-3.1
1991/1/28,-3.2,0.0,-10.4
1991/1/29,-2.8,-0.7,-5.8
1991/1/30,-1.0,0.8,-5.2
1991/1/31,0.3,2.7,-3.8
1991/2/1,-0.4,1.7,-2.7
1991/2/2,-2.0,0.1,-6.8
1991/2/3,-1.1,1.0,-2.5
1991/2/4,-1.1,1.5,-4.9
1991/2/5,-1.4,0.6,-5.7
1991/2/6,-0.7,0.3,-2.1
1991/2/7,-0.1,2.7,-2.6
1991/2/8,-1.8,0.3,-4.4
1991/2/9,-0.3,2.5,-2.2
1991/2/10,-0.9,3.0,-7.2
1991/2/11,2.0,5.9,-1.5
1991/2/12,0.1,4.0,-2.9
1991/2/13,0.7,3.3,-4.3
1991/2/14,-1.6,6.6,-9.8
1991/2/15,4.2,9.0,-2.4
1991/2/16,3.9,8.1,0.2
1991/2/17,0.2,2.8,-2.1
1991/2/18,-2.1,1.2,-6.3
1991/2/19,-1.5,2.8,-3.9
1991/2/20,-4.3,-0.1,-12.2
1991/2/21,-1.0,2.3,-3.8
1991/2/22,-1.7,0.7,-2.8
1991/2/23,-3.7,-1.8,-5.6
1991/2/24,-5.1,-3.1,-6.8
1991/2/25,-1.8,0.9,-5.8
1991/2/26,2.4,5.0,-0.3
1991/2/27,2.6,5.8,-0.1
1991/2/28,1.2,4.8,-0.8
1991/3/1,-0.5,1.2,-2.0
1991/3/2,0.1,4.2,-4.1
1991/3/3,0.8,3.3,-3.0
1991/3/4,4.6,9.3,1.5
1991/3/5,5.8,10.1,-0.3
1991/3/6,3.8,11.2,-1.9
1991/3/7,0.2,4.9,-1.1
1991/3/8,0.9,3.5,-1.5
1991/3/9,2.2,5.3,0.1
1991/3/10,1.4,3.8,0.2
1991/3/11,1.7,3.1,0.3
1991/3/12,2.4,5.8,0.8
1991/3/13,1.2,3.1,-1.2
1991/3/14,-1.3,2.1,-4.0
1991/3/15,-1.9,0.5,-4.5
1991/3/16,-0.3,1.8,-3.6
1991/3/17,1.5,3.7,0.1
1991/3/18,2.1,6.0,-3.3
1991/3/19,1.8,11.8,-6.4
1991/3/20,4.2,13.8,-3.0
1991/3/21,0.7,3.1,-3.5
1991/3/22,1.3,7.6,-6.5
1991/3/23,6.3,11.3,2.6
1991/3/24,7.2,11.5,1.0
1991/3/25,4.0,9.5,-0.6
1991/3/26,4.8,11.9,-0.4
1991/3/27,2.6,4.5,-1.1
1991/3/28,3.7,6.0,2.0
1991/3/29,4.3,8.3,0.6
1991/3/30,5.6,12.4,-0.9
1991/3/31,4.7,7.5,1.3
