ダウンロードした時刻：2019/10/10 15:45:35

,富山,富山,富山
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2007/12/1,9.5,15.2,6.9
2007/12/2,9.9,15.2,6.5
2007/12/3,9.8,12.8,6.8
2007/12/4,4.9,9.1,1.6
2007/12/5,4.6,7.5,3.0
2007/12/6,8.6,13.3,4.3
2007/12/7,9.8,13.3,7.2
2007/12/8,8.3,12.7,6.3
2007/12/9,5.3,7.3,2.7
2007/12/10,7.2,12.1,2.4
2007/12/11,9.6,12.7,5.8
2007/12/12,10.2,14.5,8.4
2007/12/13,9.0,12.0,6.6
2007/12/14,5.6,8.4,4.5
2007/12/15,4.4,6.6,3.0
2007/12/16,4.3,7.6,2.2
2007/12/17,5.2,8.7,2.1
2007/12/18,5.1,8.1,3.8
2007/12/19,5.5,8.5,3.6
2007/12/20,6.0,9.1,4.2
2007/12/21,6.5,8.8,4.7
2007/12/22,6.3,8.4,4.2
2007/12/23,9.6,13.8,6.3
2007/12/24,7.1,11.0,3.6
2007/12/25,5.5,10.5,2.3
2007/12/26,5.2,10.9,1.4
2007/12/27,6.7,13.8,0.6
2007/12/28,9.0,12.6,3.8
2007/12/29,11.6,16.1,8.1
2007/12/30,3.2,8.9,0.5
2007/12/31,1.2,2.7,0.5
2008/1/1,0.8,1.7,0.1
2008/1/2,2.1,4.9,0.4
2008/1/3,2.7,6.0,0.6
2008/1/4,2.9,6.0,0.6
2008/1/5,4.8,8.8,1.4
2008/1/6,6.8,11.4,3.6
2008/1/7,6.1,10.6,2.3
2008/1/8,7.3,12.3,5.2
2008/1/9,6.5,10.3,4.6
2008/1/10,6.1,9.9,2.1
2008/1/11,8.3,12.1,5.3
2008/1/12,5.1,7.2,2.0
2008/1/13,0.9,2.9,-0.6
2008/1/14,1.2,5.3,-1.0
2008/1/15,2.7,7.5,-1.3
2008/1/16,2.8,4.2,0.8
2008/1/17,-0.3,1.9,-2.0
2008/1/18,0.3,4.6,-3.4
2008/1/19,1.0,5.7,-2.0
2008/1/20,1.5,4.9,-1.9
2008/1/21,2.5,5.7,1.0
2008/1/22,2.4,6.4,-0.4
2008/1/23,4.1,7.2,0.6
2008/1/24,1.3,6.9,-1.6
2008/1/25,-0.7,2.4,-3.3
2008/1/26,0.0,2.2,-1.5
2008/1/27,0.5,4.6,-1.8
2008/1/28,2.0,7.1,-2.7
2008/1/29,3.1,4.5,1.6
2008/1/30,5.1,10.5,1.8
2008/1/31,2.3,4.9,0.1
2008/2/1,0.6,4.0,-1.5
2008/2/2,1.6,5.2,-1.6
2008/2/3,2.0,3.6,0.1
2008/2/4,1.9,6.8,-1.2
2008/2/5,1.4,3.3,0.2
2008/2/6,2.9,7.8,0.3
2008/2/7,1.6,5.5,0.3
2008/2/8,0.4,3.1,-1.7
2008/2/9,0.4,2.9,-2.6
2008/2/10,2.8,7.6,-0.7
2008/2/11,4.4,10.3,-0.5
2008/2/12,3.4,5.5,0.0
2008/2/13,-1.3,1.8,-3.8
2008/2/14,0.3,2.9,-2.3
2008/2/15,1.2,4.6,-0.2
2008/2/16,0.3,3.5,-1.5
2008/2/17,-0.6,1.8,-1.5
2008/2/18,0.5,3.6,-1.8
2008/2/19,2.5,7.3,-1.1
2008/2/20,3.6,8.7,1.0
2008/2/21,3.9,8.7,0.5
2008/2/22,6.0,13.6,-0.6
2008/2/23,2.8,8.6,-2.8
2008/2/24,0.1,3.6,-2.6
2008/2/25,1.4,5.5,-2.4
2008/2/26,4.8,7.7,0.3
2008/2/27,0.8,4.1,-0.5
2008/2/28,2.4,7.3,-0.8
2008/2/29,7.2,13.9,1.2
2008/3/1,3.7,7.6,0.9
2008/3/2,5.8,11.7,0.0
2008/3/3,4.9,8.3,2.6
2008/3/4,3.6,7.2,0.4
2008/3/5,1.7,6.4,-0.7
2008/3/6,4.3,9.3,0.0
2008/3/7,3.8,6.5,1.8
2008/3/8,5.0,11.3,1.3
2008/3/9,7.5,16.6,-0.5
2008/3/10,7.9,10.4,3.7
2008/3/11,9.8,17.3,3.1
2008/3/12,8.4,13.1,4.3
2008/3/13,11.7,19.9,2.7
2008/3/14,12.3,15.5,9.1
2008/3/15,8.8,12.9,4.7
2008/3/16,9.8,18.9,3.3
2008/3/17,8.5,13.2,4.6
2008/3/18,8.1,14.1,3.0
2008/3/19,11.9,16.1,5.9
2008/3/20,9.8,12.5,8.1
2008/3/21,10.2,13.1,7.9
2008/3/22,8.7,14.3,4.0
2008/3/23,10.2,16.1,3.2
2008/3/24,10.9,15.7,5.2
2008/3/25,11.7,21.0,4.2
2008/3/26,9.7,14.2,6.3
2008/3/27,9.0,14.0,5.7
2008/3/28,8.1,13.1,5.5
2008/3/29,6.4,8.9,4.8
2008/3/30,6.7,10.7,4.7
2008/3/31,6.2,11.0,4.3
