É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2019/10/10 15:32:41

,éDñy,éDñy,éDñy
îNåéì˙,ïΩãœãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈í·ãCâ∑(Åé)
,,,
2010/12/1,2.7,5.4,-1.3
2010/12/2,5.2,9.6,-0.7
2010/12/3,10.9,12.2,9.4
2010/12/4,6.4,10.8,3.9
2010/12/5,5.9,9.3,1.5
2010/12/6,4.7,9.1,1.1
2010/12/7,1.1,2.1,0.1
2010/12/8,0.0,1.1,-1.3
2010/12/9,0.7,2.0,-0.7
2010/12/10,-0.2,1.0,-1.5
2010/12/11,4.2,8.8,-1.0
2010/12/12,-3.1,1.3,-4.9
2010/12/13,1.8,5.3,-3.0
2010/12/14,1.8,3.4,-1.5
2010/12/15,-5.7,-1.5,-8.2
2010/12/16,-4.5,-0.9,-8.0
2010/12/17,-3.7,-0.7,-6.5
2010/12/18,-3.0,0.0,-5.7
2010/12/19,0.2,5.2,-3.2
2010/12/20,3.8,5.9,0.9
2010/12/21,1.9,3.9,-0.9
2010/12/22,-0.6,1.0,-2.4
2010/12/23,1.4,3.2,0.5
2010/12/24,-1.2,3.7,-6.6
2010/12/25,-5.7,-3.0,-7.2
2010/12/26,-3.3,-0.1,-7.3
2010/12/27,-0.4,2.5,-3.5
2010/12/28,0.1,2.7,-2.2
2010/12/29,-0.7,0.7,-1.7
2010/12/30,0.1,1.1,-0.9
2010/12/31,-1.1,1.8,-4.9
2011/1/1,-0.6,1.4,-2.2
2011/1/2,-1.1,0.8,-3.8
2011/1/3,-1.0,2.3,-4.3
2011/1/4,-1.3,1.7,-3.5
2011/1/5,-2.3,-0.1,-4.3
2011/1/6,-5.7,-2.2,-9.2
2011/1/7,-8.9,-6.5,-10.1
2011/1/8,-5.4,-3.0,-7.7
2011/1/9,-6.0,-4.0,-8.0
2011/1/10,-6.6,-3.8,-8.6
2011/1/11,-6.1,-3.4,-8.9
2011/1/12,-6.8,-5.1,-9.6
2011/1/13,-7.0,-4.6,-9.4
2011/1/14,-7.2,-5.2,-8.8
2011/1/15,-4.2,-0.1,-9.5
2011/1/16,-0.1,1.5,-3.8
2011/1/17,-1.4,1.5,-3.7
2011/1/18,-0.4,3.0,-3.5
2011/1/19,-1.2,1.3,-4.3
2011/1/20,-2.6,-1.0,-4.6
2011/1/21,-3.0,-0.8,-4.6
2011/1/22,-2.6,0.3,-6.5
2011/1/23,-1.6,1.2,-4.9
2011/1/24,-2.8,-0.1,-6.5
2011/1/25,-2.7,1.3,-7.5
2011/1/26,-3.6,-1.4,-6.7
2011/1/27,-5.2,-1.9,-8.5
2011/1/28,-6.1,-2.7,-9.8
2011/1/29,-4.0,-1.1,-6.9
2011/1/30,-4.7,-1.7,-7.7
2011/1/31,-5.4,-3.8,-9.4
2011/2/1,-4.7,-3.2,-5.8
2011/2/2,-2.0,1.5,-8.1
2011/2/3,1.8,5.9,-2.1
2011/2/4,2.7,7.4,-2.2
2011/2/5,-0.4,2.8,-4.4
2011/2/6,-2.5,1.8,-8.2
2011/2/7,-2.9,2.9,-6.6
2011/2/8,-4.5,-2.2,-7.0
2011/2/9,-2.4,0.5,-5.9
2011/2/10,-1.4,1.8,-4.1
2011/2/11,-1.4,1.7,-4.3
2011/2/12,-2.9,0.5,-6.7
2011/2/13,-3.0,-1.5,-4.2
2011/2/14,-3.3,-0.1,-5.9
2011/2/15,-2.9,1.8,-8.8
2011/2/16,1.6,5.5,-1.0
2011/2/17,1.2,4.2,-2.7
2011/2/18,0.6,2.9,-1.8
2011/2/19,-2.2,0.7,-4.9
2011/2/20,-0.2,2.4,-1.7
2011/2/21,-0.4,4.1,-6.1
2011/2/22,1.2,6.1,-3.0
2011/2/23,2.1,3.7,0.3
2011/2/24,4.9,9.3,2.2
2011/2/25,-0.4,7.0,-5.0
2011/2/26,-4.3,-2.2,-6.4
2011/2/27,-1.4,1.7,-4.8
2011/2/28,-3.7,-0.7,-6.7
2011/3/1,-0.7,1.4,-5.2
2011/3/2,-1.6,1.9,-3.4
2011/3/3,-4.2,-2.2,-5.4
2011/3/4,-3.3,-0.3,-6.6
2011/3/5,-1.0,3.0,-7.7
2011/3/6,1.6,4.9,-1.4
2011/3/7,-0.7,3.2,-3.8
2011/3/8,-2.4,1.0,-6.2
2011/3/9,,,
2011/3/10,-1.8,1.7,-4.2
2011/3/11,-1.3,2.6,-3.8
2011/3/12,0.7,4.5,-4.8
2011/3/13,3.5,5.8,1.3
2011/3/14,3.1,7.9,-0.6
2011/3/15,-0.3,2.3,-1.6
2011/3/16,-0.8,2.0,-3.4
2011/3/17,-2.4,0.7,-4.4
2011/3/18,0.6,3.7,-3.1
2011/3/19,5.2,9.9,0.7
2011/3/20,4.8,7.3,0.1
2011/3/21,1.9,4.8,-1.3
2011/3/22,0.1,3.1,-1.9
2011/3/23,-1.0,1.5,-2.4
2011/3/24,-0.7,2.4,-4.0
2011/3/25,-0.4,3.0,-3.2
2011/3/26,0.0,3.6,-4.1
2011/3/27,0.8,3.8,-2.9
2011/3/28,3.9,7.9,-1.7
2011/3/29,5.9,10.5,1.7
2011/3/30,5.4,10.3,0.0
2011/3/31,5.1,9.8,0.6
