ダウンロードした時刻：2019/10/10 16:08:39

,彦根,彦根,彦根
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2000/12/1,9.9,15.1,5.8
2000/12/2,8.7,13.4,4.5
2000/12/3,8.4,11.2,4.7
2000/12/4,7.8,11.0,2.5
2000/12/5,6.7,11.6,0.6
2000/12/6,7.3,9.6,5.1
2000/12/7,6.3,10.4,2.2
2000/12/8,5.5,11.0,0.8
2000/12/9,6.3,12.0,1.8
2000/12/10,7.5,10.0,3.9
2000/12/11,7.4,11.1,1.8
2000/12/12,3.3,6.9,0.7
2000/12/13,4.5,9.2,1.1
2000/12/14,5.1,7.6,2.5
2000/12/15,6.6,9.8,3.2
2000/12/16,7.6,13.7,2.1
2000/12/17,6.4,8.6,4.1
2000/12/18,7.7,10.1,4.9
2000/12/19,10.3,14.4,8.4
2000/12/20,8.4,11.3,4.4
2000/12/21,8.3,11.2,4.6
2000/12/22,5.4,10.7,1.9
2000/12/23,6.4,12.3,0.2
2000/12/24,6.3,9.3,2.2
2000/12/25,4.6,10.4,1.2
2000/12/26,2.7,5.1,1.0
2000/12/27,3.0,4.5,1.3
2000/12/28,4.1,8.7,0.1
2000/12/29,4.2,7.1,-0.1
2000/12/30,2.2,5.5,-2.4
2000/12/31,6.0,8.1,3.5
2001/1/1,4.2,7.4,1.0
2001/1/2,6.1,10.4,2.0
2001/1/3,4.1,6.8,1.4
2001/1/4,2.1,4.5,0.2
2001/1/5,1.3,3.6,-0.6
2001/1/6,1.8,3.0,0.4
2001/1/7,1.5,5.0,-1.1
2001/1/8,5.5,9.4,2.1
2001/1/9,4.5,9.7,-0.1
2001/1/10,7.5,10.6,3.6
2001/1/11,5.0,9.8,1.0
2001/1/12,3.6,5.6,1.7
2001/1/13,2.3,4.6,0.7
2001/1/14,-0.6,3.1,-4.2
2001/1/15,-0.8,2.0,-4.6
2001/1/16,0.0,3.8,-2.4
2001/1/17,-0.4,1.6,-2.5
2001/1/18,1.8,5.2,-1.6
2001/1/19,1.6,3.9,-0.7
2001/1/20,-0.3,1.8,-2.8
2001/1/21,4.4,7.2,0.6
2001/1/22,4.3,7.8,2.0
2001/1/23,3.6,8.6,0.8
2001/1/24,3.0,6.4,-0.4
2001/1/25,3.0,5.9,-0.6
2001/1/26,5.6,6.8,4.0
2001/1/27,4.6,7.0,2.8
2001/1/28,5.0,9.4,2.7
2001/1/29,2.0,4.7,0.3
2001/1/30,2.6,6.6,-1.0
2001/1/31,4.6,7.7,1.2
2001/2/1,3.7,5.6,1.2
2001/2/2,2.1,5.0,0.5
2001/2/3,1.9,4.4,-0.4
2001/2/4,3.3,5.6,0.2
2001/2/5,4.7,9.3,2.2
2001/2/6,5.2,8.1,2.1
2001/2/7,4.8,8.3,1.3
2001/2/8,4.6,7.5,0.3
2001/2/9,2.8,7.4,-0.5
2001/2/10,2.8,6.7,-0.4
2001/2/11,3.5,7.3,0.5
2001/2/12,2.9,5.1,0.4
2001/2/13,3.4,5.9,0.7
2001/2/14,2.2,4.9,0.3
2001/2/15,0.8,4.6,-1.5
2001/2/16,2.0,4.9,0.4
2001/2/17,2.4,5.4,-0.1
2001/2/18,4.6,8.4,-0.3
2001/2/19,6.9,10.0,4.1
2001/2/20,4.9,8.9,0.7
2001/2/21,4.4,9.0,-1.1
2001/2/22,8.9,14.2,4.5
2001/2/23,7.4,14.9,1.7
2001/2/24,7.0,8.2,4.4
2001/2/25,3.0,6.4,0.2
2001/2/26,2.9,6.4,-0.1
2001/2/27,3.4,8.6,-2.2
2001/2/28,5.8,7.7,2.4
2001/3/1,6.7,7.7,4.9
2001/3/2,5.0,7.9,2.6
2001/3/3,4.8,9.0,0.0
2001/3/4,5.6,9.6,0.7
2001/3/5,3.7,6.3,0.6
2001/3/6,8.6,13.9,4.0
2001/3/7,5.4,9.7,1.9
2001/3/8,2.1,5.4,-0.1
2001/3/9,0.6,2.8,-1.0
2001/3/10,2.7,7.0,-1.0
2001/3/11,2.8,6.4,0.2
2001/3/12,2.9,7.9,-2.6
2001/3/13,3.0,6.2,-0.1
2001/3/14,6.8,15.6,-1.0
2001/3/15,7.6,10.1,5.5
2001/3/16,6.5,11.1,3.8
2001/3/17,6.1,9.3,2.3
2001/3/18,8.9,13.1,5.9
2001/3/19,8.9,15.3,3.0
2001/3/20,10.9,19.6,4.4
2001/3/21,10.4,16.9,6.9
2001/3/22,11.5,21.0,3.8
2001/3/23,11.0,15.3,6.0
2001/3/24,10.6,18.7,2.9
2001/3/25,11.7,13.7,10.4
2001/3/26,10.0,12.5,5.3
2001/3/27,7.6,11.9,3.1
2001/3/28,7.2,9.6,4.6
2001/3/29,9.1,13.6,6.5
2001/3/30,5.2,8.7,2.8
2001/3/31,3.9,6.5,1.3
