É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2019/10/10 15:47:57

,âFìsã{,âFìsã{,âFìsã{
îNåéì˙,ïΩãœãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈í·ãCâ∑(Åé)
,,,
2013/12/1,6.6,14.8,-0.6
2013/12/2,7.2,13.9,1.8
2013/12/3,8.4,14.7,1.6
2013/12/4,8.4,13.2,5.0
2013/12/5,7.5,14.3,1.7
2013/12/6,7.6,14.0,2.7
2013/12/7,6.1,12.3,1.7
2013/12/8,4.6,11.6,-0.6
2013/12/9,5.0,10.4,-1.5
2013/12/10,6.9,12.8,3.4
2013/12/11,4.8,9.7,0.3
2013/12/12,4.3,11.7,-0.5
2013/12/13,4.6,12.3,-2.8
2013/12/14,5.1,10.4,0.3
2013/12/15,2.9,9.4,-1.6
2013/12/16,4.1,11.2,-2.0
2013/12/17,5.0,11.2,0.2
2013/12/18,4.2,7.0,1.7
2013/12/19,5.5,7.1,3.5
2013/12/20,4.7,7.1,0.9
2013/12/21,4.3,9.8,-0.2
2013/12/22,3.6,10.3,-0.7
2013/12/23,2.3,7.9,-3.2
2013/12/24,3.0,9.8,-2.0
2013/12/25,1.9,8.0,-3.4
2013/12/26,4.0,8.4,-1.0
2013/12/27,4.2,7.5,-0.6
2013/12/28,2.9,7.3,-1.3
2013/12/29,1.5,8.2,-3.8
2013/12/30,3.0,11.1,-2.3
2013/12/31,3.8,11.8,-2.7
2014/1/1,4.8,14.4,-2.1
2014/1/2,3.8,10.8,-1.2
2014/1/3,1.7,6.9,-3.6
2014/1/4,3.1,10.8,-2.2
2014/1/5,0.9,7.1,-4.9
2014/1/6,0.8,7.6,-4.3
2014/1/7,0.8,6.9,-5.6
2014/1/8,3.7,10.1,-3.0
2014/1/9,4.4,7.8,0.1
2014/1/10,0.0,4.9,-4.6
2014/1/11,0.4,6.6,-4.8
2014/1/12,1.5,8.8,-3.7
2014/1/13,1.2,6.6,-3.4
2014/1/14,-0.1,6.0,-6.0
2014/1/15,-0.1,4.7,-3.2
2014/1/16,0.6,7.2,-5.5
2014/1/17,1.4,8.1,-3.0
2014/1/18,1.2,7.5,-4.2
2014/1/19,1.5,5.3,-2.4
2014/1/20,0.8,6.9,-4.2
2014/1/21,3.5,11.0,-3.1
2014/1/22,1.7,6.8,-2.1
2014/1/23,1.8,9.2,-4.5
2014/1/24,4.0,10.5,-0.9
2014/1/25,3.9,9.7,-1.8
2014/1/26,5.0,14.3,-0.9
2014/1/27,0.5,6.2,-4.6
2014/1/28,3.1,11.2,-3.9
2014/1/29,4.6,11.1,-2.8
2014/1/30,4.3,8.7,1.2
2014/1/31,6.1,11.4,0.5
2014/2/1,3.9,10.7,-2.9
2014/2/2,5.6,11.9,1.4
2014/2/3,7.9,14.3,0.3
2014/2/4,1.9,8.7,-2.9
2014/2/5,-2.5,2.1,-6.8
2014/2/6,-1.5,4.2,-7.6
2014/2/7,0.5,5.6,-4.9
2014/2/8,-1.3,1.0,-3.1
2014/2/9,3.9,8.5,-0.8
2014/2/10,2.3,7.5,-3.4
2014/2/11,2.2,7.8,-1.8
2014/2/12,3.3,8.0,-1.4
2014/2/13,2.6,8.3,-3.2
2014/2/14,0.0,1.8,-1.0
2014/2/15,1.8,6.0,-0.9
2014/2/16,4.3,10.1,-1.1
2014/2/17,2.3,9.8,-3.5
2014/2/18,1.1,6.9,-4.3
2014/2/19,1.0,6.9,-4.8
2014/2/20,1.6,7.0,-3.8
2014/2/21,1.6,9.7,-3.9
2014/2/22,1.6,8.2,-5.0
2014/2/23,2.6,9.0,-3.9
2014/2/24,4.1,9.3,0.3
2014/2/25,4.4,12.9,-2.2
2014/2/26,5.9,13.1,-1.1
2014/2/27,6.8,9.8,3.0
2014/2/28,11.3,18.4,6.4
2014/3/1,6.7,7.8,5.1
2014/3/2,3.8,5.8,1.9
2014/3/3,4.3,9.8,-1.2
2014/3/4,3.5,9.8,-3.6
2014/3/5,4.7,6.6,3.1
2014/3/6,3.4,7.8,-0.3
2014/3/7,2.2,8.0,-2.0
2014/3/8,2.4,9.1,-4.2
2014/3/9,3.3,9.6,-2.7
2014/3/10,2.7,6.9,-1.4
2014/3/11,3.0,9.7,-4.3
2014/3/12,7.2,16.7,-0.9
2014/3/13,8.3,11.3,4.3
2014/3/14,7.0,10.8,4.1
2014/3/15,5.6,11.1,-0.4
2014/3/16,7.7,15.7,1.2
2014/3/17,8.2,16.0,0.1
2014/3/18,12.5,20.2,4.2
2014/3/19,9.4,14.4,4.9
2014/3/20,6.4,7.4,5.6
2014/3/21,7.4,14.4,3.2
2014/3/22,6.8,13.6,1.1
2014/3/23,7.6,14.9,0.2
2014/3/24,10.8,18.5,2.2
2014/3/25,13.7,22.7,5.2
2014/3/26,13.7,19.4,8.4
2014/3/27,11.0,15.4,6.3
2014/3/28,12.7,21.2,3.7
2014/3/29,15.1,22.9,6.4
2014/3/30,11.4,14.8,9.2
2014/3/31,13.4,18.2,9.7
