ダウンロードした時刻：2019/10/10 15:49:48

,松本,松本,松本
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1999/12/1,3.2,8.5,-2.4
1999/12/2,7.3,11.7,2.9
1999/12/3,2.2,7.7,-2.0
1999/12/4,4.5,14.0,-4.5
1999/12/5,7.3,10.8,4.3
1999/12/6,8.3,12.1,3.6
1999/12/7,1.9,6.1,-2.9
1999/12/8,0.5,8.6,-5.6
1999/12/9,5.9,11.7,-1.8
1999/12/10,4.5,11.0,-2.1
1999/12/11,5.8,10.0,-1.2
1999/12/12,0.9,7.0,-3.6
1999/12/13,3.2,10.3,-2.5
1999/12/14,1.8,5.9,-0.6
1999/12/15,0.9,7.5,-2.8
1999/12/16,2.6,10.4,-5.1
1999/12/17,6.4,10.4,3.3
1999/12/18,1.1,3.8,-1.2
1999/12/19,0.3,5.8,-2.1
1999/12/20,0.2,4.8,-1.9
1999/12/21,-0.1,4.3,-3.4
1999/12/22,-2.1,5.0,-7.1
1999/12/23,-0.4,6.3,-5.3
1999/12/24,1.1,8.9,-7.6
1999/12/25,4.3,8.4,-1.2
1999/12/26,-0.2,5.5,-4.1
1999/12/27,-1.3,6.2,-7.0
1999/12/28,0.0,9.6,-7.1
1999/12/29,2.7,11.0,-2.9
1999/12/30,1.2,9.7,-4.0
1999/12/31,1.3,9.8,-4.6
2000/1/1,1.0,6.5,-2.7
2000/1/2,3.3,9.3,-2.5
2000/1/3,6.4,10.9,-1.1
2000/1/4,1.2,9.4,-4.0
2000/1/5,1.9,8.4,-1.8
2000/1/6,5.8,12.2,-1.4
2000/1/7,7.7,12.4,1.2
2000/1/8,2.9,7.6,-1.0
2000/1/9,2.0,6.3,-3.2
2000/1/10,5.1,13.2,0.3
2000/1/11,0.4,4.9,-2.7
2000/1/12,0.3,3.9,-3.0
2000/1/13,4.2,8.2,1.1
2000/1/14,6.8,12.3,2.4
2000/1/15,2.8,9.0,-0.9
2000/1/16,1.4,6.2,-2.7
2000/1/17,1.8,3.9,0.2
2000/1/18,2.0,6.8,-0.8
2000/1/19,3.6,10.5,-2.3
2000/1/20,1.3,5.4,-3.0
2000/1/21,-3.6,-0.8,-7.6
2000/1/22,-3.7,3.5,-9.7
2000/1/23,3.0,7.6,-5.2
2000/1/24,3.2,9.5,-1.0
2000/1/25,-2.1,1.6,-6.2
2000/1/26,-3.6,2.6,-6.8
2000/1/27,-4.5,2.5,-9.9
2000/1/28,-3.5,4.4,-10.0
2000/1/29,-1.4,6.9,-8.7
2000/1/30,4.4,9.6,-1.1
2000/1/31,-0.9,3.2,-6.0
2000/2/1,-3.1,4.1,-9.0
2000/2/2,-1.0,7.1,-7.6
2000/2/3,-0.1,7.9,-6.4
2000/2/4,-0.4,6.0,-4.3
2000/2/5,-1.4,7.1,-7.9
2000/2/6,2.3,8.7,-4.3
2000/2/7,3.1,10.2,-1.2
2000/2/8,-0.2,6.7,-3.6
2000/2/9,-3.1,2.2,-7.6
2000/2/10,-4.0,4.4,-11.1
2000/2/11,-2.7,5.4,-9.8
2000/2/12,0.8,8.2,-4.1
2000/2/13,0.2,5.7,-3.2
2000/2/14,2.7,10.0,-3.0
2000/2/15,-0.5,2.9,-4.5
2000/2/16,-4.4,-1.8,-7.7
2000/2/17,-3.8,3.7,-10.6
2000/2/18,-2.6,2.0,-6.8
2000/2/19,-1.6,5.4,-8.4
2000/2/20,0.2,3.2,-1.8
2000/2/21,-1.7,2.8,-4.7
2000/2/22,-2.1,4.3,-7.5
2000/2/23,-1.8,3.5,-8.3
2000/2/24,-2.2,0.5,-7.7
2000/2/25,-4.8,1.8,-9.9
2000/2/26,-3.1,2.9,-7.9
2000/2/27,-0.1,5.6,-4.6
2000/2/28,-0.7,5.1,-4.7
2000/2/29,-3.2,3.6,-8.1
2000/3/1,-2.1,6.6,-9.2
2000/3/2,0.5,11.2,-7.7
2000/3/3,4.2,14.2,-5.2
2000/3/4,6.8,10.7,4.6
2000/3/5,4.6,10.6,-0.9
2000/3/6,3.9,12.8,-2.0
2000/3/7,4.6,9.5,0.0
2000/3/8,0.5,5.7,-2.9
2000/3/9,-0.5,4.9,-4.1
2000/3/10,-0.9,6.8,-6.8
2000/3/11,1.3,8.8,-5.5
2000/3/12,2.3,8.3,-1.9
2000/3/13,1.8,10.4,-4.9
2000/3/14,-0.2,6.7,-6.3
2000/3/15,1.5,8.9,-5.7
2000/3/16,1.6,3.5,-0.2
2000/3/17,1.3,5.8,-3.0
2000/3/18,2.8,13.1,-6.5
2000/3/19,8.3,14.7,4.1
2000/3/20,3.8,8.5,-0.5
2000/3/21,3.1,10.3,-2.6
2000/3/22,3.0,8.9,-1.7
2000/3/23,5.7,15.0,-3.5
2000/3/24,4.6,10.5,0.4
2000/3/25,2.1,6.3,-0.6
2000/3/26,0.0,6.4,-3.3
2000/3/27,3.5,13.4,-5.7
2000/3/28,7.5,12.4,3.1
2000/3/29,8.6,13.7,4.1
2000/3/30,6.6,14.3,0.4
2000/3/31,8.1,17.7,-1.2
