ダウンロードした時刻：2019/10/10 15:44:07

,新潟,新潟,新潟
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2015/12/1,8.8,11.6,6.1
2015/12/2,9.0,13.9,2.6
2015/12/3,10.1,14.0,5.0
2015/12/4,7.0,8.9,4.5
2015/12/5,8.8,11.0,7.3
2015/12/6,6.9,9.1,3.5
2015/12/7,5.7,9.0,2.7
2015/12/8,6.4,11.1,3.2
2015/12/9,6.8,12.2,3.2
2015/12/10,7.6,10.8,2.7
2015/12/11,11.1,13.3,8.1
2015/12/12,10.1,13.4,5.2
2015/12/13,7.1,10.2,3.3
2015/12/14,8.7,12.3,4.4
2015/12/15,11.5,16.6,6.2
2015/12/16,10.3,13.3,6.9
2015/12/17,4.1,7.3,2.2
2015/12/18,4.1,5.8,3.2
2015/12/19,6.0,7.7,3.5
2015/12/20,5.9,9.6,3.8
2015/12/21,7.0,10.3,3.4
2015/12/22,8.6,11.0,5.7
2015/12/23,6.6,10.4,1.7
2015/12/24,8.6,12.1,6.5
2015/12/25,7.4,10.6,4.4
2015/12/26,5.3,9.6,1.9
2015/12/27,2.5,6.6,1.1
2015/12/28,3.4,5.5,1.1
2015/12/29,4.4,6.2,3.2
2015/12/30,3.9,5.6,1.4
2015/12/31,3.1,4.5,0.8
2016/1/1,4.5,9.0,1.3
2016/1/2,7.2,12.0,1.6
2016/1/3,10.1,12.1,8.0
2016/1/4,8.5,13.7,6.2
2016/1/5,4.8,6.3,3.1
2016/1/6,5.6,8.5,2.6
2016/1/7,4.2,7.0,1.8
2016/1/8,2.7,4.8,1.4
2016/1/9,3.0,5.0,1.1
2016/1/10,5.0,7.4,1.2
2016/1/11,1.6,4.4,-0.1
2016/1/12,0.9,2.2,0.0
2016/1/13,1.8,4.5,-0.5
2016/1/14,1.8,4.8,-1.1
2016/1/15,-0.6,1.3,-2.4
2016/1/16,1.4,4.7,-2.2
2016/1/17,1.4,3.4,-0.8
2016/1/18,2.9,6.9,1.3
2016/1/19,2.9,7.1,-0.5
2016/1/20,1.7,5.4,-1.2
2016/1/21,3.2,4.2,1.5
2016/1/22,2.8,4.8,1.4
2016/1/23,0.9,2.1,-1.1
2016/1/24,-0.7,1.2,-2.7
2016/1/25,1.0,2.9,-2.6
2016/1/26,1.7,6.1,-0.4
2016/1/27,5.2,7.5,2.6
2016/1/28,4.5,6.8,2.1
2016/1/29,1.3,2.8,0.4
2016/1/30,1.3,2.3,-0.1
2016/1/31,2.2,4.9,0.6
2016/2/1,1.2,2.2,-0.5
2016/2/2,2.0,4.9,-0.7
2016/2/3,1.8,3.3,0.8
2016/2/4,3.2,7.4,-0.2
2016/2/5,3.2,6.0,1.5
2016/2/6,1.0,2.8,0.2
2016/2/7,0.4,3.0,-1.8
2016/2/8,0.9,5.9,-3.5
2016/2/9,1.8,4.6,-0.1
2016/2/10,2.7,4.6,0.7
2016/2/11,3.4,6.8,-0.1
2016/2/12,5.7,12.8,-1.1
2016/2/13,8.5,12.4,5.3
2016/2/14,9.5,14.5,6.9
2016/2/15,1.8,7.2,-0.4
2016/2/16,1.0,3.4,-1.1
2016/2/17,2.4,4.2,0.4
2016/2/18,3.6,9.3,-0.1
2016/2/19,6.2,11.6,-0.1
2016/2/20,7.4,11.2,5.0
2016/2/21,5.7,9.8,2.8
2016/2/22,3.3,5.7,1.8
2016/2/23,5.4,9.8,1.8
2016/2/24,1.5,5.0,-1.0
2016/2/25,1.1,4.3,-1.0
2016/2/26,2.5,5.3,0.5
2016/2/27,4.9,8.8,0.5
2016/2/28,6.3,9.7,2.3
2016/2/29,5.3,10.0,1.3
2016/3/1,1.2,2.7,-1.3
2016/3/2,2.8,6.1,0.1
2016/3/3,5.5,9.4,1.9
2016/3/4,5.1,9.2,0.4
2016/3/5,7.6,13.6,0.4
2016/3/6,14.0,21.1,9.1
2016/3/7,9.5,12.8,7.1
2016/3/8,8.8,13.0,5.9
2016/3/9,4.3,6.4,2.7
2016/3/10,3.9,6.4,1.9
2016/3/11,2.5,5.5,0.7
2016/3/12,2.8,6.4,0.1
2016/3/13,5.5,9.5,0.9
2016/3/14,5.4,7.4,3.7
2016/3/15,5.6,8.5,2.4
2016/3/16,7.0,13.5,0.5
2016/3/17,10.1,16.5,2.9
2016/3/18,12.8,21.7,5.8
2016/3/19,10.5,13.7,7.8
2016/3/20,7.6,10.0,6.1
2016/3/21,6.4,9.6,3.2
2016/3/22,7.9,12.8,2.3
2016/3/23,7.8,11.5,4.4
2016/3/24,4.5,9.1,0.9
2016/3/25,4.1,7.8,1.6
2016/3/26,4.6,8.2,1.5
2016/3/27,6.3,11.7,0.7
2016/3/28,8.4,12.6,3.5
2016/3/29,9.6,14.2,2.9
2016/3/30,11.3,18.2,7.1
2016/3/31,10.8,16.0,5.9
