ダウンロードした時刻：2019/10/10 15:53:53

,名古屋,名古屋,名古屋
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1986/12/1,7.1,13.1,1.4
1986/12/2,9.0,14.2,3.3
1986/12/3,10.5,15.2,6.5
1986/12/4,9.3,14.1,6.7
1986/12/5,7.7,12.6,4.3
1986/12/6,8.1,14.2,2.0
1986/12/7,8.3,13.9,4.4
1986/12/8,8.0,13.5,3.4
1986/12/9,7.6,14.1,2.0
1986/12/10,6.7,10.5,2.5
1986/12/11,9.0,14.8,4.7
1986/12/12,9.4,16.6,2.1
1986/12/13,10.3,15.7,4.6
1986/12/14,10.5,11.3,9.2
1986/12/15,11.3,15.4,7.3
1986/12/16,7.1,12.1,3.8
1986/12/17,6.6,12.8,1.6
1986/12/18,9.3,14.6,4.1
1986/12/19,11.1,15.8,6.9
1986/12/20,5.6,8.7,2.5
1986/12/21,5.5,9.9,0.2
1986/12/22,5.6,9.7,1.0
1986/12/23,4.5,9.0,-1.0
1986/12/24,7.6,13.1,1.5
1986/12/25,6.6,8.1,4.0
1986/12/26,7.7,11.7,4.7
1986/12/27,5.0,9.8,1.5
1986/12/28,4.9,10.4,2.2
1986/12/29,3.5,7.3,1.3
1986/12/30,5.9,10.3,1.6
1986/12/31,5.9,8.4,4.5
1987/1/1,5.7,9.7,2.3
1987/1/2,3.2,4.7,1.5
1987/1/3,10.0,16.3,4.1
1987/1/4,7.1,11.9,3.1
1987/1/5,3.0,5.1,1.3
1987/1/6,5.7,10.7,1.7
1987/1/7,6.5,10.4,2.0
1987/1/8,6.9,11.4,3.6
1987/1/9,7.1,12.8,1.8
1987/1/10,3.9,8.0,0.7
1987/1/11,1.5,5.8,-1.4
1987/1/12,-0.2,1.1,-2.0
1987/1/13,1.9,4.1,0.4
1987/1/14,1.2,5.6,-2.8
1987/1/15,5.0,11.2,1.7
1987/1/16,5.8,11.6,-0.5
1987/1/17,8.5,15.1,4.3
1987/1/18,4.2,7.2,1.3
1987/1/19,2.8,5.9,0.4
1987/1/20,1.7,6.4,-1.0
1987/1/21,2.3,8.1,-3.5
1987/1/22,4.5,10.6,-1.0
1987/1/23,5.5,7.9,2.5
1987/1/24,7.0,11.9,2.7
1987/1/25,2.0,6.8,-1.2
1987/1/26,1.8,6.7,-3.3
1987/1/27,3.9,7.8,1.2
1987/1/28,5.8,10.4,1.4
1987/1/29,6.2,12.1,0.9
1987/1/30,6.3,12.7,1.4
1987/1/31,3.4,8.2,1.0
1987/2/1,2.2,7.5,-1.2
1987/2/2,0.3,4.2,-2.6
1987/2/3,2.4,5.4,0.0
1987/2/4,3.0,5.7,0.9
1987/2/5,6.0,11.0,2.3
1987/2/6,7.6,12.1,2.9
1987/2/7,7.8,13.0,1.5
1987/2/8,7.9,14.1,3.7
1987/2/9,7.1,14.0,0.5
1987/2/10,9.9,18.6,2.4
1987/2/11,11.3,17.1,6.0
1987/2/12,10.0,14.6,5.5
1987/2/13,7.4,12.9,3.4
1987/2/14,7.0,13.4,1.5
1987/2/15,5.9,9.6,3.6
1987/2/16,5.6,11.1,2.4
1987/2/17,3.4,7.8,0.4
1987/2/18,6.2,11.1,2.7
1987/2/19,4.3,7.5,2.4
1987/2/20,4.2,10.1,-0.2
1987/2/21,4.8,9.3,-0.9
1987/2/22,3.8,8.5,0.3
1987/2/23,6.2,13.4,0.1
1987/2/24,8.6,15.1,1.5
1987/2/25,3.4,9.8,-0.7
1987/2/26,1.3,6.1,-1.6
1987/2/27,1.4,4.8,-1.2
1987/2/28,2.4,6.7,-1.9
1987/3/1,2.8,7.2,0.6
1987/3/2,2.0,6.8,-1.6
1987/3/3,4.0,10.1,-2.4
1987/3/4,7.5,13.0,0.8
1987/3/5,10.8,17.1,3.9
1987/3/6,10.1,14.3,5.9
1987/3/7,2.4,5.9,0.5
1987/3/8,4.9,9.9,1.1
1987/3/9,4.9,8.1,0.6
1987/3/10,6.1,10.5,0.9
1987/3/11,7.0,11.3,4.3
1987/3/12,8.8,14.4,2.5
1987/3/13,8.8,10.7,6.8
1987/3/14,9.7,11.6,8.0
1987/3/15,8.1,13.2,4.1
1987/3/16,7.6,12.4,3.7
1987/3/17,5.2,7.7,3.9
1987/3/18,9.6,16.1,4.0
1987/3/19,10.3,16.5,3.7
1987/3/20,11.9,16.1,7.3
1987/3/21,11.8,17.2,5.3
1987/3/22,13.9,19.9,9.0
1987/3/23,13.9,15.6,12.6
1987/3/24,15.1,20.2,10.8
1987/3/25,6.5,11.9,2.4
1987/3/26,5.2,10.0,1.4
1987/3/27,7.8,14.1,1.2
1987/3/28,10.1,15.4,4.4
1987/3/29,10.2,12.4,7.3
1987/3/30,11.2,16.5,4.4
1987/3/31,8.7,13.3,3.0
