ダウンロードした時刻：2017/07/24 15:47:38

,鹿児島,鹿児島,鹿児島
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2004/1/1,10.2,15.5,5.2
2004/1/2,10.4,15.4,5.8
2004/1/3,9.7,14.4,5.3
2004/1/4,9.1,15.6,3.3
2004/1/5,8.5,12.6,3.9
2004/1/6,9.7,13.9,4.8
2004/1/7,10.3,16.3,4.4
2004/1/8,9.5,13.3,5.1
2004/1/9,11.3,13.7,7.8
2004/1/10,12.3,16.1,9.8
2004/1/11,10.2,14.3,6.7
2004/1/12,8.8,13.5,3.6
2004/1/13,6.7,11.3,4.2
2004/1/14,6.0,11.1,2.1
2004/1/15,8.4,14.0,2.8
2004/1/16,8.0,10.1,6.4
2004/1/17,9.8,13.7,6.7
2004/1/18,9.6,13.9,5.4
2004/1/19,8.0,10.9,6.4
2004/1/20,8.0,12.6,5.6
2004/1/21,5.6,9.9,2.1
2004/1/22,0.5,3.2,-1.5
2004/1/23,4.0,9.0,-0.4
2004/1/24,4.5,9.3,1.8
2004/1/25,2.6,6.5,0.7
2004/1/26,5.2,10.4,2.0
2004/1/27,5.7,9.8,3.1
2004/1/28,6.0,12.7,0.9
2004/1/29,9.0,15.6,3.6
2004/1/30,9.5,15.8,5.2
2004/1/31,9.2,15.7,2.1
2004/2/1,11.4,15.2,6.2
2004/2/2,11.8,15.0,8.7
2004/2/3,7.6,10.4,5.7
2004/2/4,6.0,11.4,3.6
2004/2/5,4.8,9.3,1.9
2004/2/6,4.2,8.1,2.0
2004/2/7,4.5,10.0,2.6
2004/2/8,6.4,10.7,2.9
2004/2/9,7.3,10.7,3.1
2004/2/10,6.7,13.4,1.0
2004/2/11,8.2,16.3,1.0
2004/2/12,9.5,17.3,3.9
2004/2/13,8.8,16.1,2.5
2004/2/14,11.0,20.0,4.1
2004/2/15,9.9,15.3,5.7
2004/2/16,9.3,15.3,2.9
2004/2/17,11.3,18.3,4.4
2004/2/18,11.4,18.6,4.6
2004/2/19,12.2,16.0,8.1
2004/2/20,15.2,21.1,10.3
2004/2/21,16.8,22.2,11.4
2004/2/22,15.9,22.4,10.9
2004/2/23,10.6,14.0,6.4
2004/2/24,11.0,16.2,4.4
2004/2/25,13.3,17.0,10.8
2004/2/26,11.5,16.5,7.0
2004/2/27,9.8,15.3,5.4
2004/2/28,11.4,18.9,4.7
2004/2/29,18.0,22.1,14.9
2004/3/1,13.2,18.1,10.0
2004/3/2,10.9,16.2,7.5
2004/3/3,8.7,12.9,4.8
2004/3/4,6.7,10.8,3.0
2004/3/5,8.6,14.4,0.5
2004/3/6,6.8,11.6,1.9
2004/3/7,4.7,9.0,1.9
2004/3/8,7.0,13.8,0.5
2004/3/9,10.0,16.7,3.1
2004/3/10,13.8,20.2,6.6
2004/3/11,16.5,21.1,13.5
2004/3/12,12.9,15.5,10.5
2004/3/13,13.7,20.1,8.9
2004/3/14,12.5,17.3,7.6
2004/3/15,15.1,20.3,10.1
2004/3/16,15.7,21.9,8.4
2004/3/17,18.1,20.5,14.8
2004/3/18,16.6,21.5,10.8
2004/3/19,13.1,18.1,8.2
2004/3/20,14.0,17.0,10.2
2004/3/21,12.7,14.6,10.5
2004/3/22,13.8,17.0,10.6
2004/3/23,14.5,19.4,10.0
2004/3/24,17.3,23.6,13.3
2004/3/25,14.1,17.2,11.9
2004/3/26,14.7,19.4,10.2
2004/3/27,15.1,18.6,10.6
2004/3/28,16.8,21.3,14.0
2004/3/29,18.5,22.7,15.7
2004/3/30,18.1,22.3,15.5
2004/3/31,15.7,22.1,10.8
2004/4/1,14.8,20.1,8.5
2004/4/2,15.4,19.5,11.2
2004/4/3,15.0,21.8,8.9
2004/4/4,13.0,17.0,9.8
2004/4/5,12.2,18.1,6.2
2004/4/6,14.8,20.2,7.9
2004/4/7,18.5,25.2,13.4
2004/4/8,16.3,19.9,12.8
2004/4/9,15.7,22.1,9.6
2004/4/10,16.8,22.5,10.0
2004/4/11,17.5,20.4,14.9
2004/4/12,20.2,24.4,16.2
2004/4/13,17.7,19.8,17.0
2004/4/14,19.2,23.0,17.2
2004/4/15,20.3,24.3,16.3
2004/4/16,20.1,25.8,15.9
2004/4/17,19.5,25.5,13.1
2004/4/18,20.5,22.0,18.6
2004/4/19,20.9,24.5,18.0
2004/4/20,19.1,24.9,15.7
2004/4/21,19.5,26.8,14.3
2004/4/22,21.1,28.9,14.1
2004/4/23,22.8,30.2,16.5
2004/4/24,17.0,23.6,12.9
2004/4/25,16.7,22.0,10.9
2004/4/26,18.1,21.8,13.6
2004/4/27,17.0,22.8,13.2
2004/4/28,15.8,22.0,10.2
2004/4/29,17.0,23.8,9.1
2004/4/30,19.2,24.7,13.1
2004/5/1,20.5,22.7,18.3
