É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2019/10/10 15:32:48

,éDñy,éDñy,éDñy
îNåéì˙,ïΩãœãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈í·ãCâ∑(Åé)
,,,
2016/12/1,5.8,10.5,-0.1
2016/12/2,1.1,4.0,-1.2
2016/12/3,3.6,7.9,-0.2
2016/12/4,7.1,11.9,1.1
2016/12/5,6.3,8.8,3.1
2016/12/6,-2.1,3.2,-6.3
2016/12/7,-5.0,-2.5,-6.9
2016/12/8,-2.5,-1.0,-6.0
2016/12/9,-0.3,2.0,-2.5
2016/12/10,-2.6,-0.1,-5.2
2016/12/11,-4.6,-2.7,-5.9
2016/12/12,-4.1,-0.3,-6.9
2016/12/13,0.2,6.9,-5.6
2016/12/14,-2.0,0.8,-4.5
2016/12/15,-4.5,-1.6,-6.2
2016/12/16,-5.3,-2.6,-9.2
2016/12/17,-3.6,-2.0,-7.8
2016/12/18,1.0,7.2,-6.2
2016/12/19,1.0,4.8,-2.5
2016/12/20,-0.1,3.3,-4.7
2016/12/21,2.7,4.8,0.8
2016/12/22,0.3,2.7,-0.8
2016/12/23,-1.4,0.3,-4.0
2016/12/24,-4.4,-1.9,-7.1
2016/12/25,-2.3,1.6,-5.5
2016/12/26,1.3,5.6,-2.9
2016/12/27,-2.5,0.2,-7.1
2016/12/28,-6.4,-3.4,-8.2
2016/12/29,-3.6,-0.6,-5.6
2016/12/30,-2.8,-0.9,-5.5
2016/12/31,-2.6,-0.4,-4.9
2017/1/1,-2.0,1.6,-5.7
2017/1/2,0.1,3.3,-2.9
2017/1/3,-1.2,0.8,-3.7
2017/1/4,-2.5,-0.6,-4.7
2017/1/5,-4.1,-2.8,-6.0
2017/1/6,-4.3,-1.2,-7.2
2017/1/7,-1.2,3.5,-6.2
2017/1/8,-2.7,-0.3,-6.1
2017/1/9,-1.2,1.0,-4.2
2017/1/10,-4.2,-0.4,-8.0
2017/1/11,-8.5,-6.7,-9.8
2017/1/12,-8.6,-7.4,-10.4
2017/1/13,-8.1,-4.8,-11.7
2017/1/14,-7.7,-5.0,-11.5
2017/1/15,-5.5,-1.5,-9.4
2017/1/16,-0.1,1.9,-3.1
2017/1/17,-3.0,-0.3,-7.0
2017/1/18,-2.4,-0.1,-4.5
2017/1/19,-2.6,0.5,-5.3
2017/1/20,-4.0,-1.1,-7.0
2017/1/21,-4.9,-1.8,-9.2
2017/1/22,-5.6,-2.8,-8.4
2017/1/23,-5.0,-2.7,-9.1
2017/1/24,-9.1,-5.0,-12.8
2017/1/25,-5.5,-2.2,-8.9
2017/1/26,-2.4,1.0,-5.3
2017/1/27,0.7,4.7,-5.3
2017/1/28,-4.3,-2.2,-5.7
2017/1/29,-2.7,-0.4,-6.8
2017/1/30,-3.2,-1.2,-4.5
2017/1/31,-5.0,-1.9,-7.7
2017/2/1,-4.1,0.9,-7.9
2017/2/2,-7.7,-5.7,-8.9
2017/2/3,-4.6,-1.8,-8.0
2017/2/4,-0.1,2.2,-2.5
2017/2/5,-0.4,2.3,-5.3
2017/2/6,-0.8,2.3,-3.5
2017/2/7,-3.1,-1.9,-4.5
2017/2/8,-1.2,0.3,-3.9
2017/2/9,-0.9,2.8,-6.1
2017/2/10,-1.5,1.3,-3.6
2017/2/11,-1.7,1.2,-6.0
2017/2/12,1.0,2.0,-0.2
2017/2/13,1.0,2.6,0.1
2017/2/14,-0.2,1.2,-0.8
2017/2/15,-0.6,3.2,-3.7
2017/2/16,2.5,8.1,-3.6
2017/2/17,0.8,8.3,-5.2
2017/2/18,-6.0,-3.7,-8.4
2017/2/19,-4.9,-1.7,-7.1
2017/2/20,-4.2,-0.8,-7.6
2017/2/21,-4.6,-2.6,-7.1
2017/2/22,-1.8,0.8,-7.0
2017/2/23,1.0,3.3,-1.8
2017/2/24,-1.7,0.3,-3.5
2017/2/25,-1.8,1.6,-4.9
2017/2/26,-5.1,-2.8,-7.6
2017/2/27,-5.2,-0.3,-10.8
2017/2/28,-1.0,4.1,-8.4
2017/3/1,3.1,6.7,-1.1
2017/3/2,4.5,7.5,2.0
2017/3/3,0.1,3.5,-3.1
2017/3/4,-2.6,-0.2,-4.6
2017/3/5,-1.6,1.2,-4.5
2017/3/6,-1.5,1.1,-5.0
2017/3/7,-1.0,1.8,-2.7
2017/3/8,-1.4,1.4,-5.7
2017/3/9,-0.1,3.4,-3.2
2017/3/10,-0.3,1.2,-1.8
2017/3/11,0.5,4.0,-1.8
2017/3/12,0.1,4.0,-4.1
2017/3/13,0.8,5.5,-4.0
2017/3/14,1.2,5.1,-2.0
2017/3/15,0.6,3.8,-3.5
2017/3/16,2.1,3.7,0.9
2017/3/17,2.6,4.5,0.9
2017/3/18,2.8,5.3,0.3
2017/3/19,3.5,5.9,2.0
2017/3/20,4.5,7.4,1.8
2017/3/21,3.8,6.2,1.0
2017/3/22,2.7,5.6,0.3
2017/3/23,0.1,2.6,-1.2
2017/3/24,0.3,2.9,-1.9
2017/3/25,2.1,4.9,0.0
2017/3/26,2.9,7.0,-2.5
2017/3/27,3.4,8.7,-1.9
2017/3/28,2.6,6.5,0.1
2017/3/29,4.8,9.6,-0.4
2017/3/30,2.1,4.3,0.3
2017/3/31,2.2,4.3,-0.5
