ダウンロードした時刻：2019/10/10 15:35:11

,新庄,新庄,新庄
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1986/12/1,4.4,6.1,2.7
1986/12/2,3.1,6.3,-0.6
1986/12/3,3.1,7.7,-2.1
1986/12/4,3.9,6.4,0.9
1986/12/5,4.0,5.7,2.3
1986/12/6,5.2,8.0,1.9
1986/12/7,4.5,7.9,2.2
1986/12/8,4.6,7.3,2.1
1986/12/9,7.0,11.8,0.0
1986/12/10,3.0,8.1,-2.7
1986/12/11,5.3,7.4,1.4
1986/12/12,4.5,8.8,-0.2
1986/12/13,3.6,8.2,-0.8
1986/12/14,1.7,4.4,-2.0
1986/12/15,4.2,6.4,2.5
1986/12/16,2.3,3.4,0.7
1986/12/17,0.1,3.5,-3.6
1986/12/18,-0.7,3.6,-5.5
1986/12/19,5.1,10.9,0.9
1986/12/20,0.7,5.2,-1.2
1986/12/21,2.8,7.4,0.5
1986/12/22,-1.2,2.0,-2.9
1986/12/23,2.9,4.9,-1.7
1986/12/24,4.4,7.1,2.0
1986/12/25,3.1,6.8,0.3
1986/12/26,-1.1,3.8,-3.0
1986/12/27,-2.1,-0.9,-2.9
1986/12/28,-3.0,0.3,-7.3
1986/12/29,-0.9,1.4,-3.6
1986/12/30,-0.5,0.8,-2.2
1986/12/31,1.5,5.3,-1.1
1987/1/1,-1.9,3.4,-4.2
1987/1/2,-2.3,-0.5,-4.4
1987/1/3,0.4,5.1,-2.0
1987/1/4,-2.2,1.0,-4.2
1987/1/5,-3.8,-1.1,-6.7
1987/1/6,-2.9,0.6,-7.4
1987/1/7,-1.2,1.4,-5.3
1987/1/8,1.0,4.9,-1.3
1987/1/9,-2.1,3.6,-4.7
1987/1/10,-5.5,-4.3,-6.8
1987/1/11,-4.1,-1.8,-7.8
1987/1/12,-0.9,1.1,-3.5
1987/1/13,-0.3,1.6,-2.3
1987/1/14,-1.8,1.5,-4.2
1987/1/15,0.3,2.1,-1.3
1987/1/16,-1.6,1.5,-6.0
1987/1/17,2.7,7.6,-2.1
1987/1/18,-1.8,1.1,-5.4
1987/1/19,-4.2,-2.6,-6.7
1987/1/20,-5.4,-3.9,-5.9
1987/1/21,-3.7,-0.7,-5.6
1987/1/22,-1.7,3.5,-10.5
1987/1/23,-4.4,-0.3,-9.5
1987/1/24,1.7,4.6,-0.7
1987/1/25,-4.1,-0.5,-6.4
1987/1/26,-3.1,-0.2,-6.2
1987/1/27,-0.1,1.9,-2.5
1987/1/28,2.9,5.2,0.8
1987/1/29,5.3,8.8,1.5
1987/1/30,0.5,7.8,-2.6
1987/1/31,-3.4,-1.7,-4.9
1987/2/1,-4.2,-2.4,-5.9
1987/2/2,-3.4,0.8,-12.7
1987/2/3,-2.4,-0.1,-5.3
1987/2/4,-0.5,1.8,-5.3
1987/2/5,1.2,2.9,-0.9
1987/2/6,1.5,4.0,-2.4
1987/2/7,1.0,6.3,-4.0
1987/2/8,1.9,5.5,-4.9
1987/2/9,0.0,9.1,-9.8
1987/2/10,6.6,12.5,3.2
1987/2/11,5.5,9.2,1.8
1987/2/12,1.6,4.9,-1.4
1987/2/13,-1.8,0.5,-6.7
1987/2/14,-0.7,3.0,-4.8
1987/2/15,-4.0,-2.5,-5.4
1987/2/16,-3.8,-2.7,-4.7
1987/2/17,-2.4,1.4,-6.0
1987/2/18,-2.6,2.7,-6.5
1987/2/19,-3.1,-1.2,-4.3
1987/2/20,-3.2,-0.1,-5.0
1987/2/21,-2.5,1.1,-7.1
1987/2/22,-3.3,3.8,-11.5
1987/2/23,-1.5,2.7,-8.6
1987/2/24,3.1,9.1,-2.4
1987/2/25,-0.4,3.6,-3.7
1987/2/26,-2.3,-0.6,-3.4
1987/2/27,-1.7,-0.2,-3.3
1987/2/28,-1.9,0.7,-5.5
1987/3/1,-2.5,1.6,-6.3
1987/3/2,-2.0,1.6,-7.1
1987/3/3,1.0,3.8,-3.7
1987/3/4,1.8,4.0,0.7
1987/3/5,3.0,8.3,-0.4
1987/3/6,-2.7,0.3,-4.1
1987/3/7,-2.3,0.9,-5.3
1987/3/8,-1.7,3.2,-10.4
1987/3/9,1.2,6.6,-2.4
1987/3/10,-1.1,1.5,-3.2
1987/3/11,-1.2,1.1,-3.2
1987/3/12,1.7,7.1,-2.1
1987/3/13,2.2,6.5,-5.6
1987/3/14,4.2,8.2,2.0
1987/3/15,0.4,2.6,-0.8
1987/3/16,0.2,1.7,-1.2
1987/3/17,3.3,6.7,-2.1
1987/3/18,3.2,8.5,0.4
1987/3/19,4.6,8.6,0.5
1987/3/20,3.0,4.9,1.1
1987/3/21,4.3,8.5,1.5
1987/3/22,5.1,12.6,-2.1
1987/3/23,4.9,6.9,3.4
1987/3/24,6.4,12.0,3.3
1987/3/25,3.8,9.4,0.0
1987/3/26,-0.2,1.7,-1.3
1987/3/27,1.4,4.5,-5.2
1987/3/28,3.8,10.2,0.0
1987/3/29,4.9,15.1,-2.5
1987/3/30,7.2,14.8,-2.6
1987/3/31,1.2,9.7,-1.7
