É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2019/10/10 15:32:10

,éDñy,éDñy,éDñy
îNåéì˙,ïΩãœãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈í·ãCâ∑(Åé)
,,,
1986/12/1,-0.6,1.9,-2.6
1986/12/2,-0.1,1.9,-2.8
1986/12/3,0.5,3.2,-2.1
1986/12/4,1.0,4.1,-2.0
1986/12/5,1.4,4.1,-0.7
1986/12/6,0.2,3.4,-3.6
1986/12/7,-0.3,2.7,-4.2
1986/12/8,0.3,5.1,-2.3
1986/12/9,1.2,6.5,-3.7
1986/12/10,2.7,6.7,-3.7
1986/12/11,3.4,6.1,0.1
1986/12/12,1.3,4.2,-1.6
1986/12/13,0.0,3.0,-3.4
1986/12/14,0.3,3.4,-4.3
1986/12/15,-2.3,1.9,-5.4
1986/12/16,-4.3,-2.8,-6.2
1986/12/17,-2.9,-0.5,-5.6
1986/12/18,-3.0,-0.5,-9.3
1986/12/19,0.5,2.4,-3.1
1986/12/20,-2.8,0.4,-4.5
1986/12/21,-2.8,0.5,-5.7
1986/12/22,-7.2,-5.7,-8.5
1986/12/23,-0.8,3.6,-6.1
1986/12/24,-0.6,2.3,-3.3
1986/12/25,-1.6,2.0,-5.5
1986/12/26,-5.1,2.1,-7.5
1986/12/27,-5.5,-3.5,-7.8
1986/12/28,-4.2,-0.4,-8.5
1986/12/29,-5.4,-0.4,-8.9
1986/12/30,-5.0,-1.9,-6.9
1986/12/31,-4.1,-1.7,-7.9
1987/1/1,-5.3,-1.0,-8.2
1987/1/2,-7.0,-5.2,-8.1
1987/1/3,-5.2,-1.2,-8.7
1987/1/4,-5.9,-1.3,-7.5
1987/1/5,-6.9,-3.8,-9.9
1987/1/6,-6.1,-3.7,-9.2
1987/1/7,-5.0,-1.5,-9.3
1987/1/8,-2.2,3.4,-6.9
1987/1/9,-5.0,-1.2,-6.1
1987/1/10,-5.6,-3.2,-9.9
1987/1/11,-8.9,-6.3,-11.8
1987/1/12,-7.4,-3.0,-12.1
1987/1/13,-4.5,-2.2,-8.2
1987/1/14,-6.3,-3.6,-11.0
1987/1/15,-6.0,-3.4,-9.3
1987/1/16,-2.3,-0.1,-8.1
1987/1/17,2.7,6.7,-1.3
1987/1/18,-3.2,0.5,-6.5
1987/1/19,-7.2,-3.9,-11.0
1987/1/20,-8.6,-5.6,-11.8
1987/1/21,-9.7,-6.0,-13.7
1987/1/22,-5.0,-0.8,-11.3
1987/1/23,0.8,2.6,-5.7
1987/1/24,-2.5,1.1,-5.8
1987/1/25,-7.5,-5.0,-9.1
1987/1/26,-6.8,-3.2,-11.7
1987/1/27,-3.7,-1.5,-6.3
1987/1/28,-1.3,1.7,-4.9
1987/1/29,-0.3,3.7,-5.6
1987/1/30,-2.7,2.8,-7.8
1987/1/31,-6.0,-2.0,-9.6
1987/2/1,-6.6,-4.4,-9.8
1987/2/2,-6.9,-4.1,-9.8
1987/2/3,-6.9,-4.3,-11.7
1987/2/4,-5.0,-3.5,-7.8
1987/2/5,-5.1,-2.5,-8.7
1987/2/6,-2.5,-0.3,-4.9
1987/2/7,0.4,2.8,-3.2
1987/2/8,-1.6,1.3,-6.5
1987/2/9,-0.6,3.8,-7.2
1987/2/10,1.1,4.1,-2.3
1987/2/11,3.5,7.3,-0.5
1987/2/12,-4.2,3.2,-7.4
1987/2/13,-6.3,-4.1,-7.8
1987/2/14,-7.8,-4.2,-10.4
1987/2/15,-9.5,-7.5,-11.4
1987/2/16,-8.2,-6.5,-10.4
1987/2/17,-6.4,-3.5,-9.7
1987/2/18,-7.4,-3.2,-11.9
1987/2/19,-8.2,-4.9,-11.9
1987/2/20,-6.6,-1.7,-13.7
1987/2/21,-3.3,0.1,-7.2
1987/2/22,-1.3,2.4,-5.4
1987/2/23,0.9,2.8,-1.5
1987/2/24,1.3,3.4,-1.8
1987/2/25,-0.5,2.6,-2.1
1987/2/26,-2.8,-0.5,-4.4
1987/2/27,-3.0,-0.2,-4.4
1987/2/28,-2.7,0.9,-5.7
1987/3/1,-1.7,1.0,-5.0
1987/3/2,-2.3,-0.3,-4.2
1987/3/3,-0.6,2.2,-2.9
1987/3/4,-1.3,2.2,-3.9
1987/3/5,0.6,5.7,-3.2
1987/3/6,-4.8,-2.9,-7.2
1987/3/7,-1.3,1.1,-3.5
1987/3/8,-1.4,1.6,-3.6
1987/3/9,-1.6,0.4,-3.4
1987/3/10,-1.5,1.6,-3.9
1987/3/11,-2.5,1.7,-6.5
1987/3/12,-1.1,2.6,-5.0
1987/3/13,0.7,3.8,-4.7
1987/3/14,3.1,6.1,-0.1
1987/3/15,-4.6,-0.1,-5.6
1987/3/16,-2.5,0.1,-5.7
1987/3/17,1.1,3.9,-1.3
1987/3/18,0.6,4.0,-3.4
1987/3/19,2.5,5.9,-1.5
1987/3/20,2.6,6.2,-0.2
1987/3/21,1.8,5.0,-2.1
1987/3/22,2.2,4.5,0.0
1987/3/23,3.9,7.5,-0.9
1987/3/24,2.9,4.7,0.3
1987/3/25,0.6,3.5,-0.8
1987/3/26,-1.8,0.4,-3.4
1987/3/27,-1.1,1.8,-4.6
1987/3/28,2.9,7.2,-3.9
1987/3/29,5.9,10.5,1.6
1987/3/30,-0.3,4.1,-3.2
1987/3/31,-3.5,-1.3,-5.1
