ダウンロードした時刻：2019/10/10 16:06:28

,舞鶴,舞鶴,舞鶴
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2000/12/1,8.9,14.0,5.6
2000/12/2,7.9,13.5,3.6
2000/12/3,8.1,12.1,3.6
2000/12/4,7.3,11.0,2.0
2000/12/5,6.5,13.7,1.4
2000/12/6,6.4,10.3,2.9
2000/12/7,5.9,10.7,1.9
2000/12/8,5.4,13.5,0.0
2000/12/9,6.4,14.4,1.7
2000/12/10,9.7,12.3,6.9
2000/12/11,6.4,11.6,1.0
2000/12/12,2.4,4.4,0.4
2000/12/13,4.6,11.4,1.2
2000/12/14,4.9,10.1,1.8
2000/12/15,5.5,12.5,1.9
2000/12/16,8.8,16.1,3.5
2000/12/17,6.9,9.6,4.3
2000/12/18,7.5,11.0,4.3
2000/12/19,11.0,14.4,8.7
2000/12/20,7.9,12.1,4.5
2000/12/21,7.9,10.8,5.4
2000/12/22,5.9,10.9,1.8
2000/12/23,6.9,14.5,-0.1
2000/12/24,5.5,9.3,0.7
2000/12/25,1.9,9.0,-1.1
2000/12/26,1.1,2.5,0.4
2000/12/27,1.8,4.9,0.1
2000/12/28,3.1,6.6,0.8
2000/12/29,3.6,6.7,0.4
2000/12/30,2.5,6.5,-1.4
2000/12/31,5.7,9.1,1.8
2001/1/1,4.2,6.8,1.4
2001/1/2,5.2,10.5,0.9
2001/1/3,2.6,5.8,-0.4
2001/1/4,0.7,3.0,-0.6
2001/1/5,1.4,4.4,0.0
2001/1/6,2.5,4.1,0.6
2001/1/7,1.8,4.1,0.2
2001/1/8,6.5,9.3,2.6
2001/1/9,5.9,11.5,2.6
2001/1/10,7.8,11.1,2.3
2001/1/11,3.6,10.2,0.0
2001/1/12,2.8,6.8,0.5
2001/1/13,2.0,6.0,-0.4
2001/1/14,-1.2,0.9,-4.6
2001/1/15,-1.9,2.1,-5.8
2001/1/16,-1.0,4.1,-4.4
2001/1/17,-0.3,2.8,-2.7
2001/1/18,0.5,4.7,-2.9
2001/1/19,2.3,4.4,-1.1
2001/1/20,-0.3,1.6,-2.4
2001/1/21,2.2,5.8,0.8
2001/1/22,3.0,8.1,-0.2
2001/1/23,2.8,8.4,0.7
2001/1/24,3.0,5.7,-0.7
2001/1/25,3.0,6.8,-0.8
2001/1/26,6.9,8.2,3.8
2001/1/27,2.7,6.5,0.3
2001/1/28,4.1,8.8,1.1
2001/1/29,1.2,4.7,-1.5
2001/1/30,1.6,8.9,-3.0
2001/1/31,3.6,9.6,-1.2
2001/2/1,4.0,6.8,1.8
2001/2/2,1.2,3.8,-1.1
2001/2/3,0.7,2.8,-1.5
2001/2/4,2.7,6.0,0.2
2001/2/5,4.4,11.0,0.6
2001/2/6,4.5,7.6,0.4
2001/2/7,6.3,9.4,4.2
2001/2/8,3.3,6.7,0.5
2001/2/9,2.3,7.8,-0.9
2001/2/10,1.4,5.0,-1.3
2001/2/11,2.3,9.7,-1.9
2001/2/12,2.5,5.1,0.5
2001/2/13,2.0,5.7,-0.8
2001/2/14,1.5,5.6,-0.1
2001/2/15,0.8,4.0,-2.7
2001/2/16,2.0,5.1,0.5
2001/2/17,2.4,8.0,-0.6
2001/2/18,5.3,12.0,-0.4
2001/2/19,6.9,13.1,1.8
2001/2/20,5.1,8.9,-1.0
2001/2/21,6.8,14.6,-1.5
2001/2/22,8.5,15.1,4.0
2001/2/23,7.6,15.9,2.4
2001/2/24,6.8,8.4,4.6
2001/2/25,2.9,6.2,0.3
2001/2/26,2.3,6.6,-1.8
2001/2/27,5.4,15.7,-2.8
2001/2/28,9.9,12.5,6.0
2001/3/1,6.8,8.3,4.4
2001/3/2,5.2,8.3,0.2
2001/3/3,6.2,12.2,-1.1
2001/3/4,7.0,11.8,0.1
2001/3/5,4.3,8.7,-0.4
2001/3/6,9.2,16.2,2.4
2001/3/7,5.6,11.7,1.4
2001/3/8,2.2,8.6,-0.5
2001/3/9,0.4,2.3,-0.7
2001/3/10,1.8,7.2,-2.5
2001/3/11,1.6,4.8,-1.7
2001/3/12,2.1,10.1,-3.6
2001/3/13,3.1,8.1,-0.8
2001/3/14,9.2,18.4,-0.9
2001/3/15,9.3,15.6,4.6
2001/3/16,5.3,11.1,-0.1
2001/3/17,6.3,9.5,1.0
2001/3/18,9.9,15.8,4.7
2001/3/19,9.6,20.0,1.6
2001/3/20,12.0,20.0,4.5
2001/3/21,10.8,18.0,5.2
2001/3/22,13.4,23.2,3.4
2001/3/23,10.8,15.8,4.2
2001/3/24,11.8,22.8,0.7
2001/3/25,13.4,14.7,12.2
2001/3/26,10.6,14.2,4.3
2001/3/27,7.5,12.2,3.0
2001/3/28,8.8,18.2,2.6
2001/3/29,10.0,14.7,5.3
2001/3/30,4.6,7.7,1.7
2001/3/31,3.2,7.0,0.4
