ダウンロードした時刻：2019/10/10 16:06:12

,舞鶴,舞鶴,舞鶴
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1988/12/1,5.9,10.8,2.3
1988/12/2,6.1,11.9,1.2
1988/12/3,4.4,12.4,-0.1
1988/12/4,6.7,10.4,2.0
1988/12/5,6.0,11.1,2.2
1988/12/6,4.4,11.2,1.1
1988/12/7,5.2,13.5,-0.7
1988/12/8,8.3,16.9,1.5
1988/12/9,8.2,12.5,3.5
1988/12/10,4.2,8.3,0.6
1988/12/11,4.1,10.8,0.3
1988/12/12,4.2,12.8,-1.0
1988/12/13,4.8,13.4,-0.4
1988/12/14,5.9,12.8,0.6
1988/12/15,3.4,7.5,0.2
1988/12/16,0.1,4.9,-2.8
1988/12/17,0.8,1.4,0.0
1988/12/18,2.2,5.3,-0.1
1988/12/19,5.3,11.4,1.7
1988/12/20,7.3,11.8,4.0
1988/12/21,6.8,10.5,4.5
1988/12/22,5.4,7.6,3.9
1988/12/23,4.2,10.0,0.4
1988/12/24,5.5,8.9,0.3
1988/12/25,4.4,7.4,2.3
1988/12/26,3.6,6.5,1.9
1988/12/27,4.3,10.1,0.9
1988/12/28,3.9,5.3,2.1
1988/12/29,5.2,6.1,3.5
1988/12/30,3.6,9.0,-0.2
1988/12/31,4.4,8.6,-0.6
1989/1/1,6.6,8.8,4.6
1989/1/2,4.9,11.2,0.3
1989/1/3,5.4,9.8,0.1
1989/1/4,5.3,7.9,3.7
1989/1/5,4.3,8.3,1.4
1989/1/6,3.6,9.4,-2.0
1989/1/7,9.1,14.4,3.8
1989/1/8,11.5,12.8,9.3
1989/1/9,10.3,11.0,9.6
1989/1/10,9.2,11.7,5.3
1989/1/11,7.9,11.5,4.7
1989/1/12,7.2,9.3,4.7
1989/1/13,4.4,7.0,2.2
1989/1/14,4.1,7.5,0.9
1989/1/15,2.6,4.9,-1.8
1989/1/16,2.6,9.7,-2.8
1989/1/17,3.9,11.0,-0.1
1989/1/18,3.3,7.5,-1.6
1989/1/19,13.3,15.5,5.5
1989/1/20,13.0,18.6,9.5
1989/1/21,8.1,9.7,5.0
1989/1/22,6.1,8.2,4.0
1989/1/23,5.8,8.0,3.1
1989/1/24,5.6,7.8,1.9
1989/1/25,3.5,8.4,0.8
1989/1/26,3.2,6.0,-0.3
1989/1/27,3.7,7.7,-0.3
1989/1/28,0.3,1.9,-0.9
1989/1/29,1.7,4.7,-0.1
1989/1/30,2.7,10.0,-1.3
1989/1/31,5.6,13.3,-1.1
1989/2/1,4.8,8.5,0.9
1989/2/2,1.1,3.6,0.3
1989/2/3,0.8,1.8,0.0
1989/2/4,2.3,5.7,-0.3
1989/2/5,2.6,8.4,-0.8
1989/2/6,4.3,12.2,-0.9
1989/2/7,4.6,9.8,-0.1
1989/2/8,5.9,8.9,-0.5
1989/2/9,8.0,9.8,5.9
1989/2/10,4.1,6.0,1.4
1989/2/11,3.2,7.1,1.0
1989/2/12,2.7,5.9,1.1
1989/2/13,2.5,7.2,0.2
1989/2/14,4.3,8.9,0.2
1989/2/15,7.7,15.8,-1.8
1989/2/16,11.7,14.3,9.2
1989/2/17,9.0,11.2,8.3
1989/2/18,7.1,8.4,5.8
1989/2/19,5.1,7.8,-0.4
1989/2/20,6.7,14.3,-1.5
1989/2/21,7.1,7.8,6.1
1989/2/22,5.8,7.3,4.3
1989/2/23,4.9,7.8,2.9
1989/2/24,5.8,7.5,3.2
1989/2/25,7.2,8.4,6.4
1989/2/26,4.6,7.5,0.1
1989/2/27,5.1,13.9,-1.9
1989/2/28,13.1,18.6,5.9
1989/3/1,9.0,14.6,5.4
1989/3/2,7.7,12.8,5.2
1989/3/3,13.3,17.4,5.6
1989/3/4,12.3,18.7,6.9
1989/3/5,6.0,7.9,2.1
1989/3/6,5.5,10.2,0.1
1989/3/7,5.4,10.1,0.6
1989/3/8,3.4,5.1,1.7
1989/3/9,3.7,8.3,0.1
1989/3/10,4.2,10.6,-0.1
1989/3/11,5.7,13.0,-0.8
1989/3/12,8.4,17.2,0.2
1989/3/13,10.0,12.2,7.8
1989/3/14,11.4,16.7,5.7
1989/3/15,7.6,13.8,3.1
1989/3/16,6.4,11.3,1.7
1989/3/17,5.8,8.1,3.6
1989/3/18,6.3,9.5,2.4
1989/3/19,5.9,10.0,-0.9
1989/3/20,6.4,8.9,2.1
1989/3/21,6.8,9.5,4.7
1989/3/22,5.9,8.7,4.1
1989/3/23,6.5,9.6,3.7
1989/3/24,8.7,11.9,4.1
1989/3/25,8.5,10.8,7.1
1989/3/26,6.7,10.5,1.9
1989/3/27,5.8,11.0,0.7
1989/3/28,6.7,9.7,4.0
1989/3/29,7.4,13.4,1.4
1989/3/30,10.3,18.1,1.3
1989/3/31,13.5,16.7,9.2
