ダウンロードした時刻：2019/10/10 15:50:00

,前橋,前橋,前橋
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1981/12/1,5.2,6.4,4.5
1981/12/2,3.5,7.4,-0.1
1981/12/3,2.9,8.1,-1.2
1981/12/4,3.6,10.4,-0.8
1981/12/5,6.4,12.7,-0.1
1981/12/6,6.1,10.4,1.0
1981/12/7,5.3,9.8,2.0
1981/12/8,5.8,9.7,1.2
1981/12/9,6.3,12.4,1.9
1981/12/10,4.9,9.4,1.2
1981/12/11,3.8,9.2,-0.7
1981/12/12,8.0,14.2,2.0
1981/12/13,4.1,8.8,0.0
1981/12/14,1.2,6.8,-2.7
1981/12/15,1.6,6.5,-3.6
1981/12/16,5.1,10.8,0.1
1981/12/17,4.9,11.9,-0.2
1981/12/18,5.1,10.9,0.5
1981/12/19,5.1,9.5,-0.5
1981/12/20,8.1,12.3,5.1
1981/12/21,6.2,11.6,1.2
1981/12/22,5.3,11.5,0.3
1981/12/23,7.3,16.9,1.6
1981/12/24,5.7,9.5,1.5
1981/12/25,3.3,7.7,-1.1
1981/12/26,4.2,10.4,-1.2
1981/12/27,7.1,14.3,1.3
1981/12/28,9.2,16.1,3.9
1981/12/29,10.2,14.1,5.8
1981/12/30,8.4,12.6,5.8
1981/12/31,4.6,7.3,1.4
1982/1/1,4.9,11.6,0.0
1982/1/2,4.3,11.0,-0.6
1982/1/3,3.0,7.9,-0.7
1982/1/4,5.6,9.7,0.5
1982/1/5,9.2,15.1,5.1
1982/1/6,4.6,8.6,1.1
1982/1/7,1.7,7.0,-0.8
1982/1/8,-0.1,4.5,-5.0
1982/1/9,3.7,11.4,-2.9
1982/1/10,5.7,10.1,2.7
1982/1/11,4.0,5.7,1.2
1982/1/12,7.2,10.7,1.3
1982/1/13,6.3,10.9,3.2
1982/1/14,4.6,10.3,0.0
1982/1/15,3.7,10.1,-1.4
1982/1/16,0.9,4.3,-1.4
1982/1/17,0.7,6.3,-2.9
1982/1/18,-0.1,4.1,-5.0
1982/1/19,1.5,6.4,-2.0
1982/1/20,1.4,6.6,-3.7
1982/1/21,4.4,11.9,-3.4
1982/1/22,7.5,13.6,0.8
1982/1/23,4.4,10.2,-0.2
1982/1/24,4.6,11.0,-1.1
1982/1/25,4.0,8.2,0.2
1982/1/26,4.3,9.6,-1.5
1982/1/27,3.7,8.6,-0.4
1982/1/28,2.9,7.1,0.3
1982/1/29,-0.8,3.0,-3.3
1982/1/30,-0.7,4.2,-4.5
1982/1/31,1.5,8.4,-5.5
1982/2/1,2.3,7.5,-0.9
1982/2/2,1.1,5.3,-2.4
1982/2/3,2.6,10.1,-4.0
1982/2/4,3.9,9.7,0.6
1982/2/5,0.6,5.7,-4.2
1982/2/6,1.0,5.8,-4.5
1982/2/7,-0.5,3.5,-3.7
1982/2/8,-0.3,5.7,-5.6
1982/2/9,1.3,6.6,-3.2
1982/2/10,1.4,6.1,-1.6
1982/2/11,1.9,8.7,-5.4
1982/2/12,4.8,9.6,-0.3
1982/2/13,4.2,8.4,-0.1
1982/2/14,2.2,7.5,-2.8
1982/2/15,2.6,8.3,-3.1
1982/2/16,4.8,12.7,-2.4
1982/2/17,3.3,5.7,1.1
1982/2/18,5.9,11.7,1.0
1982/2/19,5.9,10.2,0.6
1982/2/20,10.4,19.2,4.9
1982/2/21,7.7,10.9,4.6
1982/2/22,5.4,9.9,2.1
1982/2/23,4.8,9.7,1.8
1982/2/24,3.0,5.8,0.8
1982/2/25,2.9,7.1,-0.2
1982/2/26,2.5,6.5,-1.1
1982/2/27,4.9,12.0,-2.4
1982/2/28,7.7,13.3,0.6
1982/3/1,5.2,8.4,3.6
1982/3/2,4.6,9.7,0.4
1982/3/3,3.6,8.5,-0.5
1982/3/4,5.9,11.9,-1.3
1982/3/5,11.1,17.1,5.5
1982/3/6,8.4,13.8,4.6
1982/3/7,3.8,7.8,0.5
1982/3/8,3.9,9.0,-1.9
1982/3/9,6.2,13.6,-0.9
1982/3/10,7.3,12.8,1.6
1982/3/11,10.6,18.3,3.6
1982/3/12,9.9,14.1,3.5
1982/3/13,10.8,17.1,7.2
1982/3/14,8.5,13.4,2.1
1982/3/15,8.1,9.6,5.8
1982/3/16,14.6,23.0,8.9
1982/3/17,9.9,16.9,6.3
1982/3/18,7.5,12.8,3.3
1982/3/19,8.2,14.2,0.9
1982/3/20,5.7,7.8,4.3
1982/3/21,9.4,15.3,5.9
1982/3/22,13.0,20.3,7.9
1982/3/23,11.9,18.6,4.3
1982/3/24,9.0,13.4,2.5
1982/3/25,4.6,10.5,0.5
1982/3/26,4.1,9.9,-0.7
1982/3/27,5.2,11.2,-1.2
1982/3/28,6.4,14.3,0.3
1982/3/29,6.8,14.6,-1.2
1982/3/30,10.4,18.1,2.3
1982/3/31,11.4,17.9,7.7
