ダウンロードした時刻：2019/10/10 16:04:50

,鳥取,鳥取,鳥取
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1989/12/1,5.0,8.8,1.8
1989/12/2,8.5,12.7,1.0
1989/12/3,12.5,17.0,7.7
1989/12/4,14.5,19.9,10.1
1989/12/5,10.7,17.2,6.1
1989/12/6,8.6,10.6,6.3
1989/12/7,10.0,14.8,5.3
1989/12/8,4.6,9.8,0.6
1989/12/9,5.9,8.0,1.4
1989/12/10,6.0,11.0,2.0
1989/12/11,9.0,11.5,4.7
1989/12/12,7.1,8.7,5.3
1989/12/13,6.1,10.1,3.4
1989/12/14,6.7,11.9,3.4
1989/12/15,7.8,10.4,3.4
1989/12/16,9.3,14.3,4.5
1989/12/17,9.6,14.6,4.9
1989/12/18,6.9,12.2,4.1
1989/12/19,4.2,5.0,3.4
1989/12/20,4.8,8.2,0.3
1989/12/21,8.3,12.9,5.6
1989/12/22,7.4,12.9,2.5
1989/12/23,6.6,11.7,1.9
1989/12/24,7.0,12.8,1.4
1989/12/25,8.2,14.7,4.1
1989/12/26,8.2,13.1,5.3
1989/12/27,4.2,7.0,1.5
1989/12/28,4.9,9.0,0.9
1989/12/29,5.5,9.6,3.7
1989/12/30,4.6,9.1,1.7
1989/12/31,2.1,5.4,0.5
1990/1/1,2.0,5.9,0.3
1990/1/2,2.9,7.1,0.4
1990/1/3,2.3,4.5,0.3
1990/1/4,2.7,7.0,1.0
1990/1/5,4.7,8.3,0.0
1990/1/6,5.8,8.9,2.4
1990/1/7,4.5,7.5,1.5
1990/1/8,4.6,9.5,1.1
1990/1/9,9.5,13.2,4.6
1990/1/10,12.6,18.9,7.9
1990/1/11,6.5,9.8,2.0
1990/1/12,7.7,14.3,2.0
1990/1/13,2.6,6.8,0.5
1990/1/14,3.6,7.4,-0.5
1990/1/15,4.2,7.5,2.4
1990/1/16,4.8,8.6,0.8
1990/1/17,4.4,7.8,1.1
1990/1/18,8.6,11.4,1.0
1990/1/19,6.9,8.2,5.2
1990/1/20,1.5,5.3,0.3
1990/1/21,1.5,5.6,-0.4
1990/1/22,2.7,6.6,-1.6
1990/1/23,-0.2,1.8,-1.8
1990/1/24,-1.9,0.9,-3.7
1990/1/25,-2.0,0.1,-3.7
1990/1/26,-1.4,0.0,-2.6
1990/1/27,-0.4,1.6,-1.7
1990/1/28,1.6,4.9,-0.7
1990/1/29,5.4,9.3,3.1
1990/1/30,3.3,5.6,1.1
1990/1/31,1.0,2.1,0.0
1990/2/1,3.5,5.4,0.7
1990/2/2,3.8,7.0,0.2
1990/2/3,4.1,6.7,2.3
1990/2/4,3.3,5.0,1.9
1990/2/5,3.0,5.3,1.0
1990/2/6,3.3,9.5,-1.1
1990/2/7,4.5,10.5,-1.5
1990/2/8,5.2,7.2,2.7
1990/2/9,4.4,10.3,0.7
1990/2/10,8.9,15.3,-1.2
1990/2/11,10.7,16.1,3.9
1990/2/12,5.5,8.5,2.2
1990/2/13,4.6,9.1,0.8
1990/2/14,4.5,7.0,1.3
1990/2/15,6.0,8.5,3.9
1990/2/16,6.5,9.2,4.4
1990/2/17,5.8,11.3,1.9
1990/2/18,7.5,13.9,1.1
1990/2/19,14.6,17.5,7.8
1990/2/20,12.2,16.4,9.2
1990/2/21,9.4,14.6,5.8
1990/2/22,10.5,17.6,3.9
1990/2/23,13.6,15.8,11.8
1990/2/24,8.3,11.8,7.3
1990/2/25,7.5,9.1,6.6
1990/2/26,6.7,11.6,4.2
1990/2/27,5.3,9.1,0.7
1990/2/28,4.4,9.5,0.3
1990/3/1,6.0,8.4,1.9
1990/3/2,7.9,9.2,7.2
1990/3/3,7.2,8.2,6.2
1990/3/4,5.5,10.7,1.0
1990/3/5,4.6,10.2,0.2
1990/3/6,5.3,10.8,-0.5
1990/3/7,5.6,10.1,1.4
1990/3/8,4.1,7.6,0.0
1990/3/9,6.7,13.9,-0.9
1990/3/10,8.9,15.8,1.8
1990/3/11,11.3,16.7,2.6
1990/3/12,8.9,14.5,5.5
1990/3/13,6.8,11.3,1.4
1990/3/14,9.2,15.5,-0.5
1990/3/15,11.6,14.3,8.4
1990/3/16,8.2,13.2,4.5
1990/3/17,8.3,13.4,3.8
1990/3/18,8.0,10.6,4.5
1990/3/19,9.2,14.9,2.0
1990/3/20,9.2,15.0,3.6
1990/3/21,7.7,14.5,2.0
1990/3/22,9.5,18.1,0.3
1990/3/23,15.6,23.5,6.9
1990/3/24,12.4,18.3,7.2
1990/3/25,6.9,9.2,5.5
1990/3/26,6.6,10.9,1.9
1990/3/27,8.9,16.9,-0.2
1990/3/28,9.4,10.1,8.2
1990/3/29,10.1,13.6,6.8
1990/3/30,11.2,17.9,3.9
1990/3/31,12.6,15.8,10.2
