ダウンロードした時刻：2019/10/10 15:57:55

,浜松,浜松,浜松
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1997/12/1,12.5,16.3,9.6
1997/12/2,8.6,12.9,2.8
1997/12/3,4.4,8.4,2.1
1997/12/4,5.9,12.0,1.6
1997/12/5,7.7,13.5,2.7
1997/12/6,11.1,17.5,4.0
1997/12/7,15.9,20.1,11.5
1997/12/8,15.3,17.4,13.4
1997/12/9,11.4,14.2,8.1
1997/12/10,7.3,11.1,3.3
1997/12/11,4.9,8.6,1.4
1997/12/12,6.1,9.3,2.9
1997/12/13,7.6,12.9,4.2
1997/12/14,7.4,12.8,3.8
1997/12/15,8.8,13.4,3.9
1997/12/16,9.7,14.1,7.2
1997/12/17,9.7,13.7,7.4
1997/12/18,11.4,16.6,8.2
1997/12/19,11.4,17.4,7.2
1997/12/20,12.5,16.8,8.8
1997/12/21,12.4,17.5,6.8
1997/12/22,8.6,11.1,5.8
1997/12/23,8.6,10.6,6.8
1997/12/24,8.2,12.1,5.0
1997/12/25,7.5,13.7,2.9
1997/12/26,8.5,13.5,4.1
1997/12/27,12.1,17.2,8.9
1997/12/28,10.8,15.2,6.7
1997/12/29,9.4,13.5,4.9
1997/12/30,8.2,9.9,6.6
1997/12/31,8.4,12.7,4.8
1998/1/1,7.5,12.4,3.7
1998/1/2,9.6,14.4,5.9
1998/1/3,8.9,14.6,4.9
1998/1/4,8.4,12.1,5.9
1998/1/5,5.9,9.0,3.7
1998/1/6,5.4,10.8,1.6
1998/1/7,6.0,10.4,3.1
1998/1/8,6.1,7.2,4.8
1998/1/9,7.2,11.6,3.8
1998/1/10,6.1,9.9,1.7
1998/1/11,5.4,8.0,3.6
1998/1/12,4.7,5.6,2.7
1998/1/13,5.8,11.6,1.6
1998/1/14,7.5,11.4,3.4
1998/1/15,7.8,9.1,5.8
1998/1/16,8.0,13.1,4.6
1998/1/17,8.0,12.2,4.3
1998/1/18,10.7,13.5,8.9
1998/1/19,5.5,9.8,1.2
1998/1/20,3.0,6.9,0.0
1998/1/21,4.9,10.7,0.4
1998/1/22,4.9,8.9,1.5
1998/1/23,5.1,9.0,2.3
1998/1/24,2.8,6.3,-1.1
1998/1/25,1.8,6.6,-1.8
1998/1/26,4.2,8.2,0.4
1998/1/27,5.2,10.0,2.0
1998/1/28,5.5,8.8,2.6
1998/1/29,4.1,8.5,1.0
1998/1/30,5.1,11.0,0.6
1998/1/31,6.8,11.8,2.8
1998/2/1,4.8,8.3,2.2
1998/2/2,6.2,11.9,0.7
1998/2/3,7.2,11.9,3.7
1998/2/4,6.3,11.0,2.4
1998/2/5,4.6,10.2,0.4
1998/2/6,6.0,12.3,0.8
1998/2/7,6.6,13.2,2.3
1998/2/8,5.2,10.6,2.2
1998/2/9,4.5,9.1,1.4
1998/2/10,5.4,11.1,1.5
1998/2/11,5.1,11.1,-0.1
1998/2/12,9.9,16.1,3.2
1998/2/13,14.9,21.4,9.0
1998/2/14,13.9,18.6,10.7
1998/2/15,7.4,11.4,4.0
1998/2/16,6.9,12.6,1.7
1998/2/17,6.8,12.5,2.2
1998/2/18,6.3,11.4,1.4
1998/2/19,10.9,15.8,5.8
1998/2/20,11.6,13.7,9.4
1998/2/21,10.5,13.0,7.4
1998/2/22,7.6,11.3,5.8
1998/2/23,9.4,15.1,4.2
1998/2/24,9.6,11.9,8.6
1998/2/25,9.2,10.2,8.3
1998/2/26,10.0,13.2,7.7
1998/2/27,11.0,16.8,5.6
1998/2/28,10.7,17.4,5.5
1998/3/1,8.7,12.5,5.3
1998/3/2,9.6,15.3,4.6
1998/3/3,9.7,16.3,3.1
1998/3/4,10.9,16.6,6.0
1998/3/5,8.0,10.5,6.2
1998/3/6,9.5,14.8,5.7
1998/3/7,8.0,12.3,3.5
1998/3/8,7.1,13.4,2.3
1998/3/9,11.3,17.2,5.2
1998/3/10,9.3,11.1,7.5
1998/3/11,9.9,13.1,7.8
1998/3/12,11.5,14.9,9.0
1998/3/13,10.9,15.3,7.6
1998/3/14,11.4,16.2,6.4
1998/3/15,7.8,12.2,2.7
1998/3/16,7.0,11.9,2.5
1998/3/17,9.2,15.1,4.4
1998/3/18,7.7,13.3,1.8
1998/3/19,11.4,15.8,4.0
1998/3/20,13.8,16.7,8.7
1998/3/21,10.3,14.4,7.0
1998/3/22,9.9,15.4,5.7
1998/3/23,8.7,14.6,4.8
1998/3/24,10.3,15.1,6.8
1998/3/25,11.5,15.7,7.8
1998/3/26,12.5,18.0,7.2
1998/3/27,12.1,14.6,10.0
1998/3/28,15.5,20.7,12.5
1998/3/29,15.8,23.8,10.1
1998/3/30,16.6,24.7,10.2
1998/3/31,15.9,21.6,11.0
