ダウンロードした時刻：2019/10/10 16:07:23

,京都,京都,京都
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1985/12/1,6.8,12.9,0.2
1985/12/2,7.8,13.5,4.1
1985/12/3,6.2,12.5,0.7
1985/12/4,8.1,11.1,4.0
1985/12/5,9.7,15.6,5.9
1985/12/6,8.4,12.3,4.3
1985/12/7,9.3,14.8,5.2
1985/12/8,7.7,10.8,4.5
1985/12/9,4.9,7.9,1.9
1985/12/10,2.7,6.4,-0.5
1985/12/11,4.2,8.5,1.1
1985/12/12,3.3,8.9,-0.9
1985/12/13,3.9,9.0,-0.4
1985/12/14,5.5,11.0,2.2
1985/12/15,2.3,6.4,-0.4
1985/12/16,1.7,6.3,-1.8
1985/12/17,1.0,5.9,-1.7
1985/12/18,1.5,6.3,-1.8
1985/12/19,3.8,8.6,0.0
1985/12/20,3.1,6.9,-0.1
1985/12/21,3.2,5.9,1.2
1985/12/22,5.5,8.8,1.3
1985/12/23,6.9,10.7,4.6
1985/12/24,3.4,5.2,1.6
1985/12/25,4.4,9.9,-0.8
1985/12/26,5.7,10.8,2.5
1985/12/27,5.4,10.4,1.1
1985/12/28,5.1,11.0,0.8
1985/12/29,7.5,14.4,-0.8
1985/12/30,10.4,11.3,9.6
1985/12/31,9.4,12.6,5.6
1986/1/1,3.5,7.7,1.3
1986/1/2,1.5,4.8,-0.7
1986/1/3,1.2,5.0,-3.3
1986/1/4,4.5,7.8,2.1
1986/1/5,0.0,3.0,-2.4
1986/1/6,-0.2,3.9,-3.4
1986/1/7,2.1,7.3,-3.6
1986/1/8,2.2,9.0,-1.3
1986/1/9,1.1,5.0,-2.5
1986/1/10,1.4,6.1,-3.0
1986/1/11,0.8,5.3,-3.8
1986/1/12,0.9,5.8,-2.4
1986/1/13,1.4,6.3,-2.7
1986/1/14,2.8,6.1,0.9
1986/1/15,3.6,8.5,-0.5
1986/1/16,6.1,11.2,1.8
1986/1/17,6.4,11.9,2.6
1986/1/18,5.7,9.5,3.3
1986/1/19,4.5,11.4,-1.1
1986/1/20,5.0,11.1,-0.2
1986/1/21,5.1,8.6,3.0
1986/1/22,2.4,5.6,0.4
1986/1/23,3.4,6.7,0.0
1986/1/24,3.0,8.2,0.0
1986/1/25,2.2,5.9,0.5
1986/1/26,1.8,5.4,-0.2
1986/1/27,0.7,4.5,-2.3
1986/1/28,1.9,6.3,-3.7
1986/1/29,3.6,8.6,-0.2
1986/1/30,3.9,9.5,-1.2
1986/1/31,4.9,9.4,1.9
1986/2/1,2.9,7.9,-0.1
1986/2/2,3.1,8.2,0.0
1986/2/3,1.6,7.6,-2.1
1986/2/4,1.9,6.4,-2.0
1986/2/5,1.7,6.6,-2.5
1986/2/6,2.4,7.1,-0.8
1986/2/7,1.8,5.7,-1.2
1986/2/8,0.8,4.5,-2.1
1986/2/9,1.0,5.0,-3.2
1986/2/10,1.9,4.7,-0.2
1986/2/11,1.8,5.0,-1.4
1986/2/12,2.8,7.5,-0.3
1986/2/13,5.1,11.6,-2.1
1986/2/14,6.6,7.8,4.7
1986/2/15,4.2,8.8,-1.1
1986/2/16,-0.8,2.4,-3.3
1986/2/17,1.7,5.4,-1.2
1986/2/18,2.5,5.3,-0.9
1986/2/19,5.0,9.7,1.9
1986/2/20,3.6,8.2,-0.5
1986/2/21,3.0,6.6,0.6
1986/2/22,4.1,9.6,0.1
1986/2/23,3.9,10.3,-1.0
1986/2/24,1.6,5.4,-0.2
1986/2/25,0.6,4.3,-1.5
1986/2/26,2.8,8.9,-2.6
1986/2/27,4.1,9.5,0.5
1986/2/28,-0.1,3.1,-2.2
1986/3/1,2.1,7.2,-3.0
1986/3/2,2.6,6.9,0.2
1986/3/3,3.3,8.5,-1.2
1986/3/4,3.8,9.2,-0.1
1986/3/5,3.9,9.4,-0.4
1986/3/6,6.3,11.6,2.7
1986/3/7,7.5,16.2,1.4
1986/3/8,8.2,17.2,0.8
1986/3/9,11.2,19.4,2.8
1986/3/10,11.3,16.8,9.4
1986/3/11,7.6,9.4,6.0
1986/3/12,7.4,13.0,3.4
1986/3/13,8.6,15.9,1.6
1986/3/14,8.5,10.2,7.0
1986/3/15,13.9,19.7,9.8
1986/3/16,9.7,14.5,5.0
1986/3/17,5.6,9.8,2.4
1986/3/18,5.1,8.3,0.4
1986/3/19,9.9,12.2,6.6
1986/3/20,6.5,9.9,4.3
1986/3/21,6.7,10.8,4.2
1986/3/22,7.4,12.9,2.3
1986/3/23,5.3,7.9,3.7
1986/3/24,5.8,9.7,3.3
1986/3/25,6.5,12.7,0.8
1986/3/26,8.0,16.1,0.2
1986/3/27,11.2,17.4,2.7
1986/3/28,10.4,11.2,9.3
1986/3/29,10.8,15.2,6.4
1986/3/30,10.7,16.4,3.8
1986/3/31,9.3,14.4,3.8
