ダウンロードした時刻：2017/07/24 15:46:58

,大分,大分,大分
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1996/1/1,8.1,12.4,1.2
1996/1/2,4.0,11.1,-1.7
1996/1/3,6.1,15.2,0.2
1996/1/4,4.4,8.6,-0.6
1996/1/5,4.1,11.9,-2.6
1996/1/6,6.6,11.7,1.1
1996/1/7,9.2,14.0,4.8
1996/1/8,7.1,12.0,0.0
1996/1/9,1.7,4.8,-0.7
1996/1/10,5.2,9.4,1.7
1996/1/11,5.2,10.3,-0.1
1996/1/12,4.9,10.4,-1.0
1996/1/13,5.3,11.2,-0.8
1996/1/14,11.0,15.4,6.0
1996/1/15,12.3,16.0,9.6
1996/1/16,9.0,12.0,5.6
1996/1/17,6.0,10.0,0.2
1996/1/18,6.0,7.5,4.6
1996/1/19,7.0,10.7,4.9
1996/1/20,7.5,11.8,2.5
1996/1/21,4.7,9.4,-0.7
1996/1/22,4.8,8.5,2.0
1996/1/23,7.0,11.3,2.1
1996/1/24,4.3,8.2,1.2
1996/1/25,2.9,8.0,-2.1
1996/1/26,3.9,7.3,1.0
1996/1/27,2.6,8.5,-2.0
1996/1/28,4.4,9.8,-1.7
1996/1/29,6.7,12.1,2.6
1996/1/30,4.9,7.8,1.6
1996/1/31,4.5,8.3,1.7
1996/2/1,2.9,6.3,0.2
1996/2/2,-0.2,3.0,-4.0
1996/2/3,2.4,7.2,-2.0
1996/2/4,3.8,10.7,-2.8
1996/2/5,4.6,12.8,0.3
1996/2/6,2.6,6.3,-0.2
1996/2/7,3.7,7.2,0.2
1996/2/8,5.4,11.8,-1.2
1996/2/9,4.4,8.0,0.8
1996/2/10,2.0,5.7,-0.7
1996/2/11,2.0,9.5,-5.0
1996/2/12,9.0,17.4,0.3
1996/2/13,15.2,21.3,11.0
1996/2/14,12.5,18.5,6.0
1996/2/15,11.9,15.5,8.3
1996/2/16,8.4,11.7,4.7
1996/2/17,5.7,7.5,3.0
1996/2/18,5.1,8.0,2.3
1996/2/19,4.5,7.5,0.8
1996/2/20,4.5,8.8,-0.4
1996/2/21,3.9,6.7,2.5
1996/2/22,4.1,8.6,-1.8
1996/2/23,4.6,9.4,-0.6
1996/2/24,5.6,9.1,0.0
1996/2/25,4.6,5.9,2.5
1996/2/26,5.5,11.0,0.0
1996/2/27,7.0,12.0,2.7
1996/2/28,4.8,10.4,-1.1
1996/2/29,5.4,9.0,0.2
1996/3/1,8.2,13.8,5.3
1996/3/2,6.6,11.3,1.9
1996/3/3,7.9,13.5,1.4
1996/3/4,9.7,14.9,5.8
1996/3/5,5.0,7.8,0.8
1996/3/6,4.4,9.5,-1.4
1996/3/7,8.9,12.8,4.3
1996/3/8,12.4,17.0,7.7
1996/3/9,7.6,9.9,5.8
1996/3/10,7.8,11.4,4.8
1996/3/11,7.4,14.4,2.2
1996/3/12,5.4,8.8,3.2
1996/3/13,6.4,11.9,0.9
1996/3/14,7.9,,1.5
1996/3/15,9.6,12.6,7.9
1996/3/16,10.1,,4.1
1996/3/17,15.5,20.5,10.3
1996/3/18,9.4,11.8,5.3
1996/3/19,8.2,12.4,3.7
1996/3/20,8.5,11.1,6.0
1996/3/21,11.3,14.4,9.0
1996/3/22,11.1,14.5,8.6
1996/3/23,9.0,11.2,7.4
1996/3/24,6.0,7.4,4.6
1996/3/25,10.5,15.0,7.0
1996/3/26,10.2,14.8,5.5
1996/3/27,9.8,12.8,7.5
1996/3/28,10.5,13.4,8.3
1996/3/29,9.4,10.7,8.0
1996/3/30,15.8,22.8,10.4
1996/3/31,12.9,17.2,9.0
1996/4/1,9.7,11.9,7.5
1996/4/2,6.6,9.0,2.7
1996/4/3,6.5,11.4,1.3
1996/4/4,8.0,14.9,1.0
1996/4/5,10.5,16.6,5.0
1996/4/6,9.5,14.6,2.7
1996/4/7,14.4,19.7,10.8
1996/4/8,12.1,18.3,6.5
1996/4/9,11.5,17.6,4.4
1996/4/10,10.3,14.6,4.8
1996/4/11,8.0,14.1,1.4
1996/4/12,9.1,13.2,4.5
1996/4/13,9.0,13.6,4.2
1996/4/14,7.8,11.6,3.8
1996/4/15,11.1,14.8,8.3
1996/4/16,11.9,15.9,8.8
1996/4/17,15.0,24.0,6.1
1996/4/18,15.9,20.1,12.4
1996/4/19,9.9,13.2,8.6
1996/4/20,10.7,14.6,7.9
1996/4/21,9.5,14.9,3.3
1996/4/22,11.4,18.7,3.9
1996/4/23,13.1,18.4,5.0
1996/4/24,14.5,20.8,7.9
1996/4/25,14.9,21.5,8.4
1996/4/26,16.5,21.8,11.4
1996/4/27,18.2,25.2,10.3
1996/4/28,18.3,24.4,11.4
1996/4/29,17.0,22.1,14.0
1996/4/30,16.3,19.1,14.1
1996/5/1,17.3,23.1,14.5
