É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2019/10/10 15:32:19

,éDñy,éDñy,éDñy
îNåéì˙,ïΩãœãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈í·ãCâ∑(Åé)
,,,
1993/12/1,2.1,3.4,0.5
1993/12/2,4.0,7.5,0.2
1993/12/3,1.5,5.9,-1.2
1993/12/4,-1.1,0.8,-2.1
1993/12/5,-2.6,-0.7,-3.9
1993/12/6,-0.5,1.1,-2.9
1993/12/7,0.2,1.9,-3.3
1993/12/8,2.9,5.0,0.5
1993/12/9,0.6,2.8,-1.2
1993/12/10,0.9,3.1,-1.5
1993/12/11,0.1,1.1,-1.3
1993/12/12,1.5,3.7,-0.3
1993/12/13,2.8,6.2,-0.7
1993/12/14,-3.5,-0.5,-6.4
1993/12/15,-6.7,-4.9,-7.6
1993/12/16,-3.0,0.1,-7.5
1993/12/17,-2.1,3.2,-5.6
1993/12/18,-4.9,-2.8,-6.6
1993/12/19,-3.6,-1.5,-6.8
1993/12/20,-2.5,3.2,-9.4
1993/12/21,4.4,8.3,1.0
1993/12/22,-5.4,1.0,-7.6
1993/12/23,-4.3,-1.4,-8.1
1993/12/24,-0.4,2.1,-2.7
1993/12/25,2.2,5.8,-2.4
1993/12/26,3.9,7.0,-0.6
1993/12/27,4.4,6.2,2.5
1993/12/28,2.6,4.7,0.9
1993/12/29,0.7,2.5,-0.7
1993/12/30,1.3,3.3,-1.5
1993/12/31,0.1,3.3,-2.7
1994/1/1,-3.4,-1.1,-5.6
1994/1/2,-0.9,2.6,-5.0
1994/1/3,0.2,2.5,-1.8
1994/1/4,-3.7,-1.2,-6.1
1994/1/5,-9.0,-6.0,-10.5
1994/1/6,-5.6,-2.7,-10.5
1994/1/7,-5.5,-1.5,-9.3
1994/1/8,-4.3,-1.0,-9.0
1994/1/9,-1.5,2.6,-6.1
1994/1/10,-0.6,2.3,-3.2
1994/1/11,-2.9,-0.5,-5.5
1994/1/12,-5.8,-4.0,-7.9
1994/1/13,-6.4,-2.5,-10.4
1994/1/14,-5.8,0.1,-12.9
1994/1/15,-4.6,-1.3,-9.5
1994/1/16,-0.7,1.9,-5.1
1994/1/17,-1.4,1.6,-4.4
1994/1/18,-6.2,-3.3,-9.1
1994/1/19,-8.2,-6.6,-9.1
1994/1/20,-6.2,-3.4,-8.9
1994/1/21,-4.8,-0.4,-9.0
1994/1/22,-6.8,-2.1,-12.8
1994/1/23,-3.5,-0.1,-6.1
1994/1/24,-5.1,-2.7,-7.0
1994/1/25,-3.7,-1.0,-6.6
1994/1/26,-3.1,-0.5,-6.5
1994/1/27,-5.1,-2.2,-9.1
1994/1/28,-8.5,-4.9,-11.3
1994/1/29,-9.7,-4.4,-14.0
1994/1/30,-7.7,-1.7,-13.3
1994/1/31,-5.6,0.2,-13.1
1994/2/1,-4.0,-2.8,-6.8
1994/2/2,-2.9,-1.0,-5.3
1994/2/3,-7.1,-4.4,-9.0
1994/2/4,-7.2,-3.4,-9.3
1994/2/5,-0.3,3.5,-6.4
1994/2/6,-0.3,2.0,-4.8
1994/2/7,-0.6,4.5,-4.9
1994/2/8,-3.4,-0.7,-5.9
1994/2/9,-2.8,-0.4,-5.3
1994/2/10,-4.1,-2.4,-6.5
1994/2/11,-4.3,-2.1,-8.8
1994/2/12,-4.3,-0.3,-8.5
1994/2/13,-4.3,-2.0,-9.2
1994/2/14,-2.8,-1.3,-4.1
1994/2/15,0.0,2.4,-2.9
1994/2/16,0.1,2.1,-1.6
1994/2/17,-0.1,1.5,-2.4
1994/2/18,1.5,4.2,-3.5
1994/2/19,-0.6,1.6,-4.8
1994/2/20,0.4,6.4,-8.1
1994/2/21,4.9,7.4,0.8
1994/2/22,1.7,4.7,-1.5
1994/2/23,0.3,2.6,-2.4
1994/2/24,2.2,4.4,-0.5
1994/2/25,0.4,2.3,-0.9
1994/2/26,1.0,3.0,-0.9
1994/2/27,0.5,2.6,-1.0
1994/2/28,0.1,2.3,-2.6
1994/3/1,-0.2,3.9,-4.8
1994/3/2,-0.2,3.1,-3.6
1994/3/3,-1.7,1.9,-5.9
1994/3/4,-4.3,-2.4,-6.3
1994/3/5,-3.1,-1.9,-4.9
1994/3/6,-2.7,0.0,-5.7
1994/3/7,-2.3,1.9,-9.0
1994/3/8,1.0,2.9,-1.9
1994/3/9,2.7,6.6,-0.3
1994/3/10,-2.2,1.2,-5.0
1994/3/11,-3.9,-2.0,-5.1
1994/3/12,-1.9,0.9,-4.6
1994/3/13,-2.5,0.4,-5.3
1994/3/14,-2.1,2.2,-6.9
1994/3/15,-1.3,1.8,-4.8
1994/3/16,0.6,5.2,-5.2
1994/3/17,-0.2,2.4,-2.1
1994/3/18,0.1,2.8,-2.3
1994/3/19,-0.3,3.2,-5.4
1994/3/20,0.9,3.9,-2.1
1994/3/21,0.0,3.1,-2.9
1994/3/22,-0.3,2.6,-3.3
1994/3/23,0.6,3.0,-4.1
1994/3/24,1.7,3.1,0.7
1994/3/25,0.2,3.0,-1.8
1994/3/26,-1.6,1.0,-5.2
1994/3/27,0.4,4.3,-6.1
1994/3/28,5.3,10.8,1.2
1994/3/29,0.9,3.9,-2.1
1994/3/30,-0.5,1.9,-2.9
1994/3/31,1.6,5.4,-1.1
