ダウンロードした時刻：2019/10/10 16:24:03

,熊本,熊本,熊本
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2000/12/1,11.3,15.1,9.0
2000/12/2,14.0,19.3,9.2
2000/12/3,12.9,17.6,9.2
2000/12/4,10.2,15.6,5.8
2000/12/5,9.2,15.3,3.9
2000/12/6,8.2,14.7,2.6
2000/12/7,9.2,16.8,2.4
2000/12/8,9.8,17.8,2.9
2000/12/9,12.0,20.6,3.7
2000/12/10,15.0,18.8,12.9
2000/12/11,7.7,13.5,2.5
2000/12/12,3.8,8.1,-0.2
2000/12/13,5.8,9.9,2.2
2000/12/14,7.2,12.6,3.3
2000/12/15,6.2,14.4,-0.4
2000/12/16,9.5,18.3,0.2
2000/12/17,11.6,13.3,9.4
2000/12/18,10.7,14.6,6.9
2000/12/19,11.7,16.1,8.1
2000/12/20,8.9,11.1,5.7
2000/12/21,8.8,12.5,4.1
2000/12/22,6.1,13.0,0.2
2000/12/23,7.9,15.8,1.2
2000/12/24,6.9,11.6,1.9
2000/12/25,7.1,11.8,3.8
2000/12/26,3.4,7.9,-0.8
2000/12/27,3.2,9.9,-2.8
2000/12/28,5.8,13.4,0.1
2000/12/29,6.4,13.7,0.4
2000/12/30,6.3,10.5,0.7
2000/12/31,7.8,12.0,2.0
2001/1/1,5.1,11.1,-0.8
2001/1/2,7.0,11.0,3.6
2001/1/3,5.9,9.7,2.3
2001/1/4,4.3,9.1,0.0
2001/1/5,2.6,8.9,-2.9
2001/1/6,4.7,11.8,-2.9
2001/1/7,10.9,15.0,5.7
2001/1/8,11.5,15.9,8.2
2001/1/9,10.6,15.0,6.4
2001/1/10,8.4,11.6,2.6
2001/1/11,5.2,10.5,-0.2
2001/1/12,3.9,8.3,0.0
2001/1/13,2.7,5.5,0.4
2001/1/14,1.2,3.4,-0.8
2001/1/15,-0.7,3.1,-3.3
2001/1/16,0.1,4.3,-3.8
2001/1/17,0.1,6.9,-4.9
2001/1/18,2.0,9.1,-4.2
2001/1/19,5.6,12.6,-1.6
2001/1/20,7.8,10.8,5.5
2001/1/21,6.6,12.2,2.4
2001/1/22,5.1,9.1,1.3
2001/1/23,6.8,13.1,1.9
2001/1/24,7.9,12.3,3.4
2001/1/25,10.3,13.1,8.3
2001/1/26,8.4,10.2,7.0
2001/1/27,7.7,10.5,5.5
2001/1/28,5.8,10.2,3.0
2001/1/29,3.6,7.9,-0.2
2001/1/30,4.1,8.4,0.4
2001/1/31,6.1,12.2,-0.8
2001/2/1,6.9,10.2,2.3
2001/2/2,4.2,9.4,1.0
2001/2/3,5.3,11.2,-1.3
2001/2/4,6.8,8.2,4.9
2001/2/5,10.4,14.0,7.0
2001/2/6,11.5,16.1,9.1
2001/2/7,9.4,11.1,6.9
2001/2/8,6.3,9.5,1.2
2001/2/9,4.0,9.9,-1.8
2001/2/10,4.9,10.3,1.2
2001/2/11,5.4,13.5,-2.6
2001/2/12,5.4,7.2,4.3
2001/2/13,5.6,8.1,3.7
2001/2/14,4.1,7.6,0.4
2001/2/15,3.9,10.1,-3.0
2001/2/16,4.8,8.1,-0.7
2001/2/17,3.5,10.9,-3.5
2001/2/18,7.7,14.0,2.3
2001/2/19,10.6,16.7,6.0
2001/2/20,10.6,18.3,2.9
2001/2/21,12.5,18.5,7.0
2001/2/22,13.8,19.3,10.4
2001/2/23,15.5,20.5,8.4
2001/2/24,12.3,19.6,7.2
2001/2/25,6.2,9.8,2.4
2001/2/26,5.7,11.7,0.3
2001/2/27,7.9,16.8,0.0
2001/2/28,11.4,14.1,8.1
2001/3/1,10.3,12.0,6.1
2001/3/2,8.3,14.4,2.6
2001/3/3,10.2,15.6,3.9
2001/3/4,5.9,12.6,3.1
2001/3/5,6.8,12.3,2.0
2001/3/6,11.1,17.3,4.4
2001/3/7,9.0,13.6,4.9
2001/3/8,3.7,7.0,0.5
2001/3/9,2.8,7.0,-0.3
2001/3/10,6.1,12.4,-1.8
2001/3/11,9.1,14.9,3.2
2001/3/12,7.4,12.3,4.1
2001/3/13,7.9,15.8,0.4
2001/3/14,12.0,19.3,2.7
2001/3/15,15.7,20.4,8.6
2001/3/16,10.7,17.8,3.8
2001/3/17,11.8,13.7,9.6
2001/3/18,13.0,17.9,8.7
2001/3/19,12.3,19.0,5.7
2001/3/20,13.4,19.8,6.9
2001/3/21,15.3,21.8,9.8
2001/3/22,15.3,22.2,7.8
2001/3/23,15.2,19.3,12.1
2001/3/24,17.3,24.4,10.0
2001/3/25,15.0,18.0,13.4
2001/3/26,14.4,19.2,9.8
2001/3/27,12.6,19.7,6.0
2001/3/28,15.2,21.9,10.8
2001/3/29,9.7,12.7,6.3
2001/3/30,9.3,14.5,0.9
2001/3/31,8.4,13.3,3.9
