ダウンロードした時刻：2019/10/10 16:26:34

,種子島,種子島,種子島
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1988/12/1,13.9,16.4,11.8
1988/12/2,13.8,18.0,9.0
1988/12/3,14.6,19.2,10.6
1988/12/4,15.4,17.9,13.7
1988/12/5,11.2,16.6,9.1
1988/12/6,10.6,15.2,6.0
1988/12/7,13.8,17.5,7.8
1988/12/8,15.4,19.7,13.3
1988/12/9,12.9,17.0,10.4
1988/12/10,10.8,13.0,9.4
1988/12/11,12.7,16.2,10.9
1988/12/12,12.8,16.2,7.7
1988/12/13,15.5,18.3,12.8
1988/12/14,15.3,18.7,11.9
1988/12/15,10.3,12.5,7.8
1988/12/16,8.1,11.5,6.8
1988/12/17,9.1,11.8,5.8
1988/12/18,12.3,14.5,9.6
1988/12/19,15.8,18.2,10.3
1988/12/20,16.7,19.2,15.6
1988/12/21,15.1,17.0,13.6
1988/12/22,13.0,16.2,10.4
1988/12/23,14.0,17.4,10.5
1988/12/24,16.0,19.1,11.9
1988/12/25,13.6,17.5,11.6
1988/12/26,11.5,14.8,8.3
1988/12/27,12.5,13.7,11.4
1988/12/28,12.2,14.3,8.9
1988/12/29,12.6,15.6,9.2
1988/12/30,14.1,17.5,12.4
1988/12/31,15.7,17.2,13.1
1989/1/1,13.4,16.4,10.4
1989/1/2,13.0,15.4,9.4
1989/1/3,13.5,14.9,12.1
1989/1/4,12.9,16.5,9.4
1989/1/5,12.5,14.3,10.6
1989/1/6,15.6,17.1,12.2
1989/1/7,18.3,19.9,16.1
1989/1/8,18.1,19.4,16.8
1989/1/9,16.4,18.2,15.1
1989/1/10,15.2,17.6,12.3
1989/1/11,17.1,19.2,13.5
1989/1/12,15.6,16.6,14.1
1989/1/13,12.5,14.4,10.3
1989/1/14,10.7,12.3,9.3
1989/1/15,11.7,13.7,10.7
1989/1/16,12.0,14.9,9.4
1989/1/17,13.9,16.2,9.5
1989/1/18,17.4,20.8,14.8
1989/1/19,20.5,24.4,18.0
1989/1/20,16.6,21.4,12.4
1989/1/21,13.7,17.1,12.1
1989/1/22,14.4,16.7,12.7
1989/1/23,15.0,17.9,13.7
1989/1/24,11.8,14.0,9.3
1989/1/25,12.1,15.1,7.1
1989/1/26,14.3,16.4,11.8
1989/1/27,9.2,13.9,5.6
1989/1/28,6.0,9.2,4.2
1989/1/29,9.1,12.0,3.2
1989/1/30,12.7,15.5,8.0
1989/1/31,13.7,16.7,10.7
1989/2/1,11.5,14.8,9.0
1989/2/2,8.2,10.3,6.7
1989/2/3,8.2,11.5,5.2
1989/2/4,10.2,13.5,6.7
1989/2/5,12.6,15.1,9.6
1989/2/6,12.8,15.1,11.8
1989/2/7,14.4,16.6,12.4
1989/2/8,17.7,21.8,15.4
1989/2/9,13.0,16.5,11.8
1989/2/10,9.4,12.6,7.3
1989/2/11,10.3,13.1,8.2
1989/2/12,11.5,14.8,9.7
1989/2/13,10.8,14.6,9.1
1989/2/14,11.3,13.2,9.1
1989/2/15,15.4,17.2,10.7
1989/2/16,19.4,22.3,17.1
1989/2/17,19.7,20.7,19.0
1989/2/18,17.1,20.4,14.8
1989/2/19,13.5,16.9,11.4
1989/2/20,15.1,19.8,9.7
1989/2/21,15.5,19.0,13.0
1989/2/22,13.3,16.9,10.7
1989/2/23,14.9,16.4,12.0
1989/2/24,18.0,23.1,15.0
1989/2/25,17.6,23.9,12.9
1989/2/26,13.3,16.9,11.3
1989/2/27,14.4,17.3,10.7
1989/2/28,17.2,22.3,14.2
1989/3/1,17.7,22.1,14.4
1989/3/2,16.6,18.8,14.9
1989/3/3,19.9,22.9,17.1
1989/3/4,17.3,21.4,14.7
1989/3/5,12.5,15.9,10.4
1989/3/6,10.8,12.4,9.4
1989/3/7,9.0,11.3,7.5
1989/3/8,9.0,12.4,6.4
1989/3/9,10.1,14.2,5.0
1989/3/10,11.8,15.6,7.3
1989/3/11,13.3,17.0,7.3
1989/3/12,15.1,17.3,11.8
1989/3/13,18.2,20.8,16.2
1989/3/14,16.6,19.6,14.4
1989/3/15,15.5,18.6,13.3
1989/3/16,15.8,19.3,12.1
1989/3/17,13.0,16.6,10.2
1989/3/18,12.6,14.9,10.3
1989/3/19,13.4,15.3,10.8
1989/3/20,14.8,17.7,12.9
1989/3/21,14.8,18.2,10.7
1989/3/22,13.5,16.3,10.3
1989/3/23,14.3,16.1,11.8
1989/3/24,16.6,19.4,13.6
1989/3/25,13.0,16.1,10.8
1989/3/26,13.6,14.7,11.6
1989/3/27,14.8,17.7,12.6
1989/3/28,12.8,15.3,9.9
1989/3/29,14.4,17.9,11.8
1989/3/30,15.7,19.8,10.4
1989/3/31,17.4,19.8,15.2
