ダウンロードした時刻：2019/10/10 16:05:20

,鳥取,鳥取,鳥取
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2012/12/1,6.2,8.6,4.2
2012/12/2,4.9,8.0,1.4
2012/12/3,7.7,14.9,0.0
2012/12/4,7.2,11.4,4.1
2012/12/5,7.3,9.6,5.1
2012/12/6,4.1,8.9,2.0
2012/12/7,5.1,8.9,1.8
2012/12/8,4.5,9.1,1.4
2012/12/9,2.0,4.2,0.6
2012/12/10,1.1,3.2,0.0
2012/12/11,1.1,2.9,0.2
2012/12/12,1.4,2.8,0.3
2012/12/13,3.2,9.2,-0.7
2012/12/14,5.6,11.6,-0.7
2012/12/15,12.0,15.4,7.6
2012/12/16,9.4,13.3,4.0
2012/12/17,5.0,8.7,0.9
2012/12/18,4.6,7.9,1.1
2012/12/19,0.9,4.0,0.4
2012/12/20,2.9,8.5,-0.4
2012/12/21,4.2,8.9,0.5
2012/12/22,7.2,9.9,3.8
2012/12/23,3.9,8.3,0.3
2012/12/24,0.8,4.8,-2.1
2012/12/25,3.7,7.5,-2.7
2012/12/26,2.6,5.9,0.4
2012/12/27,1.9,7.9,-1.2
2012/12/28,3.3,5.9,-0.6
2012/12/29,7.4,12.8,4.0
2012/12/30,7.1,11.3,4.2
2012/12/31,2.1,4.3,-0.1
2013/1/1,4.2,8.6,-0.2
2013/1/2,4.1,8.0,1.5
2013/1/3,-0.1,2.1,-1.6
2013/1/4,0.7,2.2,-0.8
2013/1/5,2.2,6.5,-0.3
2013/1/6,2.5,5.4,-0.2
2013/1/7,4.8,11.3,1.7
2013/1/8,3.7,7.5,1.0
2013/1/9,4.1,8.5,0.6
2013/1/10,2.6,5.6,0.4
2013/1/11,2.3,6.9,-0.4
2013/1/12,4.9,12.1,-0.7
2013/1/13,5.9,11.1,0.9
2013/1/14,5.6,9.0,3.0
2013/1/15,4.2,6.2,2.3
2013/1/16,4.8,8.5,0.3
2013/1/17,2.0,6.1,-0.1
2013/1/18,1.5,4.3,-1.1
2013/1/19,3.3,8.3,0.4
2013/1/20,5.3,8.3,2.5
2013/1/21,4.6,10.1,-0.6
2013/1/22,8.2,10.6,5.7
2013/1/23,4.7,6.8,2.1
2013/1/24,5.8,11.9,0.5
2013/1/25,2.5,8.2,-0.8
2013/1/26,1.1,3.0,-0.4
2013/1/27,0.5,5.3,-2.1
2013/1/28,3.1,4.9,-2.0
2013/1/29,4.4,9.9,-0.3
2013/1/30,4.9,8.2,1.5
2013/1/31,4.8,12.3,-0.3
2013/2/1,9.1,14.1,0.3
2013/2/2,12.1,14.9,8.0
2013/2/3,7.9,11.3,6.3
2013/2/4,8.7,11.7,5.8
2013/2/5,5.6,7.5,2.4
2013/2/6,3.9,7.7,0.8
2013/2/7,4.5,8.7,-0.6
2013/2/8,0.0,1.5,-2.1
2013/2/9,1.2,5.5,-1.3
2013/2/10,4.1,8.6,-0.2
2013/2/11,3.3,6.2,0.9
2013/2/12,3.2,7.2,-0.2
2013/2/13,4.6,8.3,1.3
2013/2/14,4.9,11.5,0.5
2013/2/15,3.9,6.2,2.3
2013/2/16,2.1,5.6,0.2
2013/2/17,2.6,6.2,-0.9
2013/2/18,5.7,7.6,4.0
2013/2/19,3.6,6.1,1.2
2013/2/20,1.8,4.3,0.2
2013/2/21,1.5,5.4,-0.2
2013/2/22,3.4,9.3,-0.5
2013/2/23,2.4,4.8,1.2
2013/2/24,3.0,5.5,1.1
2013/2/25,2.9,7.2,0.2
2013/2/26,5.2,10.6,-1.1
2013/2/27,7.9,13.8,3.7
2013/2/28,7.9,16.4,0.6
2013/3/1,11.2,15.6,5.9
2013/3/2,4.8,6.5,2.2
2013/3/3,4.0,9.0,-1.0
2013/3/4,4.6,10.6,-2.2
2013/3/5,6.7,12.1,1.9
2013/3/6,8.6,16.7,1.0
2013/3/7,13.4,20.1,3.5
2013/3/8,15.2,19.2,11.1
2013/3/9,16.6,23.5,9.5
2013/3/10,9.2,20.0,0.0
2013/3/11,3.8,9.9,-0.4
2013/3/12,10.7,19.6,0.1
2013/3/13,13.2,19.3,5.4
2013/3/14,4.4,7.2,0.2
2013/3/15,4.7,12.2,-2.2
2013/3/16,7.5,16.8,0.5
2013/3/17,11.7,20.4,0.5
2013/3/18,15.8,20.2,10.5
2013/3/19,12.7,18.1,9.0
2013/3/20,13.3,17.8,5.6
2013/3/21,5.3,9.2,1.3
2013/3/22,9.6,18.3,1.3
2013/3/23,8.2,12.1,3.1
2013/3/24,9.6,16.6,2.3
2013/3/25,7.7,10.6,3.9
2013/3/26,6.1,11.2,2.3
2013/3/27,9.1,13.6,2.2
2013/3/28,14.0,18.2,10.8
2013/3/29,11.2,16.5,8.8
2013/3/30,9.5,14.7,3.7
2013/3/31,8.9,13.8,5.3
