ダウンロードした時刻：2019/10/10 15:55:05

,飯田,飯田,飯田
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2004/12/1,4.4,12.6,-1.2
2004/12/2,5.2,13.4,-1.0
2004/12/3,5.6,13.2,-1.5
2004/12/4,9.5,15.3,4.6
2004/12/5,13.0,20.5,6.2
2004/12/6,6.4,11.9,0.9
2004/12/7,4.8,12.0,-1.2
2004/12/8,6.8,15.3,1.5
2004/12/9,4.8,11.1,-0.6
2004/12/10,7.1,17.3,0.9
2004/12/11,6.7,15.4,1.3
2004/12/12,6.7,13.8,0.9
2004/12/13,7.2,14.5,3.2
2004/12/14,5.8,13.5,1.0
2004/12/15,4.7,12.9,0.0
2004/12/16,4.8,14.3,-1.1
2004/12/17,3.7,10.4,-1.4
2004/12/18,5.3,13.7,-2.3
2004/12/19,7.3,11.4,2.2
2004/12/20,9.0,13.0,6.6
2004/12/21,5.7,11.2,0.3
2004/12/22,3.4,9.4,-1.3
2004/12/23,1.9,7.6,-1.9
2004/12/24,1.0,7.8,-4.9
2004/12/25,2.7,9.4,-3.7
2004/12/26,3.7,7.5,-0.5
2004/12/27,2.2,7.6,-1.8
2004/12/28,1.1,8.9,-3.9
2004/12/29,0.3,3.1,-1.0
2004/12/30,-0.2,4.5,-4.0
2004/12/31,-2.2,-0.2,-3.4
2005/1/1,-1.0,3.9,-5.8
2005/1/2,-3.8,4.2,-9.7
2005/1/3,-1.1,8.0,-8.5
2005/1/4,3.2,8.6,-1.6
2005/1/5,0.1,5.3,-3.6
2005/1/6,-0.5,3.1,-4.0
2005/1/7,2.8,6.7,-1.1
2005/1/8,0.7,6.2,-3.4
2005/1/9,-0.1,3.8,-3.8
2005/1/10,-1.8,3.2,-7.4
2005/1/11,-0.9,0.9,-2.4
2005/1/12,-1.9,2.4,-6.8
2005/1/13,-2.2,6.4,-9.3
2005/1/14,-0.2,6.0,-6.4
2005/1/15,1.5,5.0,-0.4
2005/1/16,1.4,4.2,-0.7
2005/1/17,1.8,8.6,-2.6
2005/1/18,0.7,8.4,-4.9
2005/1/19,2.3,7.3,-2.6
2005/1/20,0.7,3.3,-1.4
2005/1/21,-0.1,4.8,-3.3
2005/1/22,-0.7,6.9,-6.2
2005/1/23,-1.7,0.2,-3.5
2005/1/24,0.9,8.0,-5.1
2005/1/25,3.8,9.8,-0.6
2005/1/26,2.0,7.3,-1.9
2005/1/27,0.8,9.6,-5.0
2005/1/28,1.3,10.1,-4.7
2005/1/29,0.2,4.6,-4.1
2005/1/30,2.7,5.9,-1.8
2005/1/31,-1.3,2.4,-3.4
2005/2/1,-3.7,-1.2,-5.0
2005/2/2,-2.9,1.6,-5.7
2005/2/3,-2.0,4.1,-7.2
2005/2/4,-0.3,6.6,-6.8
2005/2/5,2.6,5.6,-1.0
2005/2/6,0.5,7.4,-4.3
2005/2/7,1.4,7.3,-4.5
2005/2/8,3.5,4.6,2.4
2005/2/9,6.2,12.7,0.2
2005/2/10,5.9,11.6,-0.6
2005/2/11,0.7,6.0,-3.3
2005/2/12,0.5,6.6,-4.6
2005/2/13,0.2,5.6,-4.6
2005/2/14,2.4,9.9,-2.7
2005/2/15,4.3,14.2,-3.0
2005/2/16,2.2,4.8,0.3
2005/2/17,6.0,12.5,1.5
2005/2/18,2.9,7.4,-0.3
2005/2/19,2.1,4.0,0.1
2005/2/20,3.3,8.7,-1.8
2005/2/21,-0.6,3.8,-4.3
2005/2/22,0.7,6.0,-5.0
2005/2/23,4.3,8.9,-1.4
2005/2/24,2.9,6.6,-0.7
2005/2/25,3.7,9.9,-0.9
2005/2/26,1.1,6.3,-3.2
2005/2/27,0.0,6.9,-6.3
2005/2/28,1.3,7.8,-4.6
2005/3/1,1.5,9.0,-3.5
2005/3/2,0.5,6.1,-5.5
2005/3/3,3.5,10.0,-1.4
2005/3/4,2.0,6.5,0.2
2005/3/5,2.8,8.3,-0.7
2005/3/6,2.1,7.7,-2.3
2005/3/7,3.1,12.1,-4.6
2005/3/8,6.5,14.2,-1.5
2005/3/9,9.1,15.3,3.9
2005/3/10,8.4,18.3,0.9
2005/3/11,9.0,12.1,7.5
2005/3/12,4.8,11.0,-0.3
2005/3/13,-0.8,3.8,-2.5
2005/3/14,0.0,5.2,-5.3
2005/3/15,1.9,9.3,-4.3
2005/3/16,8.0,15.2,2.3
2005/3/17,6.3,12.3,1.5
2005/3/18,6.9,11.7,0.3
2005/3/19,4.0,11.6,-2.7
2005/3/20,3.9,10.7,-2.1
2005/3/21,7.8,15.5,1.3
2005/3/22,7.3,11.7,3.3
2005/3/23,8.0,10.6,4.5
2005/3/24,6.3,13.7,1.5
2005/3/25,0.8,3.6,-1.7
2005/3/26,3.4,9.0,-1.5
2005/3/27,7.6,16.6,-1.4
2005/3/28,7.5,9.5,5.0
2005/3/29,8.6,12.7,1.8
2005/3/30,4.5,10.7,-1.4
2005/3/31,5.8,12.0,-0.4
