ダウンロードした時刻：2019/10/10 16:08:12

,彦根,彦根,彦根
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1982/12/1,11.0,15.0,8.3
1982/12/2,10.5,15.1,7.6
1982/12/3,10.1,14.0,5.4
1982/12/4,7.6,13.8,3.2
1982/12/5,9.9,13.9,5.0
1982/12/6,5.2,10.5,1.7
1982/12/7,6.0,8.5,0.8
1982/12/8,7.0,9.9,4.8
1982/12/9,6.1,10.5,3.4
1982/12/10,7.0,12.5,2.3
1982/12/11,9.8,13.1,4.1
1982/12/12,8.2,11.7,3.2
1982/12/13,5.2,7.9,1.9
1982/12/14,6.0,9.6,2.7
1982/12/15,5.7,10.1,1.7
1982/12/16,6.1,9.7,1.5
1982/12/17,7.0,10.0,4.9
1982/12/18,3.8,5.0,2.5
1982/12/19,3.3,7.5,0.5
1982/12/20,4.4,9.0,-0.7
1982/12/21,5.6,9.2,1.7
1982/12/22,7.1,9.1,4.1
1982/12/23,8.2,11.8,5.5
1982/12/24,8.9,12.6,5.6
1982/12/25,7.7,10.7,3.7
1982/12/26,5.5,7.3,4.1
1982/12/27,6.5,9.6,4.6
1982/12/28,5.4,9.6,1.2
1982/12/29,4.3,9.6,-0.7
1982/12/30,6.7,9.8,4.7
1982/12/31,5.6,6.5,4.7
1983/1/1,5.2,8.7,0.4
1983/1/2,3.9,8.6,-1.9
1983/1/3,5.6,7.5,3.3
1983/1/4,4.7,9.3,0.2
1983/1/5,5.3,7.2,1.2
1983/1/6,8.2,11.6,4.8
1983/1/7,7.1,9.9,3.4
1983/1/8,8.0,12.7,4.0
1983/1/9,3.6,5.9,1.8
1983/1/10,1.3,4.0,-0.4
1983/1/11,0.7,2.8,-1.0
1983/1/12,2.8,6.9,-0.9
1983/1/13,3.7,7.9,-0.6
1983/1/14,1.7,3.6,0.6
1983/1/15,4.0,6.2,1.6
1983/1/16,3.5,7.6,-0.4
1983/1/17,5.5,8.7,1.7
1983/1/18,5.7,7.0,4.1
1983/1/19,4.9,7.7,2.6
1983/1/20,1.3,3.2,-0.4
1983/1/21,2.0,5.0,-0.2
1983/1/22,-0.8,1.0,-2.4
1983/1/23,0.2,3.4,-2.6
1983/1/24,3.7,5.0,1.4
1983/1/25,3.5,8.0,0.8
1983/1/26,5.1,9.4,1.4
1983/1/27,4.3,9.4,-0.4
1983/1/28,5.3,10.9,0.1
1983/1/29,5.5,11.6,-0.2
1983/1/30,5.3,9.7,1.5
1983/1/31,3.7,7.0,-0.5
1983/2/1,3.5,7.7,-2.9
1983/2/2,6.7,8.3,5.6
1983/2/3,4.8,6.5,3.6
1983/2/4,4.5,7.7,0.2
1983/2/5,2.6,7.6,-2.1
1983/2/6,5.8,11.5,1.1
1983/2/7,4.8,7.3,3.6
1983/2/8,3.9,8.1,0.7
1983/2/9,3.3,6.0,1.0
1983/2/10,2.3,5.1,0.4
1983/2/11,2.2,6.2,-1.6
1983/2/12,2.2,5.5,-0.5
1983/2/13,-0.1,3.0,-1.9
1983/2/14,0.6,4.3,-1.7
1983/2/15,3.8,8.7,-1.3
1983/2/16,5.2,9.7,0.9
1983/2/17,5.0,7.3,1.7
1983/2/18,4.4,8.8,-0.1
1983/2/19,1.8,5.9,-1.8
1983/2/20,2.1,7.2,-0.8
1983/2/21,0.7,2.4,-2.3
1983/2/22,2.7,6.4,-0.8
1983/2/23,3.7,8.0,-1.6
1983/2/24,5.0,8.9,0.6
1983/2/25,4.6,8.1,2.8
1983/2/26,3.5,6.1,1.0
1983/2/27,4.5,8.1,1.6
1983/2/28,6.1,11.2,0.8
1983/3/1,5.2,9.9,-1.3
1983/3/2,8.1,10.9,6.2
1983/3/3,7.9,11.1,5.8
1983/3/4,5.5,8.2,3.8
1983/3/5,3.3,6.2,1.4
1983/3/6,3.3,9.2,0.7
1983/3/7,1.7,3.4,0.4
1983/3/8,2.4,5.6,-1.1
1983/3/9,3.8,8.5,-2.0
1983/3/10,5.5,8.0,3.2
1983/3/11,8.0,12.2,3.5
1983/3/12,8.2,14.6,1.3
1983/3/13,8.1,10.3,5.3
1983/3/14,3.1,5.4,1.5
1983/3/15,5.2,9.6,1.5
1983/3/16,6.5,11.2,2.7
1983/3/17,6.9,13.2,3.8
1983/3/18,2.6,5.8,1.0
1983/3/19,5.6,10.4,2.1
1983/3/20,7.7,15.7,-0.4
1983/3/21,9.0,13.4,6.8
1983/3/22,11.0,17.9,4.5
1983/3/23,10.6,12.8,7.4
1983/3/24,9.3,12.4,6.8
1983/3/25,8.1,11.9,5.8
1983/3/26,7.7,12.1,3.2
1983/3/27,8.0,11.4,5.9
1983/3/28,8.6,13.2,5.1
1983/3/29,8.2,10.9,5.0
1983/3/30,8.9,10.6,7.1
1983/3/31,11.7,16.4,6.8
