ダウンロードした時刻：2019/10/10 16:03:17

,松江,松江,松江
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1982/12/1,11.2,14.4,7.5
1982/12/2,9.2,14.4,4.9
1982/12/3,9.7,13.8,4.3
1982/12/4,8.5,15.7,2.3
1982/12/5,9.7,12.5,6.4
1982/12/6,3.7,7.6,1.2
1982/12/7,4.7,10.7,-0.7
1982/12/8,5.4,11.2,1.8
1982/12/9,7.6,12.6,1.6
1982/12/10,8.9,14.8,3.9
1982/12/11,13.4,19.9,5.9
1982/12/12,5.1,10.0,2.6
1982/12/13,3.3,6.0,0.4
1982/12/14,5.5,8.9,3.1
1982/12/15,6.9,9.8,3.0
1982/12/16,6.9,9.4,5.0
1982/12/17,5.4,7.0,3.2
1982/12/18,4.2,7.1,2.5
1982/12/19,4.6,9.2,-0.6
1982/12/20,6.9,10.7,2.2
1982/12/21,7.1,13.1,2.6
1982/12/22,9.3,15.1,3.8
1982/12/23,8.8,10.5,5.4
1982/12/24,8.8,12.3,5.0
1982/12/25,8.1,10.8,5.5
1982/12/26,5.5,6.7,4.4
1982/12/27,4.8,6.9,3.6
1982/12/28,6.1,10.7,2.4
1982/12/29,6.7,8.9,4.5
1982/12/30,6.9,9.7,4.3
1982/12/31,4.3,7.2,2.0
1983/1/1,5.4,10.5,1.3
1983/1/2,5.3,9.7,0.2
1983/1/3,4.7,8.4,3.3
1983/1/4,5.4,10.1,1.0
1983/1/5,7.3,10.2,3.0
1983/1/6,7.9,10.2,4.8
1983/1/7,8.5,14.2,0.8
1983/1/8,7.0,12.0,3.4
1983/1/9,3.8,6.3,1.8
1983/1/10,0.9,3.4,-1.0
1983/1/11,3.8,6.4,1.1
1983/1/12,5.2,8.5,2.7
1983/1/13,3.8,6.9,2.1
1983/1/14,4.9,7.9,1.3
1983/1/15,4.7,7.9,1.3
1983/1/16,4.4,10.1,0.6
1983/1/17,5.2,9.8,0.2
1983/1/18,5.2,7.3,4.1
1983/1/19,3.5,6.7,-0.8
1983/1/20,1.1,3.3,-1.0
1983/1/21,0.6,3.6,-2.0
1983/1/22,0.5,2.1,-1.5
1983/1/23,2.4,5.7,-2.4
1983/1/24,5.5,8.6,2.1
1983/1/25,5.7,11.0,-0.2
1983/1/26,6.1,12.5,1.0
1983/1/27,6.2,12.4,0.6
1983/1/28,7.0,12.3,3.1
1983/1/29,9.4,14.6,2.1
1983/1/30,5.6,9.7,2.7
1983/1/31,3.6,8.2,-1.1
1983/2/1,5.9,14.0,-1.8
1983/2/2,7.6,8.9,6.1
1983/2/3,4.3,6.2,2.7
1983/2/4,3.4,8.8,-0.3
1983/2/5,5.3,9.4,-1.3
1983/2/6,7.9,12.4,3.1
1983/2/7,4.4,8.5,1.7
1983/2/8,3.7,7.2,0.6
1983/2/9,2.9,6.8,0.3
1983/2/10,1.6,3.6,-0.3
1983/2/11,2.3,5.0,-0.6
1983/2/12,0.9,4.1,-1.5
1983/2/13,-0.5,0.7,-2.2
1983/2/14,1.9,5.9,-1.1
1983/2/15,5.1,9.8,-0.6
1983/2/16,4.8,11.8,-1.9
1983/2/17,6.0,9.6,3.7
1983/2/18,0.6,5.4,-1.6
1983/2/19,0.8,2.6,-1.6
1983/2/20,0.8,2.9,-1.6
1983/2/21,1.6,5.1,-1.4
1983/2/22,2.5,8.6,-1.6
1983/2/23,3.4,9.5,-2.3
1983/2/24,3.9,7.6,2.2
1983/2/25,3.7,8.7,0.8
1983/2/26,4.0,8.9,0.2
1983/2/27,3.6,10.3,-1.9
1983/2/28,4.9,13.7,-2.5
1983/3/1,5.4,11.2,-1.0
1983/3/2,12.3,21.5,8.1
1983/3/3,7.5,9.0,5.4
1983/3/4,5.8,10.3,1.4
1983/3/5,3.7,6.6,1.4
1983/3/6,3.5,8.1,-0.1
1983/3/7,2.0,7.5,-0.1
1983/3/8,2.8,6.5,-0.3
1983/3/9,4.7,10.9,-1.6
1983/3/10,5.5,7.6,4.1
1983/3/11,6.6,12.8,2.5
1983/3/12,9.5,16.9,2.4
1983/3/13,7.0,9.3,3.4
1983/3/14,3.2,7.4,-0.3
1983/3/15,5.6,12.4,-1.6
1983/3/16,7.3,11.6,4.9
1983/3/17,6.5,9.1,3.6
1983/3/18,3.0,7.4,-0.5
1983/3/19,5.8,14.1,-2.2
1983/3/20,9.9,18.2,-0.2
1983/3/21,11.6,16.9,9.0
1983/3/22,11.8,19.0,7.8
1983/3/23,12.4,14.2,9.7
1983/3/24,8.5,11.3,7.0
1983/3/25,6.4,10.8,2.3
1983/3/26,7.1,11.4,1.1
1983/3/27,8.4,14.1,2.0
1983/3/28,9.4,14.5,5.0
1983/3/29,9.9,13.5,6.6
1983/3/30,9.8,11.3,7.7
1983/3/31,10.5,14.4,6.9
