ダウンロードした時刻：2017/07/24 15:36:53

,新庄,新庄,新庄
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2006/1/1,-3.2,-0.4,-6.4
2006/1/2,-2.2,0.5,-4.3
2006/1/3,-3.2,-0.3,-7.4
2006/1/4,-2.6,-1.1,-3.9
2006/1/5,-3.2,-0.2,-6.2
2006/1/6,-4.2,-2.3,-8.7
2006/1/7,-5.3,-3.3,-8.7
2006/1/8,-3.9,-2.2,-5.8
2006/1/9,-3.4,-1.6,-7.8
2006/1/10,-4.1,0.8,-8.0
2006/1/11,-1.0,1.5,-3.0
2006/1/12,-2.6,-0.1,-6.4
2006/1/13,-4.0,0.9,-10.9
2006/1/14,0.2,1.0,-1.0
2006/1/15,1.6,4.5,-1.0
2006/1/16,0.2,3.6,-2.7
2006/1/17,-1.4,0.5,-3.5
2006/1/18,-2.6,-0.2,-6.4
2006/1/19,-4.2,-2.0,-5.7
2006/1/20,-3.1,-0.1,-6.8
2006/1/21,-2.2,0.1,-6.5
2006/1/22,-3.5,-1.6,-5.8
2006/1/23,-4.2,-1.3,-7.4
2006/1/24,-1.7,0.5,-2.9
2006/1/25,0.8,2.9,-1.7
2006/1/26,-0.8,0.6,-2.4
2006/1/27,0.3,2.8,-1.6
2006/1/28,-1.5,0.5,-4.4
2006/1/29,-1.8,3.2,-5.7
2006/1/30,0.9,6.8,-5.3
2006/1/31,0.6,2.3,-1.8
2006/2/1,-0.4,1.8,-3.7
2006/2/2,-1.1,0.9,-4.5
2006/2/3,-5.1,-2.8,-7.7
2006/2/4,-5.6,-2.7,-10.5
2006/2/5,-4.1,-2.3,-5.6
2006/2/6,-2.3,-0.4,-4.9
2006/2/7,0.1,2.2,-3.1
2006/2/8,0.7,2.6,-1.2
2006/2/9,-3.0,-0.7,-4.4
2006/2/10,0.2,3.0,-3.4
2006/2/11,-0.7,0.9,-2.8
2006/2/12,-3.8,-2.2,-5.2
2006/2/13,2.7,7.1,-3.1
2006/2/14,5.1,10.7,1.8
2006/2/15,4.3,7.3,1.5
2006/2/16,0.8,2.2,-0.6
2006/2/17,-1.9,2.3,-5.1
2006/2/18,-1.6,2.7,-5.2
2006/2/19,-0.2,3.7,-6.0
2006/2/20,1.0,7.2,-3.6
2006/2/21,3.4,9.1,-0.3
2006/2/22,2.9,10.8,-2.6
2006/2/23,2.2,5.7,-4.4
2006/2/24,-0.9,4.6,-5.7
2006/2/25,1.6,8.5,-4.8
2006/2/26,5.2,8.4,2.9
2006/2/27,-0.4,4.5,-2.4
2006/2/28,-0.5,1.9,-2.8
2006/3/1,0.8,3.3,-1.5
2006/3/2,1.2,3.5,-2.0
2006/3/3,-0.3,3.7,-3.7
2006/3/4,-0.1,4.6,-4.5
2006/3/5,2.7,9.7,-2.6
2006/3/6,2.8,7.0,-0.3
2006/3/7,1.6,7.9,-3.8
2006/3/8,2.6,6.9,-2.8
2006/3/9,2.3,5.6,-0.3
2006/3/10,4.8,8.3,2.0
2006/3/11,5.1,12.5,-0.8
2006/3/12,0.9,5.1,-2.8
2006/3/13,-3.5,-1.5,-4.5
2006/3/14,-2.0,1.2,-4.2
2006/3/15,3.0,5.5,-2.3
2006/3/16,3.8,8.5,-0.6
2006/3/17,4.7,8.5,1.8
2006/3/18,5.0,12.3,0.6
2006/3/19,1.4,4.7,-1.6
2006/3/20,2.6,5.0,-0.8
2006/3/21,3.7,7.3,-1.8
2006/3/22,3.7,8.8,-3.3
2006/3/23,3.6,7.2,1.1
2006/3/24,3.4,6.3,0.3
2006/3/25,3.5,10.4,-2.6
2006/3/26,2.8,13.7,-2.6
2006/3/27,3.5,9.0,-1.6
2006/3/28,5.3,14.7,-2.8
2006/3/29,1.1,5.6,-2.4
2006/3/30,0.6,3.8,-2.2
2006/3/31,0.5,1.9,-0.4
2006/4/1,3.4,7.9,-0.2
2006/4/2,2.9,7.0,-0.2
2006/4/3,4.3,7.6,1.8
2006/4/4,5.0,9.9,1.2
2006/4/5,3.5,6.6,1.3
2006/4/6,2.7,5.0,0.9
2006/4/7,3.7,8.7,-0.5
2006/4/8,3.5,5.7,1.3
2006/4/9,4.2,7.9,-1.1
2006/4/10,4.8,12.5,-2.5
2006/4/11,8.5,12.0,2.4
2006/4/12,13.2,20.0,7.4
2006/4/13,9.0,15.1,6.3
2006/4/14,6.4,10.8,0.9
2006/4/15,5.9,13.0,-1.7
2006/4/16,5.4,8.5,2.1
2006/4/17,5.9,9.0,2.0
2006/4/18,8.5,17.2,2.0
2006/4/19,9.1,15.5,4.5
2006/4/20,6.5,15.3,1.3
2006/4/21,5.2,11.7,1.7
2006/4/22,6.2,11.3,1.6
2006/4/23,9.2,18.7,-0.2
2006/4/24,10.2,15.4,5.3
2006/4/25,7.0,12.1,2.9
2006/4/26,10.1,14.5,6.0
2006/4/27,8.5,13.2,4.9
2006/4/28,10.1,17.3,4.4
2006/4/29,12.5,23.2,1.1
2006/4/30,14.1,22.5,7.9
2006/5/1,13.3,16.7,8.8
