ダウンロードした時刻：2017/07/24 15:45:36

,高松,高松,高松
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1982/1/1,7.0,10.0,1.5
1982/1/2,6.4,10.9,0.5
1982/1/3,3.9,9.6,-2.4
1982/1/4,9.2,14.3,2.0
1982/1/5,8.5,11.4,5.6
1982/1/6,5.8,9.0,2.6
1982/1/7,3.8,7.0,-1.9
1982/1/8,1.3,6.7,-2.5
1982/1/9,6.0,10.8,-1.8
1982/1/10,4.4,10.9,-0.9
1982/1/11,4.8,12.1,-1.9
1982/1/12,9.6,14.7,4.9
1982/1/13,4.5,7.3,2.0
1982/1/14,3.4,7.7,-0.4
1982/1/15,3.3,8.0,-1.8
1982/1/16,1.2,5.8,-2.0
1982/1/17,1.9,5.9,-2.2
1982/1/18,2.6,8.6,-3.1
1982/1/19,2.0,4.3,0.1
1982/1/20,3.5,5.8,1.1
1982/1/21,5.5,9.5,-0.5
1982/1/22,7.4,12.2,4.1
1982/1/23,7.3,10.5,2.2
1982/1/24,4.8,8.9,-0.3
1982/1/25,6.4,9.6,3.7
1982/1/26,4.5,8.7,0.3
1982/1/27,6.6,9.9,2.6
1982/1/28,2.7,5.3,-0.5
1982/1/29,0.0,3.8,-2.3
1982/1/30,1.3,5.8,-2.6
1982/1/31,3.0,6.0,-1.9
1982/2/1,4.5,8.1,2.6
1982/2/2,2.6,6.8,-1.7
1982/2/3,3.5,8.2,-3.7
1982/2/4,4.1,6.1,2.8
1982/2/5,3.2,6.1,0.3
1982/2/6,4.3,7.9,1.4
1982/2/7,1.9,5.1,-0.5
1982/2/8,2.7,7.2,-0.6
1982/2/9,3.2,7.9,-2.5
1982/2/10,4.7,8.4,-0.9
1982/2/11,4.8,9.9,-2.7
1982/2/12,5.7,10.2,2.5
1982/2/13,5.6,10.6,1.4
1982/2/14,3.6,7.6,-0.1
1982/2/15,2.8,8.5,-1.7
1982/2/16,3.9,9.9,-4.3
1982/2/17,3.3,6.1,1.0
1982/2/18,6.6,11.5,0.8
1982/2/19,8.5,11.7,3.5
1982/2/20,11.1,13.6,8.5
1982/2/21,8.7,10.8,6.3
1982/2/22,7.3,12.8,2.8
1982/2/23,6.8,10.3,2.5
1982/2/24,4.1,5.9,2.7
1982/2/25,4.7,9.8,0.0
1982/2/26,3.5,8.1,-0.8
1982/2/27,3.8,10.4,-3.0
1982/2/28,5.4,9.3,0.7
1982/3/1,6.2,7.6,4.7
1982/3/2,5.7,9.3,2.5
1982/3/3,5.1,10.6,0.9
1982/3/4,6.2,12.1,-2.1
1982/3/5,10.7,15.5,7.4
1982/3/6,9.6,14.6,5.9
1982/3/7,6.0,9.6,3.7
1982/3/8,5.4,10.3,-0.5
1982/3/9,6.8,13.3,-0.1
1982/3/10,7.8,16.3,0.9
1982/3/11,8.8,17.2,0.1
1982/3/12,7.4,10.5,2.8
1982/3/13,11.0,16.6,5.9
1982/3/14,8.8,13.3,2.1
1982/3/15,13.5,16.5,8.7
1982/3/16,15.6,20.6,12.0
1982/3/17,10.4,12.8,8.3
1982/3/18,10.5,15.2,5.4
1982/3/19,7.6,9.2,4.1
1982/3/20,10.9,13.6,7.6
1982/3/21,11.2,16.6,5.6
1982/3/22,10.8,19.2,3.0
1982/3/23,13.2,20.0,4.8
1982/3/24,9.8,13.8,4.7
1982/3/25,6.0,10.6,3.4
1982/3/26,5.3,10.0,-0.2
1982/3/27,6.9,12.0,2.8
1982/3/28,8.3,15.4,1.5
1982/3/29,9.3,16.2,1.4
1982/3/30,12.1,18.1,3.8
1982/3/31,12.4,16.2,8.1
1982/4/1,10.0,17.7,2.4
1982/4/2,12.5,18.5,3.5
1982/4/3,10.7,14.4,7.3
1982/4/4,8.8,12.5,6.2
1982/4/5,9.2,13.9,5.0
1982/4/6,13.1,16.4,8.5
1982/4/7,11.6,12.8,10.9
1982/4/8,16.4,22.6,11.3
1982/4/9,9.2,15.5,5.6
1982/4/10,9.4,14.6,5.1
1982/4/11,9.7,16.2,1.9
1982/4/12,12.0,18.2,4.2
1982/4/13,14.3,20.0,7.8
1982/4/14,13.3,15.0,12.3
1982/4/15,14.9,20.4,9.7
1982/4/16,13.6,21.1,7.6
1982/4/17,12.6,16.6,5.9
1982/4/18,11.1,16.7,5.3
1982/4/19,13.3,20.7,3.4
1982/4/20,15.0,21.7,5.9
1982/4/21,11.0,14.0,9.6
1982/4/22,12.6,19.9,6.1
1982/4/23,13.7,20.5,5.4
1982/4/24,15.5,21.5,8.3
1982/4/25,17.0,24.0,9.4
1982/4/26,18.0,24.5,11.1
1982/4/27,17.2,20.0,16.1
1982/4/28,17.8,22.4,14.5
1982/4/29,19.1,22.9,16.5
1982/4/30,18.8,23.4,13.9
1982/5/1,18.3,22.0,16.6
