É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2019/10/10 15:55:55

,çbï{,çbï{,çbï{
îNåéì˙,ïΩãœãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈í·ãCâ∑(Åé)
,,,
2018/12/1,9.3,18.4,2.6
2018/12/2,10.1,15.7,5.8
2018/12/3,11.0,14.1,8.3
2018/12/4,15.3,20.9,11.2
2018/12/5,15.6,20.9,11.8
2018/12/6,11.7,14.1,9.6
2018/12/7,12.6,18.6,7.8
2018/12/8,8.7,13.5,4.6
2018/12/9,6.4,10.8,3.4
2018/12/10,3.9,8.2,0.1
2018/12/11,3.4,8.8,-2.1
2018/12/12,7.2,13.5,3.9
2018/12/13,4.3,8.9,-0.3
2018/12/14,4.5,10.9,-0.3
2018/12/15,2.7,10.2,-2.7
2018/12/16,2.6,9.7,-3.8
2018/12/17,5.9,11.3,2.5
2018/12/18,6.2,13.1,0.5
2018/12/19,5.0,12.9,-1.3
2018/12/20,6.4,15.1,0.7
2018/12/21,5.3,13.2,-1.6
2018/12/22,6.8,9.4,3.0
2018/12/23,9.6,13.3,5.9
2018/12/24,7.0,11.9,2.2
2018/12/25,3.0,9.3,-2.0
2018/12/26,4.5,11.3,-1.4
2018/12/27,6.8,14.4,0.2
2018/12/28,3.6,6.9,-1.2
2018/12/29,1.6,8.8,-5.0
2018/12/30,1.9,8.8,-4.0
2018/12/31,1.2,7.5,-4.9
2019/1/1,1.4,9.0,-4.7
2019/1/2,2.9,10.9,-3.3
2019/1/3,2.3,10.0,-4.7
2019/1/4,1.1,8.2,-5.1
2019/1/5,5.4,16.0,-2.9
2019/1/6,3.1,7.1,-1.2
2019/1/7,1.8,9.4,-4.8
2019/1/8,3.0,10.5,-3.6
2019/1/9,3.7,7.7,-2.6
2019/1/10,-0.1,6.5,-5.9
2019/1/11,5.1,14.2,-2.7
2019/1/12,5.6,10.2,2.0
2019/1/13,6.2,11.0,2.5
2019/1/14,3.8,10.7,-2.1
2019/1/15,3.1,9.3,-3.1
2019/1/16,5.5,12.7,-0.3
2019/1/17,6.1,12.8,-1.0
2019/1/18,6.1,10.2,2.6
2019/1/19,3.5,11.7,-3.3
2019/1/20,1.6,6.9,-2.0
2019/1/21,5.8,11.0,1.0
2019/1/22,3.7,11.2,-2.7
2019/1/23,3.8,11.1,-2.8
2019/1/24,5.8,9.8,0.2
2019/1/25,2.2,8.0,-5.0
2019/1/26,2.8,8.6,-0.7
2019/1/27,3.0,9.9,-3.0
2019/1/28,3.4,11.3,-4.3
2019/1/29,5.1,9.5,-0.1
2019/1/30,2.1,10.3,-4.4
2019/1/31,2.2,8.3,-2.1
2019/2/1,3.2,8.9,-1.6
2019/2/2,3.4,13.0,-4.1
2019/2/3,4.7,12.7,-3.1
2019/2/4,9.7,17.6,3.5
2019/2/5,5.6,10.9,0.8
2019/2/6,3.4,7.4,0.3
2019/2/7,6.0,17.1,-1.0
2019/2/8,5.4,9.5,1.1
2019/2/9,3.8,8.0,1.0
2019/2/10,3.9,9.3,-1.2
2019/2/11,4.4,8.8,1.2
2019/2/12,6.0,13.4,0.5
2019/2/13,4.8,10.6,0.6
2019/2/14,2.8,8.6,-2.1
2019/2/15,4.1,11.4,-2.5
2019/2/16,7.3,16.8,0.1
2019/2/17,5.3,12.6,-1.2
2019/2/18,5.0,13.6,-3.5
2019/2/19,6.2,10.7,3.1
2019/2/20,10.5,18.9,4.7
2019/2/21,9.7,15.9,4.0
2019/2/22,8.5,14.6,2.2
2019/2/23,8.3,14.7,2.3
2019/2/24,6.2,13.9,-1.7
2019/2/25,10.9,19.0,4.7
2019/2/26,9.0,14.7,5.4
2019/2/27,7.5,12.4,4.4
2019/2/28,6.4,7.7,5.5
2019/3/1,9.0,14.9,6.1
2019/3/2,8.6,14.7,2.0
2019/3/3,7.9,9.1,6.4
2019/3/4,8.3,11.0,6.6
2019/3/5,10.3,16.6,5.0
2019/3/6,11.2,16.1,7.0
2019/3/7,9.4,13.7,5.5
2019/3/8,7.5,13.5,2.6
2019/3/9,7.9,16.1,-0.8
2019/3/10,8.3,13.3,3.3
2019/3/11,10.0,17.7,5.4
2019/3/12,9.8,18.4,2.0
2019/3/13,7.7,16.0,2.9
2019/3/14,6.7,13.0,-0.5
2019/3/15,7.4,14.8,-0.2
2019/3/16,7.3,16.0,1.7
2019/3/17,6.3,11.8,-0.7
2019/3/18,7.9,15.9,-0.4
2019/3/19,10.3,16.3,5.9
2019/3/20,13.0,23.5,2.8
2019/3/21,14.6,22.3,10.2
2019/3/22,14.7,25.0,7.7
2019/3/23,6.9,11.2,2.5
2019/3/24,7.2,15.3,-1.1
2019/3/25,8.9,16.0,0.3
2019/3/26,11.9,19.5,5.6
2019/3/27,13.4,20.6,6.7
2019/3/28,13.9,20.0,6.6
2019/3/29,9.9,16.3,5.8
2019/3/30,11.3,18.7,6.5
2019/3/31,10.4,15.9,6.1
