ダウンロードした時刻：2019/10/10 16:01:53

,大島,大島,大島
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1992/12/1,13.3,14.7,12.4
1992/12/2,13.7,17.0,10.2
1992/12/3,10.2,11.5,9.2
1992/12/4,10.5,13.6,8.0
1992/12/5,9.8,11.7,8.0
1992/12/6,10.3,12.5,8.3
1992/12/7,14.7,18.4,10.6
1992/12/8,16.7,19.4,12.0
1992/12/9,13.9,17.3,10.2
1992/12/10,13.8,18.1,11.0
1992/12/11,11.2,14.6,7.4
1992/12/12,8.6,11.6,3.9
1992/12/13,12.2,16.5,7.7
1992/12/14,9.6,13.2,6.7
1992/12/15,6.8,9.7,3.2
1992/12/16,7.2,12.0,2.5
1992/12/17,7.6,12.4,2.3
1992/12/18,7.1,11.3,4.3
1992/12/19,8.0,10.3,3.5
1992/12/20,10.6,15.4,5.4
1992/12/21,11.1,13.1,8.7
1992/12/22,9.9,14.9,6.4
1992/12/23,10.8,13.5,6.8
1992/12/24,6.1,8.8,2.5
1992/12/25,4.1,10.3,-0.9
1992/12/26,8.0,12.4,2.4
1992/12/27,10.6,14.5,4.1
1992/12/28,14.1,16.8,11.1
1992/12/29,11.5,13.7,8.7
1992/12/30,10.9,14.3,7.4
1992/12/31,8.7,12.9,4.6
1993/1/1,7.6,10.3,4.8
1993/1/2,10.3,14.6,4.5
1993/1/3,11.5,15.9,4.7
1993/1/4,10.6,13.3,7.4
1993/1/5,6.5,10.7,2.5
1993/1/6,8.2,12.4,5.5
1993/1/7,14.4,17.9,9.4
1993/1/8,10.9,16.0,7.9
1993/1/9,7.0,8.1,6.0
1993/1/10,9.5,11.7,6.4
1993/1/11,7.9,9.2,6.1
1993/1/12,7.6,9.7,5.3
1993/1/13,9.0,12.0,4.7
1993/1/14,8.2,9.6,6.3
1993/1/15,5.8,6.4,5.1
1993/1/16,6.1,7.2,5.3
1993/1/17,8.0,12.7,4.1
1993/1/18,5.0,6.9,3.4
1993/1/19,6.6,10.7,2.4
1993/1/20,7.3,10.5,2.0
1993/1/21,5.9,10.0,1.0
1993/1/22,6.1,9.5,2.4
1993/1/23,5.2,6.2,1.9
1993/1/24,5.5,6.7,4.2
1993/1/25,6.9,8.0,6.2
1993/1/26,7.6,10.0,6.2
1993/1/27,10.0,13.1,6.1
1993/1/28,6.3,8.8,3.6
1993/1/29,5.6,10.0,1.5
1993/1/30,7.3,11.0,1.1
1993/1/31,7.8,12.2,1.9
1993/2/1,7.2,9.1,2.8
1993/2/2,4.2,8.8,-1.1
1993/2/3,6.1,10.1,-0.5
1993/2/4,10.0,14.5,6.7
1993/2/5,9.2,12.3,6.4
1993/2/6,14.3,16.4,11.7
1993/2/7,15.5,18.2,11.2
1993/2/8,8.0,11.3,3.8
1993/2/9,6.1,8.3,1.9
1993/2/10,5.0,9.4,0.6
1993/2/11,8.2,11.7,3.0
1993/2/12,9.4,12.4,7.6
1993/2/13,8.7,11.6,2.3
1993/2/14,8.0,10.7,4.4
1993/2/15,6.5,12.0,1.4
1993/2/16,10.8,15.4,4.0
1993/2/17,13.3,17.4,9.9
1993/2/18,11.5,15.4,8.4
1993/2/19,8.1,12.2,5.3
1993/2/20,7.4,10.9,4.3
1993/2/21,9.8,15.8,5.3
1993/2/22,14.0,17.8,10.0
1993/2/23,8.7,12.9,5.8
1993/2/24,6.6,10.0,-0.2
1993/2/25,4.9,10.6,-0.2
1993/2/26,6.5,11.0,2.3
1993/2/27,10.1,12.7,6.0
1993/2/28,11.7,16.1,9.1
1993/3/1,8.7,11.6,6.1
1993/3/2,6.5,10.2,2.9
1993/3/3,7.1,11.3,0.8
1993/3/4,8.2,13.3,4.3
1993/3/5,10.8,14.2,6.1
1993/3/6,14.6,17.4,12.4
1993/3/7,14.4,17.2,9.8
1993/3/8,6.7,9.8,3.7
1993/3/9,6.5,9.3,3.2
1993/3/10,8.0,11.8,6.3
1993/3/11,8.5,11.3,5.7
1993/3/12,4.8,9.6,2.7
1993/3/13,6.8,11.7,1.7
1993/3/14,8.3,13.2,1.6
1993/3/15,8.1,10.5,5.0
1993/3/16,6.3,8.0,4.7
1993/3/17,6.7,9.6,4.5
1993/3/18,6.7,9.4,4.5
1993/3/19,6.9,10.5,3.8
1993/3/20,5.0,7.7,3.2
1993/3/21,7.6,11.7,4.9
1993/3/22,10.2,15.5,5.8
1993/3/23,11.8,17.2,5.3
1993/3/24,14.9,19.2,10.7
1993/3/25,14.1,18.4,8.9
1993/3/26,12.3,15.0,7.8
1993/3/27,12.5,17.5,7.8
1993/3/28,10.5,13.6,7.6
1993/3/29,9.8,15.1,4.5
1993/3/30,8.7,12.2,2.7
1993/3/31,11.7,13.5,9.5
