ダウンロードした時刻：2019/10/10 15:43:11

,相川,相川,相川
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1998/12/1,10.8,16.1,4.0
1998/12/2,3.3,5.3,1.8
1998/12/3,4.4,6.3,1.9
1998/12/4,6.1,9.0,2.2
1998/12/5,10.9,14.7,5.2
1998/12/6,6.9,8.8,3.0
1998/12/7,9.7,13.7,3.8
1998/12/8,10.0,13.5,7.0
1998/12/9,4.7,7.3,2.3
1998/12/10,4.1,5.0,2.4
1998/12/11,6.7,9.7,4.0
1998/12/12,6.4,9.4,3.9
1998/12/13,12.0,13.4,9.2
1998/12/14,12.2,13.9,8.4
1998/12/15,10.1,12.3,8.1
1998/12/16,12.2,13.2,9.9
1998/12/17,8.1,12.4,4.9
1998/12/18,5.2,8.9,1.0
1998/12/19,11.2,14.1,5.2
1998/12/20,6.2,8.4,4.0
1998/12/21,5.9,7.7,4.3
1998/12/22,9.0,11.1,7.5
1998/12/23,7.2,9.0,6.2
1998/12/24,5.8,7.1,3.6
1998/12/25,7.6,9.9,5.4
1998/12/26,6.6,10.4,5.5
1998/12/27,6.7,10.6,3.2
1998/12/28,6.0,8.0,3.2
1998/12/29,8.3,12.4,3.5
1998/12/30,3.7,6.9,1.7
1998/12/31,2.4,3.6,0.5
1999/1/1,2.1,4.6,-0.5
1999/1/2,2.7,4.8,0.9
1999/1/3,3.5,4.8,1.3
1999/1/4,3.5,4.9,2.4
1999/1/5,7.5,11.4,0.8
1999/1/6,6.7,10.6,4.0
1999/1/7,2.8,10.6,-2.1
1999/1/8,-1.3,0.4,-2.9
1999/1/9,0.1,1.7,-2.2
1999/1/10,2.1,3.6,0.0
1999/1/11,2.3,4.9,0.0
1999/1/12,3.9,5.0,2.0
1999/1/13,4.6,5.5,2.7
1999/1/14,3.0,5.0,0.6
1999/1/15,5.2,6.1,4.3
1999/1/16,4.0,6.5,1.2
1999/1/17,3.0,4.9,0.5
1999/1/18,5.7,9.8,0.7
1999/1/19,8.5,11.3,6.2
1999/1/20,5.4,10.2,-0.2
1999/1/21,2.0,4.3,-0.1
1999/1/22,6.1,9.9,1.0
1999/1/23,6.7,10.3,0.8
1999/1/24,3.8,8.1,-0.3
1999/1/25,8.9,11.9,2.5
1999/1/26,5.6,9.9,1.7
1999/1/27,7.8,10.1,1.5
1999/1/28,4.3,10.6,-0.3
1999/1/29,-0.9,0.3,-1.9
1999/1/30,0.7,5.2,-3.6
1999/1/31,4.4,7.1,1.6
1999/2/1,5.2,9.7,1.8
1999/2/2,0.9,4.6,-2.0
1999/2/3,-1.7,-0.1,-4.1
1999/2/4,0.9,2.8,-2.0
1999/2/5,1.9,5.1,-1.1
1999/2/6,2.3,4.6,0.4
1999/2/7,6.3,9.3,3.8
1999/2/8,4.2,8.5,-1.6
1999/2/9,3.9,9.9,-2.9
1999/2/10,2.1,7.7,-1.0
1999/2/11,4.2,8.3,0.0
1999/2/12,2.7,6.2,-1.4
1999/2/13,-1.3,0.0,-3.7
1999/2/14,0.5,2.3,-2.3
1999/2/15,3.0,5.6,0.6
1999/2/16,7.7,10.9,4.2
1999/2/17,10.4,12.8,6.8
1999/2/18,7.7,11.8,3.6
1999/2/19,1.9,3.7,-0.9
1999/2/20,0.1,4.1,-2.2
1999/2/21,1.0,3.3,-1.8
1999/2/22,3.8,6.3,1.8
1999/2/23,3.8,6.3,-0.2
1999/2/24,4.2,7.9,-1.1
1999/2/25,5.7,7.5,2.1
1999/2/26,7.6,12.1,2.6
1999/2/27,4.6,10.3,-1.4
1999/2/28,2.7,5.6,-0.8
1999/3/1,8.5,11.2,3.7
1999/3/2,6.9,10.4,3.2
1999/3/3,6.6,10.3,-0.3
1999/3/4,9.9,13.2,7.0
1999/3/5,10.6,16.7,4.7
1999/3/6,2.6,5.5,0.0
1999/3/7,4.4,7.3,1.4
1999/3/8,3.9,5.5,1.7
1999/3/9,3.1,6.0,0.4
1999/3/10,6.3,10.3,1.1
1999/3/11,2.9,5.9,-0.4
1999/3/12,1.6,3.9,-1.2
1999/3/13,7.8,14.5,-1.8
1999/3/14,11.6,15.0,7.2
1999/3/15,10.0,12.2,8.2
1999/3/16,8.5,10.8,7.0
1999/3/17,10.2,15.0,5.7
1999/3/18,16.1,20.4,11.0
1999/3/19,9.6,17.7,3.2
1999/3/20,4.1,5.5,0.1
1999/3/21,4.3,7.9,-0.5
1999/3/22,2.7,7.0,0.3
1999/3/23,3.3,6.3,1.1
1999/3/24,7.4,12.3,-0.4
1999/3/25,10.6,15.7,6.4
1999/3/26,10.8,14.8,7.8
1999/3/27,5.9,9.8,1.7
1999/3/28,3.6,9.3,0.9
1999/3/29,1.2,3.2,-0.9
1999/3/30,3.3,6.7,0.8
1999/3/31,7.1,12.3,1.1
