É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2017/07/24 15:41:15

,çbï{,çbï{,çbï{
îNåéì˙,ïΩãœãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈í·ãCâ∑(Åé)
,,,
1987/1/1,6.2,12.6,0.2
1987/1/2,1.4,4.0,-2.1
1987/1/3,7.4,13.7,1.0
1987/1/4,6.3,12.8,0.7
1987/1/5,1.7,4.0,0.3
1987/1/6,2.3,7.2,-0.7
1987/1/7,2.6,8.0,-3.3
1987/1/8,6.3,15.1,1.2
1987/1/9,5.3,13.8,-1.5
1987/1/10,3.4,10.3,-1.5
1987/1/11,1.4,5.4,-2.2
1987/1/12,0.6,3.5,-1.7
1987/1/13,2.5,6.5,-0.8
1987/1/14,1.1,6.8,-3.3
1987/1/15,1.0,9.5,-5.4
1987/1/16,2.2,9.6,-3.5
1987/1/17,6.5,15.1,-0.2
1987/1/18,4.8,9.6,-1.1
1987/1/19,1.6,8.6,-3.4
1987/1/20,0.3,6.1,-4.7
1987/1/21,-1.1,5.4,-6.5
1987/1/22,0.4,8.4,-6.2
1987/1/23,2.1,5.6,-2.5
1987/1/24,8.0,14.6,3.7
1987/1/25,1.7,6.9,-1.5
1987/1/26,0.9,6.4,-4.4
1987/1/27,1.0,9.3,-5.5
1987/1/28,2.9,11.9,-4.2
1987/1/29,3.3,12.0,-4.1
1987/1/30,5.3,15.9,-3.0
1987/1/31,3.5,11.6,-2.2
1987/2/1,2.2,8.3,-4.3
1987/2/2,2.9,8.5,0.1
1987/2/3,2.0,5.7,0.3
1987/2/4,2.8,6.5,-0.8
1987/2/5,1.8,10.3,-5.1
1987/2/6,4.5,11.9,-3.2
1987/2/7,6.8,14.0,-0.7
1987/2/8,6.6,14.9,-1.0
1987/2/9,7.6,15.3,0.7
1987/2/10,8.3,18.6,-0.3
1987/2/11,10.3,18.9,2.0
1987/2/12,10.2,17.6,5.3
1987/2/13,5.1,6.1,3.1
1987/2/14,7.5,14.6,0.0
1987/2/15,4.7,10.1,0.5
1987/2/16,5.0,11.2,-1.9
1987/2/17,2.5,7.2,-2.0
1987/2/18,3.1,5.3,0.5
1987/2/19,4.0,8.9,0.4
1987/2/20,3.0,8.7,-0.5
1987/2/21,2.7,8.8,-3.4
1987/2/22,2.9,7.7,-1.4
1987/2/23,5.6,12.2,2.6
1987/2/24,6.1,13.6,-1.0
1987/2/25,3.9,8.6,-1.0
1987/2/26,1.2,5.7,-2.0
1987/2/27,2.9,7.9,-1.2
1987/2/28,2.3,9.1,-5.1
1987/3/1,0.9,8.0,-2.4
1987/3/2,1.2,7.9,-5.2
1987/3/3,3.7,12.2,-6.0
1987/3/4,7.8,16.8,-0.6
1987/3/5,10.7,17.8,0.8
1987/3/6,12.3,18.2,4.8
1987/3/7,1.9,6.8,-0.1
1987/3/8,3.8,8.8,-1.5
1987/3/9,7.2,12.4,3.1
1987/3/10,5.8,11.0,0.7
1987/3/11,4.5,9.4,0.6
1987/3/12,6.4,13.7,-0.4
1987/3/13,6.4,7.3,4.9
1987/3/14,10.7,15.7,6.6
1987/3/15,8.9,13.9,4.3
1987/3/16,9.5,15.3,4.3
1987/3/17,5.5,9.3,2.7
1987/3/18,9.4,16.5,3.3
1987/3/19,9.6,14.1,6.7
1987/3/20,11.9,20.9,6.3
1987/3/21,10.5,17.8,3.6
1987/3/22,13.0,20.1,6.6
1987/3/23,12.4,13.6,11.2
1987/3/24,14.8,17.4,12.3
1987/3/25,11.6,21.2,6.2
1987/3/26,6.0,11.3,2.0
1987/3/27,6.5,14.7,-1.1
1987/3/28,8.5,13.8,1.3
1987/3/29,9.2,13.4,6.0
1987/3/30,10.9,19.0,2.5
1987/3/31,10.1,19.3,1.8
1987/4/1,6.5,12.7,-0.6
1987/4/2,9.3,13.6,5.9
1987/4/3,9.8,14.1,6.8
1987/4/4,13.1,21.6,5.6
1987/4/5,13.4,23.5,3.9
1987/4/6,14.5,21.8,7.1
1987/4/7,12.3,14.6,11.3
1987/4/8,17.8,27.0,10.2
1987/4/9,15.2,22.3,9.0
1987/4/10,15.9,19.2,13.9
1987/4/11,14.6,24.4,7.4
1987/4/12,8.0,12.3,5.6
1987/4/13,6.8,13.5,2.6
1987/4/14,8.5,15.8,2.0
1987/4/15,11.4,20.0,5.0
1987/4/16,11.5,21.4,4.0
1987/4/17,12.8,20.9,6.5
1987/4/18,14.9,23.6,6.7
1987/4/19,15.3,25.2,8.4
1987/4/20,16.5,25.3,8.4
1987/4/21,19.0,26.1,12.8
1987/4/22,21.7,28.7,16.8
1987/4/23,18.8,24.8,14.6
1987/4/24,17.5,25.6,11.5
1987/4/25,14.7,23.0,6.6
1987/4/26,15.5,20.9,10.2
1987/4/27,12.7,19.1,7.7
1987/4/28,15.7,24.6,10.4
1987/4/29,17.1,25.3,10.8
1987/4/30,17.6,28.0,9.2
1987/5/1,14.7,17.6,12.3
